column_name,patched_primary_role,patched_feature_family,patched_timing_family,overall_status,groupwise_status,leakage_risk_level,leakage_type,why_human_review_needed,question_to_resolve,temporary_status_for_modeling
product_code,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
price,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
billing_method,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
max_screen,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
is_churn_prevented,leakage_suspect,outcome_or_intervention_proxy,post_outcome_or_target_review,review,review,high,target_proxy_or_intervention_timing_ambiguous,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
payment_device,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
is_user_verified,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
gender,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
age,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_date,date_or_time_anchor,subscription_anchor,subscription_anchor_date,no,no,medium,policy_excluded,"Registration date is an anchor, not a regular model feature.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_hour,acquisition,registration_context,subscription_anchor_derived_review,review,review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
end_date,timing_review_required,subscription_end_timing_review,subscription_end_timing_review,review,review,review,timing_ambiguous,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
is_standard,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
