feature_set,feature,forbidden
full_exploratory_w1_1,price_num,0
full_exploratory_w1_1,max_screen_num,0
full_exploratory_w1_1,is_promotion_bin,0
full_exploratory_w1_1,is_user_verified_bin,0
full_exploratory_w1_1,age_num,0
full_exploratory_w1_1,gender_clean,0
full_exploratory_w1_1,payment_device_clean,0
full_exploratory_w1_1,billing_method_clean,0
full_exploratory_w1_1,is_churn_prevented_bin,0
full_exploratory_w1_1,w1_1_has_watch_obs,0
full_exploratory_w1_1,w1_1_total_watch_time,0
full_exploratory_w1_1,w1_1_total_sessions,0
full_exploratory_w1_1,w1_1_unique_contents,0
full_exploratory_w1_1,w1_1_unique_watch_days,0
full_exploratory_w1_1,w1_1_avg_watch_time_per_session,0
full_exploratory_w1_1,w1_1_max_daily_watch_time,0
full_exploratory_w1_1,w1_1_max_day_share,0
full_exploratory_w1_1,w1_1_one_minute_watch_count,0
full_exploratory_w1_1,w1_1_short_watch_count_le5,0
full_exploratory_w1_1,w1_1_short_watch_time_le5,0
full_exploratory_w1_1,w1_1_week1_watch_time,0
full_exploratory_w1_1,w1_1_week1_sessions,0
full_exploratory_w1_1,w1_1_week1_ratio,0
full_exploratory_w1_1,w1_1_genre_covered_watch_time,0
full_exploratory_w1_1,w1_1_genre_unique_count,0
full_exploratory_w1_1,w1_1_genre_entropy,0
full_exploratory_w1_1,w1_1_top_genre,0
full_exploratory_w1_1,w1_1_top_genre_watch_time,0
full_exploratory_w1_1,w1_1_content_has_watch_obs,0
full_exploratory_w1_1,w1_1_genre_missing_watch_time,0
full_exploratory_w1_1,w1_1_genre_covered_watch_ratio,0
full_exploratory_w1_1,w1_1_genre_missing_watch_ratio,0
full_exploratory_w1_1,w1_1_top_genre_watch_ratio,0
full_exploratory_w1_1,w1_1_release_month_covered_watch_ratio,0
full_exploratory_w1_1,w1_1_avg_ott_release_month_weighted,0
full_exploratory_w1_1,w1_1_recent_content_watch_ratio,0
full_exploratory_w1_1,w1_1_old_content_watch_ratio,0
full_exploratory_w1_1,w1_1_genre_ratio_drama,0
full_exploratory_w1_1,w1_1_genre_watch_time_drama,0
full_exploratory_w1_1,w1_1_genre_session_count_drama,0
full_exploratory_w1_1,w1_1_genre_ratio_thriller_crime,0
full_exploratory_w1_1,w1_1_genre_watch_time_thriller_crime,0
full_exploratory_w1_1,w1_1_genre_session_count_thriller_crime,0
full_exploratory_w1_1,w1_1_genre_ratio_horror,0
full_exploratory_w1_1,w1_1_genre_watch_time_horror,0
full_exploratory_w1_1,w1_1_genre_session_count_horror,0
full_exploratory_w1_1,w1_1_genre_ratio_comedy,0
full_exploratory_w1_1,w1_1_genre_watch_time_comedy,0
full_exploratory_w1_1,w1_1_genre_session_count_comedy,0
full_exploratory_w1_1,w1_1_genre_ratio_action_adventure,0
full_exploratory_w1_1,w1_1_genre_watch_time_action_adventure,0
full_exploratory_w1_1,w1_1_genre_session_count_action_adventure,0
full_exploratory_w1_1,w1_1_genre_ratio_sf_fantasy,0
full_exploratory_w1_1,w1_1_genre_watch_time_sf_fantasy,0
full_exploratory_w1_1,w1_1_genre_session_count_sf_fantasy,0
full_exploratory_w1_1,w1_1_genre_ratio_romance,0
full_exploratory_w1_1,w1_1_genre_watch_time_romance,0
full_exploratory_w1_1,w1_1_genre_session_count_romance,0
full_exploratory_w1_1,w1_1_genre_ratio_documentary,0
full_exploratory_w1_1,w1_1_genre_watch_time_documentary,0
full_exploratory_w1_1,w1_1_genre_session_count_documentary,0
full_exploratory_w1_1,w1_1_genre_ratio_animation_family,0
full_exploratory_w1_1,w1_1_genre_watch_time_animation_family,0
full_exploratory_w1_1,w1_1_genre_session_count_animation_family,0
full_exploratory_w1_1,w1_1_genre_ratio_historical_war,0
full_exploratory_w1_1,w1_1_genre_watch_time_historical_war,0
full_exploratory_w1_1,w1_1_genre_session_count_historical_war,0
full_exploratory_w1_1,w1_1_genre_ratio_other,0
full_exploratory_w1_1,w1_1_genre_watch_time_other,0
full_exploratory_w1_1,w1_1_genre_session_count_other,0
full_exploratory_w1_2,price_num,0
full_exploratory_w1_2,max_screen_num,0
full_exploratory_w1_2,is_promotion_bin,0
full_exploratory_w1_2,is_user_verified_bin,0
full_exploratory_w1_2,age_num,0
full_exploratory_w1_2,gender_clean,0
full_exploratory_w1_2,payment_device_clean,0
full_exploratory_w1_2,billing_method_clean,0
full_exploratory_w1_2,is_churn_prevented_bin,0
full_exploratory_w1_2,w1_2_has_watch_obs,0
full_exploratory_w1_2,w1_2_total_watch_time,0
full_exploratory_w1_2,w1_2_total_sessions,0
full_exploratory_w1_2,w1_2_unique_contents,0
full_exploratory_w1_2,w1_2_unique_watch_days,0
full_exploratory_w1_2,w1_2_avg_watch_time_per_session,0
full_exploratory_w1_2,w1_2_max_daily_watch_time,0
full_exploratory_w1_2,w1_2_max_day_share,0
full_exploratory_w1_2,w1_2_one_minute_watch_count,0
full_exploratory_w1_2,w1_2_short_watch_count_le5,0
full_exploratory_w1_2,w1_2_short_watch_time_le5,0
full_exploratory_w1_2,w1_2_week1_watch_time,0
full_exploratory_w1_2,w1_2_week1_sessions,0
full_exploratory_w1_2,w1_2_week2_watch_time,0
full_exploratory_w1_2,w1_2_week2_sessions,0
full_exploratory_w1_2,w1_2_week1_ratio,0
full_exploratory_w1_2,w1_2_week2_ratio,0
full_exploratory_w1_2,w1_2_w2_minus_w1_watch_time,0
full_exploratory_w1_2,w1_2_genre_covered_watch_time,0
full_exploratory_w1_2,w1_2_genre_unique_count,0
full_exploratory_w1_2,w1_2_genre_entropy,0
full_exploratory_w1_2,w1_2_top_genre,0
full_exploratory_w1_2,w1_2_top_genre_watch_time,0
full_exploratory_w1_2,w1_2_content_has_watch_obs,0
full_exploratory_w1_2,w1_2_genre_missing_watch_time,0
full_exploratory_w1_2,w1_2_genre_covered_watch_ratio,0
full_exploratory_w1_2,w1_2_genre_missing_watch_ratio,0
full_exploratory_w1_2,w1_2_top_genre_watch_ratio,0
full_exploratory_w1_2,w1_2_release_month_covered_watch_ratio,0
full_exploratory_w1_2,w1_2_avg_ott_release_month_weighted,0
full_exploratory_w1_2,w1_2_recent_content_watch_ratio,0
full_exploratory_w1_2,w1_2_old_content_watch_ratio,0
full_exploratory_w1_2,w1_2_genre_ratio_drama,0
full_exploratory_w1_2,w1_2_genre_watch_time_drama,0
full_exploratory_w1_2,w1_2_genre_session_count_drama,0
full_exploratory_w1_2,w1_2_genre_ratio_thriller_crime,0
full_exploratory_w1_2,w1_2_genre_watch_time_thriller_crime,0
full_exploratory_w1_2,w1_2_genre_session_count_thriller_crime,0
full_exploratory_w1_2,w1_2_genre_ratio_horror,0
full_exploratory_w1_2,w1_2_genre_watch_time_horror,0
full_exploratory_w1_2,w1_2_genre_session_count_horror,0
full_exploratory_w1_2,w1_2_genre_ratio_comedy,0
full_exploratory_w1_2,w1_2_genre_watch_time_comedy,0
full_exploratory_w1_2,w1_2_genre_session_count_comedy,0
full_exploratory_w1_2,w1_2_genre_ratio_action_adventure,0
full_exploratory_w1_2,w1_2_genre_watch_time_action_adventure,0
full_exploratory_w1_2,w1_2_genre_session_count_action_adventure,0
full_exploratory_w1_2,w1_2_genre_ratio_sf_fantasy,0
full_exploratory_w1_2,w1_2_genre_watch_time_sf_fantasy,0
full_exploratory_w1_2,w1_2_genre_session_count_sf_fantasy,0
full_exploratory_w1_2,w1_2_genre_ratio_romance,0
full_exploratory_w1_2,w1_2_genre_watch_time_romance,0
full_exploratory_w1_2,w1_2_genre_session_count_romance,0
full_exploratory_w1_2,w1_2_genre_ratio_documentary,0
full_exploratory_w1_2,w1_2_genre_watch_time_documentary,0
full_exploratory_w1_2,w1_2_genre_session_count_documentary,0
full_exploratory_w1_2,w1_2_genre_ratio_animation_family,0
full_exploratory_w1_2,w1_2_genre_watch_time_animation_family,0
full_exploratory_w1_2,w1_2_genre_session_count_animation_family,0
full_exploratory_w1_2,w1_2_genre_ratio_historical_war,0
full_exploratory_w1_2,w1_2_genre_watch_time_historical_war,0
full_exploratory_w1_2,w1_2_genre_session_count_historical_war,0
full_exploratory_w1_2,w1_2_genre_ratio_other,0
full_exploratory_w1_2,w1_2_genre_watch_time_other,0
full_exploratory_w1_2,w1_2_genre_session_count_other,0
full_exploratory_w1_3,price_num,0
full_exploratory_w1_3,max_screen_num,0
full_exploratory_w1_3,is_promotion_bin,0
full_exploratory_w1_3,is_user_verified_bin,0
full_exploratory_w1_3,age_num,0
full_exploratory_w1_3,gender_clean,0
full_exploratory_w1_3,payment_device_clean,0
full_exploratory_w1_3,billing_method_clean,0
full_exploratory_w1_3,is_churn_prevented_bin,0
full_exploratory_w1_3,w1_3_has_watch_obs,0
full_exploratory_w1_3,w1_3_total_watch_time,0
full_exploratory_w1_3,w1_3_total_sessions,0
full_exploratory_w1_3,w1_3_unique_contents,0
full_exploratory_w1_3,w1_3_unique_watch_days,0
full_exploratory_w1_3,w1_3_avg_watch_time_per_session,0
full_exploratory_w1_3,w1_3_max_daily_watch_time,0
full_exploratory_w1_3,w1_3_max_day_share,0
full_exploratory_w1_3,w1_3_one_minute_watch_count,0
full_exploratory_w1_3,w1_3_short_watch_count_le5,0
full_exploratory_w1_3,w1_3_short_watch_time_le5,0
full_exploratory_w1_3,w1_3_week1_watch_time,0
full_exploratory_w1_3,w1_3_week1_sessions,0
full_exploratory_w1_3,w1_3_week2_watch_time,0
full_exploratory_w1_3,w1_3_week2_sessions,0
full_exploratory_w1_3,w1_3_week3_watch_time,0
full_exploratory_w1_3,w1_3_week3_sessions,0
full_exploratory_w1_3,w1_3_week1_ratio,0
full_exploratory_w1_3,w1_3_week2_ratio,0
full_exploratory_w1_3,w1_3_week3_ratio,0
full_exploratory_w1_3,w1_3_w2_minus_w1_watch_time,0
full_exploratory_w1_3,w1_3_w3_minus_w2_watch_time,0
full_exploratory_w1_3,w1_3_genre_covered_watch_time,0
full_exploratory_w1_3,w1_3_genre_unique_count,0
full_exploratory_w1_3,w1_3_genre_entropy,0
full_exploratory_w1_3,w1_3_top_genre,0
full_exploratory_w1_3,w1_3_top_genre_watch_time,0
full_exploratory_w1_3,w1_3_content_has_watch_obs,0
full_exploratory_w1_3,w1_3_genre_missing_watch_time,0
full_exploratory_w1_3,w1_3_genre_covered_watch_ratio,0
full_exploratory_w1_3,w1_3_genre_missing_watch_ratio,0
full_exploratory_w1_3,w1_3_top_genre_watch_ratio,0
full_exploratory_w1_3,w1_3_release_month_covered_watch_ratio,0
full_exploratory_w1_3,w1_3_avg_ott_release_month_weighted,0
full_exploratory_w1_3,w1_3_recent_content_watch_ratio,0
full_exploratory_w1_3,w1_3_old_content_watch_ratio,0
full_exploratory_w1_3,w1_3_genre_ratio_drama,0
full_exploratory_w1_3,w1_3_genre_watch_time_drama,0
full_exploratory_w1_3,w1_3_genre_session_count_drama,0
full_exploratory_w1_3,w1_3_genre_ratio_thriller_crime,0
full_exploratory_w1_3,w1_3_genre_watch_time_thriller_crime,0
full_exploratory_w1_3,w1_3_genre_session_count_thriller_crime,0
full_exploratory_w1_3,w1_3_genre_ratio_horror,0
full_exploratory_w1_3,w1_3_genre_watch_time_horror,0
full_exploratory_w1_3,w1_3_genre_session_count_horror,0
full_exploratory_w1_3,w1_3_genre_ratio_comedy,0
full_exploratory_w1_3,w1_3_genre_watch_time_comedy,0
full_exploratory_w1_3,w1_3_genre_session_count_comedy,0
full_exploratory_w1_3,w1_3_genre_ratio_action_adventure,0
full_exploratory_w1_3,w1_3_genre_watch_time_action_adventure,0
full_exploratory_w1_3,w1_3_genre_session_count_action_adventure,0
full_exploratory_w1_3,w1_3_genre_ratio_sf_fantasy,0
full_exploratory_w1_3,w1_3_genre_watch_time_sf_fantasy,0
full_exploratory_w1_3,w1_3_genre_session_count_sf_fantasy,0
full_exploratory_w1_3,w1_3_genre_ratio_romance,0
full_exploratory_w1_3,w1_3_genre_watch_time_romance,0
full_exploratory_w1_3,w1_3_genre_session_count_romance,0
full_exploratory_w1_3,w1_3_genre_ratio_documentary,0
full_exploratory_w1_3,w1_3_genre_watch_time_documentary,0
full_exploratory_w1_3,w1_3_genre_session_count_documentary,0
full_exploratory_w1_3,w1_3_genre_ratio_animation_family,0
full_exploratory_w1_3,w1_3_genre_watch_time_animation_family,0
full_exploratory_w1_3,w1_3_genre_session_count_animation_family,0
