"relative_path","item_type","depth","size_bytes","modified_time"
"PUBLIC\data","directory","1","","2026-05-20 15:52:37"
"PUBLIC\data\06_expanded_dataset_log_retention.csv","file","2","12958570","2026-05-20 13:42:33"
"PUBLIC\data\06_expanded_dataset_promo_0_log_retention.csv","file","2","6269242","2026-05-20 13:42:33"
"PUBLIC\data\06_expanded_dataset_promo_1_log_retention.csv","file","2","6690807","2026-05-20 13:42:34"
"PUBLIC\data\06_log_retention_validation.csv","file","2","1092","2026-05-20 15:52:43"
"PUBLIC\data\06_model_input_promo_0.csv","file","2","5993802","2026-05-20 14:39:46"
"PUBLIC\data\06_model_input_promo_1.csv","file","2","6397348","2026-05-20 14:39:47"
"PUBLIC\data\260520_raw_Membership_v2_with_derived_features.csv","file","2","13815967","2026-05-20 12:40:23"
"PUBLIC\handoff","directory","1","","2026-05-20 15:54:50"
"PUBLIC\handoff\PUBLIC_lineage_snapshot_20260520_155450","directory","2","","2026-05-20 15:54:50"
"PUBLIC\handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_inventory_full.csv","file","3","0","2026-05-20 15:54:50"
"PUBLIC\handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_tree_full.txt","file","3","20244","2026-05-20 15:54:50"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520","directory","2","","2026-05-20 15:53:04"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\misnumbered_06_model_artifacts_audit.csv","file","3","5455","2026-05-20 15:53:56"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_06xy_notebook_relocation_260520.csv","file","3","433","2026-05-20 15:53:04"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_existing_inventory_before_realignment.csv","file","3","52404","2026-05-20 15:53:56"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_pipeline_realignment_final_checks.csv","file","3","2299","2026-05-20 15:53:04"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_pipeline_realignment_zip_inventory.csv","file","3","1510","2026-05-20 15:53:58"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_pipeline_stage_map_260520.csv","file","3","8841","2026-05-20 15:53:56"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\README.md","file","3","2652","2026-05-20 15:53:56"
"PUBLIC\handoff\PUBLIC_pipeline_realignment_260520\run_realignment_260520.py","file","3","32866","2026-05-20 15:53:56"
"PUBLIC\legacy","directory","1","","2026-05-20 13:09:02"
"PUBLIC\legacy\06x_expanded_dataset.csv","file","2","9983123","2026-05-19 12:54:25"
"PUBLIC\legacy\aarrr_visual_guide.html","file","2","97199","2026-05-19 15:33:04"
"PUBLIC\legacy\FINAL_promo_0.csv","file","2","4719535","2026-05-19 18:14:58"
"PUBLIC\legacy\FINAL_promo_1.csv","file","2","5034067","2026-05-19 18:14:58"
"PUBLIC\legacy\note.md","file","2","205613","2026-05-19 12:54:25"
"PUBLIC\legacy\project_guide_v2.html","file","2","116037","2026-05-19 15:31:35"
"PUBLIC\legacy\segment_visual_guide.html","file","2","143995","2026-05-19 15:26:32"
"PUBLIC\legacy\shap_visual_guide.html","file","2","30720","2026-05-19 12:54:27"
"PUBLIC\note.md","file","1","63374","2026-05-20 15:53:55"
"PUBLIC\notebooks","directory","1","","2026-05-20 15:52:37"
"PUBLIC\notebooks\_archive","directory","2","","2026-05-20 15:52:37"
"PUBLIC\notebooks\_archive\misnumbered_06_model_notebooks_260520","directory","3","","2026-05-20 15:47:58"
"PUBLIC\notebooks\06_dataset_260520","directory","2","","2026-05-20 15:52:37"
"PUBLIC\notebooks\06_dataset_260520\06x_dataset_generation_260515.ipynb","file","3","49286","2026-05-20 13:33:51"
"PUBLIC\notebooks\06_dataset_260520\06y_promo_split_260520.ipynb","file","3","18001","2026-05-20 13:34:11"
"PUBLIC\notebooks\06_dataset_260520\README.md","file","3","1502","2026-05-20 15:53:57"
"PUBLIC\notebooks\07_feature_mapping_AARRR_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\07_feature_mapping_AARRR_260520\README.md","file","3","564","2026-05-20 15:52:56"
"PUBLIC\notebooks\08_promotion_nonpromotion_EDA_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\08_promotion_nonpromotion_EDA_260520\README.md","file","3","635","2026-05-20 15:52:56"
"PUBLIC\notebooks\09_promotion_repurchase_2x2_EDA_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\09_promotion_repurchase_2x2_EDA_260520\README.md","file","3","635","2026-05-20 15:52:56"
"PUBLIC\notebooks\10_feature_distribution_redundancy_pre_audit_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\10_feature_distribution_redundancy_pre_audit_260520\README.md","file","3","658","2026-05-20 15:52:56"
"PUBLIC\notebooks\11_baseline_growth_comparison_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\11_baseline_growth_comparison_260520\README.md","file","3","604","2026-05-20 15:53:57"
"PUBLIC\notebooks\12_model_family_comparison_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\12_model_family_comparison_260520\README.md","file","3","569","2026-05-20 15:52:56"
"PUBLIC\notebooks\14_candidate_tuning_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\14_candidate_tuning_260520\README.md","file","3","603","2026-05-20 15:52:56"
"PUBLIC\notebooks\15_oof_score_or_sensitivity_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\README.md","file","3","606","2026-05-20 15:52:56"
"PUBLIC\notebooks\16_SHAP_candidate_interpretation_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\16_SHAP_candidate_interpretation_260520\README.md","file","3","568","2026-05-20 15:52:56"
"PUBLIC\notebooks\17_segmentation_design_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\17_segmentation_design_260520\README.md","file","3","620","2026-05-20 15:52:56"
"PUBLIC\notebooks\18_business_recommendation_storyline_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\notebooks\18_business_recommendation_storyline_260520\README.md","file","3","688","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections","directory","2","","2026-05-20 15:47:58"
"PUBLIC\notebooks\99_model_selections\99_model_selections_notebook_manifest_260520.csv","file","3","5132","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections\catboost","directory","3","","2026-05-20 15:47:58"
"PUBLIC\notebooks\99_model_selections\catboost\01_catboost_promo0.ipynb","file","4","8240","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\catboost\01_catboost_promo0_conservative.ipynb","file","4","19777","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\catboost\02_catboost_promo1.ipynb","file","4","8240","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\catboost\02_catboost_promo1_conservative.ipynb","file","4","24322","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\gradient_boosting","directory","3","","2026-05-20 15:52:37"
"PUBLIC\notebooks\99_model_selections\gradient_boosting\06_gb_promo0.ipynb","file","4","10920","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections\gradient_boosting\06_gb_promo1.ipynb","file","4","10920","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections\gradient_boosting\09_gradientboosting_promo0.ipynb","file","4","19037","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\gradient_boosting\10_gradientboosting_promo1.ipynb","file","4","19218","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\logistic_regression","directory","3","","2026-05-20 15:52:37"
"PUBLIC\notebooks\99_model_selections\logistic_regression\06_lr_promo0.ipynb","file","4","36547","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections\logistic_regression\06_lr_promo1.ipynb","file","4","36636","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections\logistic_regression\07_lr_promo0.ipynb","file","4","8188","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\logistic_regression\08_lr_promo1.ipynb","file","4","8188","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\random_forest","directory","3","","2026-05-20 15:47:58"
"PUBLIC\notebooks\99_model_selections\random_forest\05_rf_promo0.ipynb","file","4","15084","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\random_forest\06_rf_promo1.ipynb","file","4","15017","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\README.md","file","3","646","2026-05-20 15:52:56"
"PUBLIC\notebooks\99_model_selections\svm","directory","3","","2026-05-20 15:47:58"
