issue_id,column_name,previous_primary_role,previous_feature_family,previous_timing_family,issue_description,severity,patch_action
ISSUE_001,retention_w2_ratio,genre_ratio,content_genre,week2_observation,retention_w2_ratio classified as genre_ratio.,high,Reclassify as retention / retention_ratio / week1_to_week2_change.
ISSUE_002,retention_w3_ratio,genre_ratio,content_genre,week3_observation,retention_w3_ratio classified as genre_ratio.,high,Reclassify as retention / retention_ratio / week1_to_week3_change.
ISSUE_003,active_ratio,genre_ratio,content_genre,content_window_ambiguous,active_ratio classified as genre_ratio but is a usage/behavior ratio.,medium,Reclassify as usage behavior ratio and keep review if window ambiguous.
ISSUE_004,avg_rewatch_ratio,genre_ratio,content_genre,content_window_ambiguous,avg_rewatch_ratio classified as genre_ratio but is a usage/behavior ratio.,medium,Reclassify as usage behavior ratio and keep review if window ambiguous.
ISSUE_005,weekend_watch_ratio,genre_ratio,content_genre,content_window_ambiguous,weekend_watch_ratio classified as genre_ratio but is a usage/behavior ratio.,medium,Reclassify as usage behavior ratio and keep review if window ambiguous.
ISSUE_006,watch_ratio_under_1m,genre_ratio,content_genre,content_window_ambiguous,watch_ratio_under_1m classified as genre_ratio but is a usage/behavior ratio.,medium,Reclassify as usage behavior ratio and keep review if window ambiguous.
ISSUE_007,watch_ratio_under_5m,genre_ratio,content_genre,content_window_ambiguous,watch_ratio_under_5m classified as genre_ratio but is a usage/behavior ratio.,medium,Reclassify as usage behavior ratio and keep review if window ambiguous.
ISSUE_008,is_cold_start_3d,content_recency,content,content_window_ambiguous,is_cold_start_3d classified as content_recency.,high,Reclassify as activation_onboarding / early_activation.
ISSUE_009,is_cold_start_7d,content_recency,content,content_window_ambiguous,is_cold_start_7d classified as content_recency.,high,Reclassify as activation_onboarding / week1_observation.
ISSUE_010,diff_between_w2_w1,activation,usage_observation,week1_to_week2_change,diff_between_w2_w1 was not clearly classified as retention change.,high,Reclassify as retention_change with matching week-to-week timing.
ISSUE_011,diff_between_w3_w1,activation,usage_observation,week1_to_week3_change,diff_between_w3_w1 was not clearly classified as retention change.,high,Reclassify as retention_change with matching week-to-week timing.
ISSUE_012,diff_between_w3_w2,retention,usage_observation,week2_to_week3_change,diff_between_w3_w2 was not clearly classified as retention change.,high,Reclassify as retention_change with matching week-to-week timing.
