column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve,patched_primary_role,patched_feature_family,patched_sub_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,patched_allowed_for_baseline_ladder_membership_only,patched_allowed_for_baseline_ladder_activation,patched_allowed_for_baseline_ladder_retention_w2,patched_allowed_for_baseline_ladder_retention_w3,patched_allowed_for_baseline_ladder_content,patched_allowed_for_segment_design_candidate,patched_reason,patched_required_user_confirmation,patched_future_step_to_resolve,patch_changed,patch_change_summary
2,product_code,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,product_code,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> product_code; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
3,price,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,price,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> price; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
4,billing_method,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,billing_method,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> billing_method; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
5,max_screen,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,max_screen,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> max_screen; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
7,is_churn_prevented,leakage_suspect,outcome_or_target_proxy,target_like_name,outcome-like wording,post_outcome_or_target,no,no,no,no,no,no,no,no,"outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.",yes,must_resolve_before_modeling_or_drop,leakage_suspect,outcome_or_intervention_proxy,churn_prevention_ambiguous,post_outcome_or_target_review,review,review,no,no,no,no,no,review,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,yes,resolve_intervention_timing_before_modeling,yes,feature_family: outcome_or_target_proxy -> outcome_or_intervention_proxy; sub_family: target_like_name -> churn_prevention_ambiguous; timing_family: post_outcome_or_target -> post_outcome_or_target_review; allowed_for_overall_model_candidate: no -> review; allowed_for_groupwise_model_candidate: no -> review
8,payment_device,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,payment_device,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> payment_device; timing_family: unknown -> static_or_pre_subscription_review
9,is_user_verified,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,is_user_verified,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> is_user_verified; timing_family: unknown -> static_or_pre_subscription_review
10,gender,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,gender,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> gender; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
11,age,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,age,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> age; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
12,reg_date,date_or_time_anchor,subscription_anchor,registration_date,"subscription start anchor, not a regular feature",subscription_anchor_date,no,no,no,no,no,no,no,review,"subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_allowed_date_derivations_only,date_or_time_anchor,subscription_anchor,registration_date,subscription_anchor_date,no,no,no,no,no,no,no,review,"Registration date is an anchor, not a regular model feature.",yes,confirm_allowed_date_derivations_only,no,
