feature_set_name,column_name,include_status,reason,required_resolution_if_review
overall_model_candidate_with_promotion,USER_KEY,exclude,Identifier; row-level/subscription-event-level analysis is not unique-user-level. Never use as model feature.,
overall_model_candidate_with_promotion,product_code,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,price,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,billing_method,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,max_screen,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,is_promotion,include,"Top-level split variable. It may be used only for overall comparison, and must be excluded inside promotion-only/non-promotion-only models.",
overall_model_candidate_with_promotion,is_churn_prevented,review,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,resolve_intervention_timing_before_modeling
overall_model_candidate_with_promotion,payment_device,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,is_user_verified,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,gender,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,age,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,reg_date,exclude,"Registration date is an anchor, not a regular model feature.",
overall_model_candidate_with_promotion,reg_hour,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling
overall_model_candidate_with_promotion,end_date,review,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,06_common_preprocessing_and_final_cohort_260513
