column_name,patched_primary_role,patched_feature_family,patched_timing_family,leakage_risk_level,leakage_type,why_suspicious,can_use_in_model_now,required_resolution_before_modeling,recommended_action
USER_KEY,id,identifier,id_target_split,critical,id_leakage,Identifier; row-level/subscription-event-level analysis is not unique-user-level. Never use as model feature.,no,never_use_as_model_feature,exclude
product_code,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
price,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
billing_method,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
max_screen,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
is_promotion,split,split_variable,id_target_split,low,split_feature_policy,"Top-level split variable. It may be used only for overall comparison, and must be excluded inside promotion-only/non-promotion-only models.",overall_yes_groupwise_no,overall_model_comparison_only_if_used,usable only under stated split policy
is_churn_prevented,leakage_suspect,outcome_or_intervention_proxy,post_outcome_or_target_review,high,target_proxy_or_intervention_timing_ambiguous,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,review,resolve_intervention_timing_before_modeling,hold for review
payment_device,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
is_user_verified,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
gender,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
age,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
reg_date,date_or_time_anchor,subscription_anchor,subscription_anchor_date,medium,policy_excluded,"Registration date is an anchor, not a regular model feature.",no,confirm_allowed_date_derivations_only,exclude
reg_hour,acquisition,registration_context,subscription_anchor_derived_review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,review,confirm_registration_context_semantics_before_modeling,hold for review
end_date,timing_review_required,subscription_end_timing_review,subscription_end_timing_review,review,timing_ambiguous,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,review,06_common_preprocessing_and_final_cohort_260513,hold for review
is_repurchase,target,target,id_target_split,critical,target_leakage,Target; positive class means repurchase. Never use as model feature.,no,target_contract_established,exclude
is_standard,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
is_premium,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
age_group,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
is_female,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
is_male,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
reg_is_weekend,acquisition,registration_context,subscription_anchor_derived_review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,review,confirm_registration_context_semantics_before_modeling,hold for review
reg_hour_morning,acquisition,registration_context,subscription_anchor_derived_review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,review,confirm_registration_context_semantics_before_modeling,hold for review
reg_hour_afternoon,acquisition,registration_context,subscription_anchor_derived_review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,review,confirm_registration_context_semantics_before_modeling,hold for review
reg_hour_evening,acquisition,registration_context,subscription_anchor_derived_review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,review,confirm_registration_context_semantics_before_modeling,hold for review
reg_hour_night,acquisition,registration_context,subscription_anchor_derived_review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,review,confirm_registration_context_semantics_before_modeling,hold for review
payment_is_mobile,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
payment_is_pc,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
payment_is_android,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
payment_is_ios,membership_context,membership_context,static_or_pre_subscription_review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,review,confirm_metadata_semantics_before_modeling,hold for review
total_watch_count,aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,timing_ambiguous,Total usage column remains review until proven to be day0-20 only.,review,confirm_total_usage_window_before_modeling,hold for review
unique_movie,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
active_ratio,retention,usage_behavior_ratio,all_period_ambiguous,review,timing_ambiguous,"active_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",review,confirm_usage_ratio_window_before_modeling,hold for review
total_watch_time(min),aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,timing_ambiguous,Total usage column remains review until proven to be day0-20 only.,review,confirm_total_usage_window_before_modeling,hold for review
watch_per_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
avg_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
median_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
std_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
avg_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
max_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
max_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
max_daily_sessions,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
recency,timing_review_required,content_recency,reference_date_review,review,timing_ambiguous,Recency reference date is unresolved; it must be day21 scoring point or earlier.,review,confirm_recency_reference_date,hold for review
avg_gap_between_watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
max_inactive_gap_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
avg_rewatch_ratio,aggregate_usage_review,engagement_depth,all_period_ambiguous,review,timing_ambiguous,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",review,confirm_usage_ratio_window_before_modeling,hold for review
weekend_watch_ratio,aggregate_usage_review,viewing_pattern,all_period_ambiguous,review,timing_ambiguous,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",review,confirm_usage_ratio_window_before_modeling,hold for review
watch_ratio_under_1m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,timing_ambiguous,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",review,confirm_usage_ratio_window_before_modeling,hold for review
watch_ratio_under_5m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,timing_ambiguous,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",review,confirm_usage_ratio_window_before_modeling,hold for review
movie_per_active_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
max_day_share,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
day_count_over_3times,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,review,confirm_usage_window_before_modeling,hold for review
new_movie_in_90d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,timing_ambiguous,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",review,confirm_content_window_before_modeling,hold for review
new_movie_in_180d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,timing_ambiguous,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",review,confirm_content_window_before_modeling,hold for review
new_movie_in_365d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,timing_ambiguous,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",review,confirm_content_window_before_modeling,hold for review
old_movie_ratio(5y),genre_ratio,content_genre,content_window_ambiguous,review,timing_ambiguous,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for review
avg_ott_release_year,content_recency,content_metadata_recency,content_recency_window_ambiguous,review,timing_ambiguous,Average release year is content metadata/recency; construction window remains unresolved.,review,confirm_content_window_before_modeling,hold for review
genre_diversity_count,genre_ratio,content_genre,content_window_ambiguous,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,review,confirm_content_window_before_modeling,hold for review
action_adventure_ratio,genre_ratio,content_genre,content_window_ambiguous,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,review,confirm_content_window_before_modeling,hold for review
family_animation_ratio,genre_ratio,content_genre,content_window_ambiguous,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,review,confirm_content_window_before_modeling,hold for review
