audit_type,split_id,bin,n,mean_repurchase_score,observed_repurchase_rate,mean_churn_risk_score,observed_churn_rate,brier_score,label,lift_vs_overall_churn,overall_churn_rate,decile_order,roc_auc_repurchase
calibration_bin,stage06_holdout,"(0.114, 0.287]",478,0.22445463603588328,0.21548117154811716,0.7755453639641167,0.7845188284518828,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.287, 0.451]",478,0.3647573809204426,0.3179916317991632,0.6352426190795574,0.6820083682008369,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.451, 0.592]",477,0.5287539130947232,0.5010482180293501,0.47124608690527675,0.49895178197064993,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.592, 0.715]",490,0.6590167372382586,0.6285714285714286,0.3409832627617414,0.37142857142857144,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.715, 0.799]",466,0.7534448649616043,0.7424892703862661,0.2465551350383957,0.2575107296137339,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.799, 0.884]",477,0.8454561679085074,0.8637316561844863,0.1545438320914927,0.13626834381551367,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.884, 0.93]",478,0.9091623443252592,0.9142259414225942,0.09083765567474077,0.08577405857740583,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.93, 0.957]",477,0.9443021606429619,0.9748427672955975,0.05569783935703807,0.02515723270440251,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.957, 0.972]",478,0.9646662722748334,0.9853556485355649,0.035333727725166686,0.014644351464435101,0.13023177269048744,,,,,
calibration_bin,stage06_holdout,"(0.972, 0.989]",478,0.9793581193207037,0.9895397489539749,0.020641880679296214,0.010460251046025104,0.13023177269048744,,,,,
risk_decile,stage06_holdout,D1,478,,0.21548117154811716,0.7755453639641168,0.7845188284518828,0.13023177269048744,conservative_w1_3_hgb,2.733513087902731,0.2870002093364036,1.0,
risk_decile,stage06_holdout,D2,478,,0.3179916317991632,0.6352426190795575,0.6820083682008368,0.13023177269048744,conservative_w1_3_hgb,2.376334044416774,0.2870002093364036,2.0,
risk_decile,stage06_holdout,D3,477,,0.5010482180293501,0.4712460869052768,0.4989517819706499,0.13023177269048744,conservative_w1_3_hgb,1.738506683058931,0.2870002093364036,3.0,
risk_decile,stage06_holdout,D4,478,,0.6255230125523012,0.342389947829451,0.37447698744769875,0.13023177269048744,conservative_w1_3_hgb,1.3047969139589037,0.2870002093364036,4.0,
risk_decile,stage06_holdout,D5,478,,0.7426778242677824,0.2475190305829877,0.25732217573221755,0.13023177269048744,conservative_w1_3_hgb,0.8965922928320958,0.2870002093364036,5.0,
risk_decile,stage06_holdout,D6,477,,0.8637316561844863,0.1545438320914927,0.13626834381551362,0.13023177269048744,conservative_w1_3_hgb,0.4748022453732375,0.2870002093364036,6.0,
risk_decile,stage06_holdout,D7,478,,0.9142259414225942,0.09083765567474078,0.08577405857740586,0.13023177269048744,conservative_w1_3_hgb,0.29886409761069865,0.2870002093364036,7.0,
risk_decile,stage06_holdout,D8,477,,0.9748427672955975,0.05569783935703807,0.025157232704402517,0.13023177269048744,conservative_w1_3_hgb,0.08765579914582847,0.2870002093364036,8.0,
risk_decile,stage06_holdout,D9,478,,0.9853556485355649,0.035333727725166686,0.014644351464435146,0.13023177269048744,conservative_w1_3_hgb,0.051025577640850986,0.2870002093364036,9.0,
risk_decile,stage06_holdout,D10,478,,0.9895397489539749,0.020641880679296214,0.010460251046025104,0.13023177269048744,conservative_w1_3_hgb,0.036446841172036414,0.2870002093364036,10.0,
repeated_split_top_decile,repeat_1,D1,4775,,,,0.803347280334728,0.13022492210223505,,2.7796980171002366,,,0.8744251990352394
repeated_split_top_decile,repeat_2,D1,4777,,,,0.7656903765690377,0.13258852152651954,,2.6295491940117133,,,0.868591672140921
repeated_split_top_decile,repeat_3,D1,4779,,,,0.7552301255230126,0.12792877703473227,,2.7720773962169565,,,0.8675016909451488
