subgroup,status,blocked_reason,n,repurchase_rate,churn_rate,roc_auc_repurchase,average_precision_churn_risk,auc_drop_vs_overall,collapse_flag
is_promotion=O,RUN,,2429,0.6669411280362288,0.33305887196377115,0.8592081368554381,0.7265309714881122,0.011255900307281186,N
price_100won_or_less,RUN,,3257,0.6938900828983727,0.30610991710162727,0.8639422692857333,0.7093057028246545,0.0065217678769859955,N
price_low_le_median_100.0,RUN,,3257,0.6938900828983727,0.30610991710162727,0.8639422692857333,0.7093057028246545,0.0065217678769859955,N
price_high_gt_median_100.0,RUN,,1520,0.7539473684210526,0.2460526315789474,0.8833410327481779,0.6930474150925421,-0.012876995585458628,N
max_screen=1.0,RUN,,2984,0.6957104557640751,0.3042895442359249,0.8623337407586599,0.7059834828699798,0.008130296404059378,N
max_screen=2.0,RUN,,960,0.75625,0.24375000000000002,0.8792970497515952,0.6853783301804417,-0.008833012588875921,N
max_screen=3.0,BLOCKED,too few rows or one target class in subgroup,3,,,,,,
max_screen=4.0,RUN,,818,0.7237163814180929,0.2762836185819071,0.8889021765127958,0.7270313297982269,-0.018438139350076543,N
has_watch_history,RUN,,4469,0.7133586932199597,0.2866413067800403,0.8808901844054158,0.7181619503553768,-0.010426147242696526,N
no_watch_history,RUN,,308,0.7077922077922078,0.29220779220779225,0.5964576962283384,0.3496879359507199,0.2740063409343808,Y
high_risk_product_code=pk_2027,RUN,,160,0.65625,0.34375,0.8757575757575757,0.7270722671827687,-0.005293538594856484,N
high_risk_product_code=pk_1487,RUN,,1701,0.6748971193415638,0.3251028806584362,0.8609051987574902,0.7251135869694587,0.009558838405229086,N
high_risk_product_code=pk_2025,RUN,,628,0.6878980891719745,0.3121019108280255,0.8624692932728648,0.7092997785861079,0.007994743889854439,N
high_risk_product_code=pk_1489,RUN,,590,0.7322033898305085,0.2677966101694915,0.8921560009376465,0.7468575425483096,-0.021691963774927214,N
high_risk_product_code=pk_2026,RUN,,182,0.7417582417582418,0.2582417582417582,0.8674546887312845,0.6478273565815156,0.003009348431434744,N
