check_name,status,expected,actual,notes
PUBLIC root exists,PASS,PUBLIC directory,True,
notebooks root exists,PASS,PUBLIC/notebooks,True,
reports root exists,PASS,PUBLIC/reports,True,
zip root exists,PASS,PUBLIC/zip,True,
handoff root exists,PASS,PUBLIC/handoff/PUBLIC_pipeline_realignment_260520,True,
06 folder exists,PASS,PUBLIC/notebooks/06_dataset_260520,True,
07 folder exists,PASS,PUBLIC/notebooks/07_feature_mapping_AARRR_260520,True,
08 folder exists,PASS,PUBLIC/notebooks/08_promotion_nonpromotion_EDA_260520,True,
09 folder exists,PASS,PUBLIC/notebooks/09_promotion_repurchase_2x2_EDA_260520,True,
10 folder exists,PASS,PUBLIC/notebooks/10_feature_distribution_redundancy_pre_audit_260520,True,
11 folder exists,PASS,PUBLIC/notebooks/11_baseline_growth_comparison_260520,True,
12 folder exists,PASS,PUBLIC/notebooks/12_model_family_comparison_260520,True,
14 folder exists,PASS,PUBLIC/notebooks/14_candidate_tuning_260520,True,
15 folder exists,PASS,PUBLIC/notebooks/15_oof_score_or_sensitivity_260520,True,
16 folder exists,PASS,PUBLIC/notebooks/16_SHAP_candidate_interpretation_260520,True,
17 folder exists,PASS,PUBLIC/notebooks/17_segmentation_design_260520,True,
18 folder exists,PASS,PUBLIC/notebooks/18_business_recommendation_storyline_260520,True,
06x notebook relocated under 06,PASS,06x inside 06_dataset_260520,True,
06y notebook relocated under 06,PASS,06y inside 06_dataset_260520,True,
stage map exists,PASS,stage map CSV,True,
before inventory exists,PASS,before inventory CSV,True,
misnumbered audit exists,PASS,misnumbered audit CSV,True,
README exists,PASS,handoff README,True,
note updated,PASS,note append section,True,
no model execution performed,PASS,No model execution during this cleanup,No notebook/model command executed,
no Optuna performed,PASS,No Optuna during this cleanup,No Optuna command executed,
no SHAP performed,PASS,No SHAP during this cleanup,No SHAP command executed,
no segmentation performed,PASS,No segmentation during this cleanup,No segmentation command executed,
11 README states blocked until 07~10,PASS,11 blocked wording,True,
99_model_selections exists,PASS,model notebook holding folder,True,
zip package created,PASS,review zip exists,True,
zip inventory created,PASS,zip inventory CSV exists,True,
