relative_path,item_type,size_bytes,modified_time,guessed_stage_from_name,current_location,proposed_action,proposed_new_location,reason,status
data,directory,,2026-05-20T14:17:55,not_guessed_from_name,data,keep_in_place,data,existing item kept in place,not_moved
data/06_expanded_dataset_log_retention.csv,file,12958570,2026-05-20T13:42:33,guessed_from_name:06,data/06_expanded_dataset_log_retention.csv,keep_in_place,data/06_expanded_dataset_log_retention.csv,existing PUBLIC data input candidate kept in place; schema/content not validated in this structural realignment,not_moved
data/06_expanded_dataset_promo_0_log_retention.csv,file,6269242,2026-05-20T13:42:33,guessed_from_name:06,data/06_expanded_dataset_promo_0_log_retention.csv,keep_in_place,data/06_expanded_dataset_promo_0_log_retention.csv,existing PUBLIC data input candidate kept in place; schema/content not validated in this structural realignment,not_moved
data/06_expanded_dataset_promo_1_log_retention.csv,file,6690807,2026-05-20T13:42:34,guessed_from_name:06,data/06_expanded_dataset_promo_1_log_retention.csv,keep_in_place,data/06_expanded_dataset_promo_1_log_retention.csv,existing PUBLIC data input candidate kept in place; schema/content not validated in this structural realignment,not_moved
data/06_log_retention_validation.csv,file,1098,2026-05-20T13:42:34,guessed_from_name:06,data/06_log_retention_validation.csv,keep_in_place,data/06_log_retention_validation.csv,existing PUBLIC data input candidate kept in place; schema/content not validated in this structural realignment,not_moved
data/06_model_input_promo_0.csv,file,5993802,2026-05-20T14:39:46,guessed_from_name:06,data/06_model_input_promo_0.csv,keep_in_place,data/06_model_input_promo_0.csv,existing PUBLIC data input candidate kept in place; schema/content not validated in this structural realignment,not_moved
data/06_model_input_promo_1.csv,file,6397348,2026-05-20T14:39:47,guessed_from_name:06,data/06_model_input_promo_1.csv,keep_in_place,data/06_model_input_promo_1.csv,existing PUBLIC data input candidate kept in place; schema/content not validated in this structural realignment,not_moved
data/260520_raw_Membership_v2_with_derived_features.csv,file,13815967,2026-05-20T12:40:23,not_guessed_from_name,data/260520_raw_Membership_v2_with_derived_features.csv,keep_in_place,data/260520_raw_Membership_v2_with_derived_features.csv,existing item kept in place,not_moved
handoff,directory,,2026-05-20T15:24:00,not_guessed_from_name,handoff,keep_in_place,handoff,existing item kept in place,not_moved
legacy,directory,,2026-05-20T13:09:02,not_guessed_from_name,legacy,keep_in_place,legacy,existing item kept in place,not_moved
legacy/06x_expanded_dataset.csv,file,9983123,2026-05-19T12:54:25,guessed_from_name:06x_noncanonical_predecessor,legacy/06x_expanded_dataset.csv,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/aarrr_visual_guide.html,file,97199,2026-05-19T15:33:04,not_guessed_from_name,legacy/aarrr_visual_guide.html,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/FINAL_promo_0.csv,file,4719535,2026-05-19T18:14:58,not_guessed_from_name,legacy/FINAL_promo_0.csv,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/FINAL_promo_1.csv,file,5034067,2026-05-19T18:14:58,not_guessed_from_name,legacy/FINAL_promo_1.csv,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/note.md,file,205613,2026-05-19T12:54:25,not_guessed_from_name,legacy/note.md,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/project_guide_v2.html,file,116037,2026-05-19T15:31:35,not_guessed_from_name,legacy/project_guide_v2.html,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/segment_visual_guide.html,file,143995,2026-05-19T15:26:32,not_guessed_from_name,legacy/segment_visual_guide.html,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
legacy/shap_visual_guide.html,file,30720,2026-05-19T12:54:27,not_guessed_from_name,legacy/shap_visual_guide.html,leave_unmodified_needs_user_review,,legacy item kept unchanged as reference,not_moved
note.md,file,61395,2026-05-20T14:39:36,not_guessed_from_name,note.md,keep_in_place,note.md,existing item kept in place,not_moved
notebooks,directory,,2026-05-20T14:38:06,not_guessed_from_name,notebooks,keep_in_place,notebooks,existing item kept in place,not_moved
notebooks/01_catboost_promo0.ipynb,file,8239,2026-05-19T19:58:29,not_guessed_from_name,notebooks/01_catboost_promo0.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/01_catboost_promo0_conservative.ipynb,file,19329,2026-05-20T11:11:53,not_guessed_from_name,notebooks/01_catboost_promo0_conservative.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/02_catboost_promo1.ipynb,file,8239,2026-05-19T19:58:29,not_guessed_from_name,notebooks/02_catboost_promo1.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/02_catboost_promo1_conservative.ipynb,file,24323,2026-05-20T11:47:07,not_guessed_from_name,notebooks/02_catboost_promo1_conservative.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/03_svm_promo0.ipynb,file,8220,2026-05-19T19:58:29,not_guessed_from_name,notebooks/03_svm_promo0.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
