iter	Passed	Remaining
0	15	3066
1	19	1943
2	23	1532
3	29	1435
4	33	1290
5	37	1198
6	42	1181
7	46	1126
8	50	1073
9	54	1029
10	61	1051
11	64	1015
12	68	983
13	74	984
14	78	972
15	82	947
16	86	936
17	93	946
18	97	930
19	102	921
20	108	924
21	113	917
22	118	911
23	126	924
24	130	911
25	136	912
26	142	913
27	147	905
28	159	937
29	163	927
30	167	914
31	174	913
32	178	901
33	181	887
34	185	875
35	191	872
36	195	859
37	198	845
38	202	837
39	208	833
40	212	823
41	216	814
42	221	810
43	226	802
44	230	793
45	234	785
46	240	782
47	244	774
48	249	767
49	254	762
50	257	753
51	262	746
52	266	739
53	271	735
54	276	727
55	280	720
56	285	715
57	289	709
58	294	702
59	297	694
60	304	692
61	308	686
62	312	678
63	318	676
64	323	671
65	327	664
66	331	657
67	336	653
68	340	645
69	344	639
70	348	633
71	353	629
72	358	623
73	362	617
74	368	613
75	372	607
76	375	600
77	380	595
78	386	591
79	391	587
80	396	582
81	401	578
82	406	572
83	410	566
84	415	561
85	419	556
86	423	550
87	427	544
88	431	538
89	436	533
90	440	527
91	444	521
92	451	519
93	455	513
94	460	508
95	466	505
96	471	500
97	475	495
98	481	491
99	486	486
100	490	480
101	495	475
102	499	470
103	504	465
104	508	459
105	513	455
106	517	449
107	521	444
108	528	441
109	532	435
110	536	430
111	540	424
112	546	420
113	550	415
114	553	409
115	557	403
116	563	399
117	566	393
118	571	389
119	578	385
120	582	380
121	587	375
122	592	370
123	597	365
124	601	360
125	605	355
126	610	351
127	615	345
128	618	340
129	622	335
130	629	331
131	633	326
132	637	320
133	643	316
134	647	311
135	651	306
136	655	301
137	660	296
138	664	291
139	668	286
140	674	282
141	678	277
142	682	272
143	687	267
144	693	263
145	697	257
146	701	252
147	706	248
148	711	243
149	715	238
150	719	233
151	725	229
152	729	224
153	734	219
154	739	214
155	743	209
156	748	204
157	752	199
158	757	195
159	761	190
160	773	187
161	778	182
162	784	178
163	792	173
164	796	169
165	803	164
166	809	159
167	813	155
168	820	150
169	825	145
170	829	140
171	835	135
172	841	131
173	845	126
174	851	121
175	857	116
176	861	111
177	865	107
178	871	102
179	875	97
180	879	92
181	883	87
182	888	82
183	892	77
184	896	72
185	901	67
186	905	62
187	909	58
188	913	53
189	918	48
190	923	43
191	928	38
192	932	33
193	936	28
194	940	24
195	944	19
196	949	14
197	953	9
198	958	4
199	962	0
