expected_path_in_zip,exists,size_bytes,duplicate_count,status
notebook/11x_baseline_growth_comparison_260516/11x_baseline_growth_comparison_260516.ipynb,True,56704,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_calibration_decile_summary.csv,True,100474,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_candidate_summary_for_12x.csv,True,2375,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_conservative_vs_expanded_comparison.csv,True,5956,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_cv_fold_metrics.csv,True,41036,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_dataset_scope_summary.csv,True,1136,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_execution_log.txt,True,379,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_feature_set_input_audit.csv,True,62425,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_final_checks.csv,True,2817,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_model_run_plan.csv,True,3698,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_model_summary_by_scope.csv,True,10732,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_oof_predictions.csv,True,128044835,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_open_risks_for_next_steps.csv,True,1013,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_operating_metrics_at_k.csv,True,18493,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_preflight_input_validation.csv,True,1401,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_redundancy_caveat_handoff.csv,True,5852,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_review_zip_inventory.csv,True,1909,1,PASS
reports/models/11x_baseline_growth_comparison_260516/11x_safe_unsafe_wording.csv,True,831,1,PASS
reports/models/11x_baseline_growth_comparison_260516/note_tail_copy.md,True,7685,1,PASS
reports/models/11x_baseline_growth_comparison_260516/README.md,True,2455,1,PASS
note.md,True,166186,1,PASS
