feature_set_name,dataset_scope,model_name,k_label,selected_n,nonrepurchase_events,base_nonrepurchase_rate,precision_at_k,recall_at_k,lift_at_k,mean_churn_risk,mean_repurchase_score
conservative_safe_22,nonpromotion_only,DummyPrior,top5pct,559,130,0.23758389261744967,0.23255813953488372,0.04896421845574388,0.9788464065168835,0.23761047096990717,0.7623895290300928
conservative_safe_22,nonpromotion_only,DummyPrior,top10pct,1118,254,0.23758389261744967,0.22719141323792486,0.09566854990583804,0.9562576432895707,0.23761047096990717,0.7623895290300928
conservative_safe_22,nonpromotion_only,DummyPrior,top20pct,2235,526,0.23758389261744967,0.23534675615212527,0.19811676082862523,0.9905838041431262,0.23761047096990717,0.7623895290300928
conservative_safe_22,nonpromotion_only,HistGradientBoosting,top5pct,559,414,0.23758389261744967,0.740608228980322,0.15593220338983052,3.117249325369152,0.7565620264066368,0.24343797359336317
conservative_safe_22,nonpromotion_only,HistGradientBoosting,top10pct,1118,821,0.23758389261744967,0.7343470483005367,0.30922787193973633,3.09089576827062,0.7259353056067105,0.27406469439328957
conservative_safe_22,nonpromotion_only,HistGradientBoosting,top20pct,2235,1416,0.23758389261744967,0.6335570469798658,0.5333333333333333,2.666666666666667,0.6376586315544363,0.3623413684455638
conservative_safe_22,nonpromotion_only,LogisticRegression,top5pct,559,401,0.23758389261744967,0.7173524150268337,0.15103578154425612,3.0193646847174636,0.7036828396457514,0.29631716035424865
conservative_safe_22,nonpromotion_only,LogisticRegression,top10pct,1118,747,0.23758389261744967,0.6681574239713775,0.28135593220338984,2.8123010218004305,0.6614067620572025,0.33859323794279755
conservative_safe_22,nonpromotion_only,LogisticRegression,top20pct,2235,1347,0.23758389261744967,0.6026845637583893,0.5073446327683616,2.536723163841808,0.5680397567139241,0.4319602432860759
conservative_safe_22,nonpromotion_only,RandomForest,top5pct,559,433,0.23758389261744967,0.774597495527728,0.1630885122410546,3.2603114924754655,0.7779270899352225,0.2220729100647774
conservative_safe_22,nonpromotion_only,RandomForest,top10pct,1118,812,0.23758389261744967,0.7262969588550984,0.30583804143126175,3.0570126234296513,0.7297176294304089,0.2702823705695911
conservative_safe_22,nonpromotion_only,RandomForest,top20pct,2235,1410,0.23758389261744967,0.6308724832214765,0.5310734463276836,2.655367231638418,0.6257617510620389,0.374238248937961
conservative_safe_22,overall_with_promotion,DummyPrior,top5pct,1154,311,0.282594566489016,0.26949740034662045,0.04768475927629561,0.9536538642440437,0.2826192926393327,0.7173807073606672
conservative_safe_22,overall_with_promotion,DummyPrior,top10pct,2308,623,0.282594566489016,0.2699306759098787,0.09552284575283655,0.9551870698135679,0.2826192926393327,0.7173807073606672
