feature_set_name,dataset_scope,ladder_step,model_name,oof_auc,oof_ap,oof_brier,oof_logloss,mean_train_auc,mean_valid_auc,train_valid_auc_gap,fold_auc_std,row_count,feature_count,interpretation_caution
conservative_safe_22,overall_without_promotion,L0_dummy_prior,DummyPrior,0.4998773437961437,0.7173482232935685,0.2027348841140088,0.5953871377125204,0.5,0.5,0.0,0.0,23079,0,Baseline comparison only; not final model.
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,LogisticRegression,0.7836008127591789,0.8939885649874934,0.1604715256927425,0.4896812286362026,0.7849579395634054,0.783879591116859,0.0010783484465464177,0.003655277247044918,23079,22,Baseline comparison only; not final model. High-VIF features restrict individual coefficient interpretation.
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,HistGradientBoosting,0.8109792841682076,0.9091994874382401,0.15057984427897395,0.46172844260394064,0.8494009827411,0.811395714585607,0.03800526815549299,0.006098846863809096,23079,22,Baseline comparison only; not final model.
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,RandomForest,0.8118014743081232,0.9098274556581343,0.15043274866931824,0.46140187738284805,0.858505927466821,0.8120273478075838,0.046478579659237185,0.005730716970458728,23079,22,Baseline comparison only; not final model.
conservative_safe_22,overall_with_promotion,L0_dummy_prior,DummyPrior,0.4998773437961437,0.7173482232935685,0.2027348841140088,0.5953871377125204,0.5,0.5,0.0,0.0,23079,0,Baseline comparison only; not final model.
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,LogisticRegression,0.7836008127591789,0.8939885649874934,0.1604715256927425,0.4896812286362026,0.7849579395634054,0.783879591116859,0.0010783484465464177,0.003655277247044918,23079,22,Baseline comparison only; not final model. High-VIF features restrict individual coefficient interpretation.
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,HistGradientBoosting,0.8109792841682076,0.9091994874382401,0.15057984427897395,0.46172844260394064,0.8494009827411,0.811395714585607,0.03800526815549299,0.006098846863809096,23079,22,Baseline comparison only; not final model.
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,RandomForest,0.8118014743081232,0.9098274556581343,0.15043274866931824,0.46140187738284805,0.858505927466821,0.8120273478075838,0.046478579659237185,0.005730716970458728,23079,22,Baseline comparison only; not final model.
conservative_safe_22,promotion_only,L0_dummy_prior,DummyPrior,0.49981995927228084,0.67505545031541,0.21932206537757173,0.6304704855164536,0.5,0.5,0.0,0.0,11904,0,Baseline comparison only; not final model.
conservative_safe_22,promotion_only,L1_conservative_safe_22,LogisticRegression,0.7674056879227341,0.8657887906031261,0.17651104911239524,0.5283414522193995,0.7700834766366782,0.7676836341366154,0.0023998425000627543,0.008949845758423652,11904,22,Baseline comparison only; not final model. High-VIF features restrict individual coefficient interpretation.
conservative_safe_22,promotion_only,L1_conservative_safe_22,HistGradientBoosting,0.7963176128867911,0.8844812328563424,0.1663932485113456,0.5021289626152089,0.8777659360944471,0.7965142817338599,0.08125165436058723,0.006384703123081265,11904,22,Baseline comparison only; not final model.
conservative_safe_22,promotion_only,L1_conservative_safe_22,RandomForest,0.7957878031070355,0.884313513352655,0.16630686959565502,0.5013279948857988,0.8471265302706733,0.7962129896057533,0.05091354066492004,0.006510242955927438,11904,22,Baseline comparison only; not final model.
conservative_safe_22,nonpromotion_only,L0_dummy_prior,DummyPrior,0.4998591549295775,0.7623594149418129,0.18113779167119567,0.5482789055713125,0.5,0.5,0.0,0.0,11175,0,Baseline comparison only; not final model.
conservative_safe_22,nonpromotion_only,L1_conservative_safe_22,LogisticRegression,0.810463581867855,0.9264570440243082,0.13843833126200655,0.4321526465358547,0.8130159008033226,0.8108099660703253,0.00220593473299735,0.00921919372503971,11175,22,Baseline comparison only; not final model. High-VIF features restrict individual coefficient interpretation.
