metric,count,note,MOVIE_NUM,duplicate_group_size,source_row_numbers,conflicting_columns,genre_conflict_flag,chosen_source_row_number,chosen_genre,dedupe_rule
raw_moviemaster_rows,14502,Raw Movie_Master before deduplication.,,,,,,,,
deduplicated_moviemaster_rows,14018,One representative row per MOVIE_NUM used for content join.,,,,,,,,
duplicate_MOVIE_NUM_groups,380,Preserved in detail rows below.,,,,,,,,
genre_conflict_MOVIE_NUM_groups,9,Conflicting rows saved separately.,,,,,,,,
,,,5,2,7|8,,N,7,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,11,2,13|14,,N,13,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,73,2,75|76,,N,75,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,116,2,118|119,,N,118,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,128,2,131|132,,N,131,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,129,3,133|134|135,,N,133,Documentary,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,243,2,244|245,,N,244,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,251,2,253|254,,N,253,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,313,2,314|315,,N,314,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,324,2,326|327,,N,326,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,362,2,363|364,,N,363,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,375,2,376|377,,N,376,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,388,2,389|390,,N,389,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,421,2,420|421,,N,420,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,445,2,444|445,,N,444,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,446,3,446|447|448,,N,446,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,462,2,463|464,,N,463,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,465,2,467|468,,N,467,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
