column_name,patched_primary_role,patched_feature_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,status_for_06_primary_main_cohort_table,include_in_06_primary_main_cohort_conservative_table,reason,later_resolution_step
USER_KEY,id,identifier,id_target_split,no,no,identifier,no,"Identifier metadata only, never a feature.",never_use_as_model_feature
product_code,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
price,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
billing_method,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
max_screen,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
is_promotion,split,split_variable,id_target_split,yes,no,split,no,"Split metadata only, not a groupwise feature.",overall_model_comparison_only_if_used
is_churn_prevented,leakage_suspect,outcome_or_intervention_proxy,post_outcome_or_target_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,resolve_intervention_timing_before_modeling
payment_device,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
is_user_verified,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
gender,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
age,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
reg_date,date_or_time_anchor,subscription_anchor,subscription_anchor_date,no,no,date_anchor_excluded,no,"Date anchor or response-period-sensitive field, audit metadata only.",confirm_allowed_date_derivations_only
reg_hour,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_registration_context_semantics_before_modeling
end_date,timing_review_required,subscription_end_timing_review,subscription_end_timing_review,review,review,date_anchor_excluded,no,"Date anchor or response-period-sensitive field, audit metadata only.",confirm_allowed_date_derivations_only
is_repurchase,target,target,id_target_split,no,no,target,no,"Target metadata only, never a feature.",target_contract_established
is_standard,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
is_premium,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
age_group,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
is_female,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
