figure_file,path,size_bytes,recommended_for_team_share
07r_churn_risk_top_decile_shap_push.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_churn_risk_top_decile_shap_push.png,67989,Y
07r_feature_family_shap_importance_conservative_w1_3.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_feature_family_shap_importance_conservative_w1_3.png,29367,Y
07r_shap_beeswarm_red_blue_conservative_w1_3.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_beeswarm_red_blue_conservative_w1_3.png,299419,Y
07r_shap_beeswarm_red_blue_late_w1_4.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_beeswarm_red_blue_late_w1_4.png,312115,N
07r_shap_dependence_top01_w1_3_week3_watch_time.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_dependence_top01_w1_3_week3_watch_time.png,115395,N
07r_shap_dependence_top02_w1_3_w2_minus_w1_watch_time.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_dependence_top02_w1_3_w2_minus_w1_watch_time.png,127431,N
07r_shap_dependence_top03_w1_3_week1_ratio.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_dependence_top03_w1_3_week1_ratio.png,187989,N
07r_shap_dependence_top04_price.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_dependence_top04_price.png,85620,N
07r_shap_dependence_top05_w1_3_first_watch_rel_day.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_dependence_top05_w1_3_first_watch_rel_day.png,136767,N
07r_shap_global_bar_conservative_w1_3.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_shap_global_bar_conservative_w1_3.png,183749,Y
07r_w1_3_vs_w1_4_family_importance.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_w1_3_vs_w1_4_family_importance.png,42062,Y
07r_waterfall_high_risk_false_positive_1413.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_high_risk_false_positive_1413.png,145470,N
07r_waterfall_high_risk_false_positive_5176.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_high_risk_false_positive_5176.png,145157,N
07r_waterfall_high_risk_false_positive_5455.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_high_risk_false_positive_5455.png,143021,N
07r_waterfall_high_risk_true_N_11369.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_high_risk_true_N_11369.png,144255,N
07r_waterfall_high_risk_true_N_1778.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_high_risk_true_N_1778.png,145483,N
07r_waterfall_high_risk_true_N_3488.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_high_risk_true_N_3488.png,149361,N
07r_waterfall_low_risk_true_Y_2140.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_low_risk_true_Y_2140.png,149711,N
07r_waterfall_low_risk_true_Y_7709.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_low_risk_true_Y_7709.png,151694,N
07r_waterfall_low_risk_true_Y_7807.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_low_risk_true_Y_7807.png,151394,N
07r_waterfall_mid_score_12678.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_mid_score_12678.png,143195,N
07r_waterfall_mid_score_20379.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_mid_score_20379.png,144721,N
07r_waterfall_mid_score_5151.png,park.ingyeom/reports/figures/07r_v2_true_shap_interpretation/07r_waterfall_mid_score_5151.png,147793,N
