model_role,window,model_name,original_feature,feature_family,mean_abs_shap,mean_shap,shap_output_basis,stage07_fallback_importance,true_shap_rank,fallback_available
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week3_watch_time,usage,0.6197008105835925,-0.14727503693252725,model_margin_for_repurchase_class,0.0662575,1,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_w2_minus_w1_watch_time,usage,0.26476309975935214,-0.056077312314578624,model_margin_for_repurchase_class,0.0266623,2,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_ratio,usage,0.22719425575785251,-0.010085925449658792,model_margin_for_repurchase_class,0.0171715,3,True
primary_conservative,w1_3,HistGradientBoostingClassifier,price,membership,0.19177054787244655,-0.0032476060192167485,model_margin_for_repurchase_class,0.0069702,4,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_first_watch_rel_day,usage,0.17388802039053242,-0.033503122365044435,model_margin_for_repurchase_class,0.0136901,5,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_thriller_crime,genre,0.16492664676675522,-0.035036409197673035,model_margin_for_repurchase_class,0.0112277,6,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_animation_family,genre,0.1270533185837299,-0.022324524830606565,model_margin_for_repurchase_class,0.0096521,7,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_drama,genre,0.11367894726759088,-0.019438322517167636,model_margin_for_repurchase_class,0.0051249,8,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_drama,genre,0.1099604910201125,-0.012172942477405522,model_margin_for_repurchase_class,0.0032217,9,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_action_adventure,genre,0.10949055717121109,-0.003745431759112838,model_margin_for_repurchase_class,0.0031746,10,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week3_ratio,usage,0.10885292684316245,0.00048780073798329273,model_margin_for_repurchase_class,0.0027449,11,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_w3_minus_w1_watch_time,usage,0.10254153899751207,-0.016628159370443367,model_margin_for_repurchase_class,0.0017979,12,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_last_watch_rel_day,usage,0.09246860801660584,0.0014502760415537874,model_margin_for_repurchase_class,0.0049028,13,True
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_romance,genre,0.09203901168000672,-0.00953739205499872,model_margin_for_repurchase_class,0.0025491,14,True
