feature,feature_family,feature_bin,raw_value_mean_or_count,mean_shap_toward_repurchase_margin,mean_abs_shap,target_repurchase_rate,mean_repurchase_score,mean_churn_risk_score,row_count,direction_summary,interpretation_note_ko
w1_3_week3_watch_time,usage,high,275.04125412541254,0.6911603690720686,0.6914994462238429,0.8399339933993399,0.8922907903699476,0.1077092096300523,606,high_value_pushes_repurchase,"w1_3_week3_watch_time: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_week3_watch_time,usage,low,0.0,-0.7145596545213591,0.7145596545213592,0.38220757825370677,0.450574600227403,0.5494253997725971,607,high_value_pushes_repurchase,"w1_3_week3_watch_time: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_week3_watch_time,usage,mid,18.698019801980198,-0.41748971211794655,0.4528867982598035,0.400990099009901,0.5337548240785155,0.4662451759214845,606,high_value_pushes_repurchase,"w1_3_week3_watch_time: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_w2_minus_w1_watch_time,usage,high,154.95874587458746,0.28295361323917845,0.3433384256057615,0.6716171617161716,0.7528099959242378,0.24719000407576217,606,high_value_pushes_repurchase,"w1_3_w2_minus_w1_watch_time: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_w2_minus_w1_watch_time,usage,low,-161.7660626029654,-0.21188629577461185,0.21199580454233746,0.4925864909390445,0.5843715813241515,0.41562841867584865,607,high_value_pushes_repurchase,"w1_3_w2_minus_w1_watch_time: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_w2_minus_w1_watch_time,usage,mid,-5.577557755775578,-0.23904214387454,0.23904214387454,0.45874587458745875,0.5392178503299576,0.46078214967004244,606,high_value_pushes_repurchase,"w1_3_w2_minus_w1_watch_time: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_week1_ratio,usage,high,0.8937155280528052,-0.23878850275765495,0.23884379976139156,0.32673267326732675,0.41561425943944036,0.5843857405605596,606,high_value_pushes_churn_risk,"w1_3_week1_ratio: 값이 높을수록 재구독 방향 SHAP 기여가 낮아져 이탈위험 쪽 신호입니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_week1_ratio,usage,low,8.515156507413508e-05,0.24149976749836205,0.24149976749836205,0.5815485996705108,0.6712456745789485,0.32875432542105154,607,high_value_pushes_churn_risk,"w1_3_week1_ratio: 값이 높을수록 재구독 방향 SHAP 기여가 낮아져 이탈위험 쪽 신호입니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
w1_3_week1_ratio,usage,mid,0.27670626402640264,-0.03338419899883863,0.20121559355878663,0.7145214521452146,0.7893961369704285,0.21060386302957143,606,high_value_pushes_churn_risk,"w1_3_week1_ratio: 값이 높을수록 재구독 방향 SHAP 기여가 낮아져 이탈위험 쪽 신호입니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
price,membership,high,8408.663366336634,0.1716790424335079,0.2024955774834914,0.5891089108910891,0.6669189611912456,0.33308103880875445,606,high_value_pushes_repurchase,"price: 값이 높을수록 재구독 방향 SHAP 기여가 커집니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다."
