dataset_scope,model_name,score_type,decile,row_count,mean_score,observed_event_rate,event_definition,caution
overall_without_promotion,LogisticRegression,repurchase_score,1,2308,0.9818904107628492,0.9601386481802426,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,2,2308,0.9335137098096815,0.9311091854419411,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,3,2308,0.8860987781584557,0.9042461005199307,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,4,2308,0.8344149760862655,0.8379549393414212,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,5,2308,0.7799095216299337,0.7816291161178509,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,6,2307,0.7184592296623896,0.7485912440398786,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,7,2308,0.6411475915518522,0.6746100519930676,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,8,2308,0.5979556143565521,0.6035528596187175,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,9,2308,0.49142196726624526,0.4259098786828423,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,repurchase_score,10,2308,0.3085480215313464,0.3063258232235702,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,1,2308,0.6914519784686536,0.6936741767764298,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,2,2308,0.5085780327337547,0.5740901213171578,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,3,2308,0.40204438564344785,0.3968804159445407,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,4,2308,0.35885240844814786,0.32495667244367415,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,5,2308,0.2815263004990985,0.2512998266897747,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,6,2307,0.22007831802993538,0.21846553966189858,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,7,2308,0.16558502391373453,0.16204506065857885,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,8,2308,0.11390122184154433,0.09575389948006932,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,9,2308,0.06648629019031843,0.06889081455805893,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,LogisticRegression,churn_risk,10,2308,0.01810958923715064,0.03986135181975736,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,1,2308,0.9775681755206291,0.9744367417677643,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,2,2308,0.9509228336382038,0.9506065857885615,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,3,2308,0.9149900862888789,0.9168110918544194,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,4,2308,0.8702454069753864,0.8626516464471404,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,5,2308,0.8144076846959346,0.8141247833622184,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,6,2307,0.7342706632857304,0.7321196358907672,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,7,2308,0.6583898046431295,0.6733102253032929,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,8,2308,0.5744213807886094,0.5922876949740035,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,9,2308,0.4121430234972385,0.4059792027729636,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,repurchase_score,10,2308,0.26612059689877865,0.2517331022530329,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,1,2308,0.7338794031012214,0.7482668977469671,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,2,2308,0.5878569765027615,0.5940207972270364,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,3,2308,0.42557861921139073,0.40771230502599654,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,4,2308,0.3416101953568706,0.3266897746967071,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,5,2308,0.2657089134916111,0.26819757365684577,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,6,2307,0.18557801091589268,0.18552232336367577,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,7,2308,0.12975459302461353,0.13734835355285963,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,8,2308,0.08500991371112113,0.0831889081455806,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,9,2308,0.049077166361796265,0.049393414211438474,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,HistGradientBoosting,churn_risk,10,2308,0.02243182447937076,0.0255632582322357,nonrepurchase = is_repurchase=0,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,1,2308,0.9573740077050561,0.9748700173310225,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,2,2308,0.9227370823981607,0.9415077989601387,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,3,2308,0.8868792788750324,0.9111785095320624,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,4,2308,0.8503622900899617,0.8721837088388215,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,5,2308,0.8059000806432745,0.8076256499133448,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,6,2307,0.7313447795253437,0.7360208062418726,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,7,2308,0.6515502091795597,0.6499133448873483,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
overall_without_promotion,RandomForest,repurchase_score,8,2308,0.602814510839922,0.6035528596187175,repurchase = is_repurchase=1,descriptive diagnostic only; not deployment calibration claim
