check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC exists,True,
input_folder_exists,PASS,input folder exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation,
output_folder_exists,PASS,output folder exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520,
handoff_folder_exists,PASS,handoff folder exists,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520,
notebook_created,PASS,notebook exists,PUBLIC\notebooks\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520.ipynb,
notebook_executed,PASS,executed notebook exists,PUBLIC\notebooks\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520_executed.ipynb,
executed_notebook_saved,PASS,non-empty executed notebook,2240,
input_validation_created,PASS,input validation,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\16b_input_validation.csv,
technical_unknown_inventory_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_technical_unknown_inventory.csv,
feature_family_mapping_hotfix_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_feature_family_mapping_hotfix.csv,
mapping_change_log_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_mapping_change_log.csv,
shap_global_importance_with_hotfix_family_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_global_importance_with_hotfix_family.csv,
shap_family_importance_hotfix_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_family_importance_hotfix.csv,
family_importance_before_after_comparison_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_importance_before_after_comparison.csv,
promo1_vs_promo0_comparison_hotfix_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_promo1_vs_promo0_shap_comparison_hotfix.csv,
family_interpretation_handoff_for_17_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_interpretation_handoff_for_17.csv,
known_technical_unknown_features_remapped,PASS,all known 16 features remapped,16,
recency_remapped_to_inactivity_recency,PASS,recency -> inactivity_recency,inactivity_recency,
max_inactive_gap_days_remapped_to_inactivity_recency,PASS,max_inactive_gap_days -> inactivity_recency,inactivity_recency,
is_only_w1_w2_w3_remapped_to_week_specific_usage_pattern,PASS,is_only_w1/w2/w3 -> week_specific_usage_pattern,True,
reg_hour_features_remapped_to_registration_timing_context,PASS,reg_hour_* and reg_is_weekend -> registration_timing_context,True,
genre_unknowns_remapped_to_genre_preference,PASS,genre unknowns -> genre_preference,True,
no_shap_recalculation_performed,PASS,prohibited action not performed,existing SHAP values only read and regrouped,
no_model_refit_performed,PASS,prohibited action not performed,no sklearn model fitting,
no_oof_regeneration_performed,PASS,prohibited action not performed,no 15 OOF outputs written,
no_segmentation_performed,PASS,prohibited action not performed,handoff only,
readme_created,PASS,README exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\README.md,
note_md_append_completed,PASS,note heading found,found,
review_zip_includes_executed_notebook,PASS,executed notebook in zip,PUBLIC/notebooks/16_SHAP_candidate_interpretation_260520/16b_feature_family_mapping_hotfix_260520_executed.ipynb,
review_zip_includes_core_csvs,PASS,core CSVs in zip,missing none,
review_zip_includes_note_md,PASS,note.md in zip,PUBLIC/note.md,
review_zip_includes_zip_inventory,PASS,zip inventory in zip,PUBLIC/handoff/PUBLIC_16b_feature_family_mapping_hotfix_260520/PUBLIC_16b_feature_family_mapping_hotfix_zip_inventory.csv,
helper_file_included_if_used,PASS,helper in zip,PUBLIC/handoff/PUBLIC_16b_feature_family_mapping_hotfix_260520/public_16b_feature_family_mapping_hotfix_runner.py,
no_raw_source_modified,PASS,existing 16 core inputs unchanged,0,
no_park_ingyeom_modified,PASS,no park.ingyeom writes,helper writes under PUBLIC only,
review_zip_created,PASS,review zip exists,PUBLIC\zip\PUBLIC_16b_feature_family_mapping_hotfix_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory exists,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\PUBLIC_16b_feature_family_mapping_hotfix_zip_inventory.csv,
