"path","arcname","Length"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\18x_business_recommendation_storyline_260518\18x_business_recommendation_storyline_260518.ipynb","notebook\18x_business_recommendation_storyline_260518\18x_business_recommendation_storyline_260518.ipynb","44150"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_business_recommendation_matrix.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_business_recommendation_matrix.csv","4822"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_execution_log.txt","reports\storyline\18x_business_recommendation_storyline_260518\18x_execution_log.txt","1695"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_final_checks.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_final_checks.csv","1706"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_mentor_QA_defense.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_mentor_QA_defense.csv","2884"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_open_risks.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_open_risks.csv","771"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_preflight_input_validation.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_preflight_input_validation.csv","2251"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_presentation_narrative_script.md","reports\storyline\18x_business_recommendation_storyline_260518\18x_presentation_narrative_script.md","1918"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_review_zip_inventory.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_review_zip_inventory.csv","3961"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_safe_unsafe_wording.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_safe_unsafe_wording.csv","1117"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_segment_priority_for_presentation.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_segment_priority_for_presentation.csv","2281"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_segment_to_message_strategy.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_segment_to_message_strategy.csv","4660"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_slide_outline.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_slide_outline.csv","3650"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_source_fingerprint_before_after.csv","reports\storyline\18x_business_recommendation_storyline_260518\18x_source_fingerprint_before_after.csv","4126"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_storyline_master.md","reports\storyline\18x_business_recommendation_storyline_260518\18x_storyline_master.md","2226"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_storyline_onepager.md","reports\storyline\18x_business_recommendation_storyline_260518\18x_storyline_onepager.md","1473"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\note_tail_copy.md","reports\storyline\18x_business_recommendation_storyline_260518\note_tail_copy.md","21435"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\README.md","reports\storyline\18x_business_recommendation_storyline_260518\README.md","1427"
