promo_scope,representative_segment_id,provisional_label,demographic_group_type,demographic_group_value,feature_name,feature_family,row_count,mean,median,q25,q75,segment_overall_mean,difference_vs_segment_overall,actual_repurchase_rate,mean_gb_churn_risk,evidence_strength,interpretation,caveat
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_time_min_w1,weekly_usage,25,174.16,115.0,33.0,183.0,94.741935,79.418065,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_time_min_w1 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_time_min_w2,weekly_usage,25,28.88,1.0,0.0,49.0,19.402074,9.477926,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_time_min_w2 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_time_min_w3,weekly_usage,25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_time_min_w3 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_session_w1,weekly_usage,25,3.68,2.0,1.0,5.0,2.536866,1.143134,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_session_w1 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_session_w2,weekly_usage,25,0.96,1.0,0.0,2.0,0.822581,0.137419,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_session_w2 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_session_w3,weekly_usage,25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_session_w3 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,total_watch_time_min,weekly_usage,25,203.04,117.0,37.0,233.0,114.144009,88.895991,0.4,0.688782,weak,"Within this segment, age_group=10 differs on total_watch_time_min versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,total_watch_count,weekly_usage,25,4.64,4.0,2.0,6.0,3.359447,1.280553,0.4,0.688782,weak,"Within this segment, age_group=10 differs on total_watch_count versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,watch_days,weekly_usage,25,2.52,2.0,2.0,3.0,1.919931,0.600069,0.4,0.688782,weak,"Within this segment, age_group=10 differs on watch_days versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,log_retention_w2_ratio,retention_decay,25,-2.604053,-2.944439,-4.543295,-1.019831,-2.212421,-0.391632,0.4,0.688782,weak,"Within this segment, age_group=10 differs on log_retention_w2_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,log_retention_w3_ratio,retention_decay,25,-1.672556,-0.693147,-3.912023,0.0,-1.16757,-0.504986,0.4,0.688782,weak,"Within this segment, age_group=10 differs on log_retention_w3_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,active_ratio,usage_concentration,25,0.12,0.095238,0.095238,0.142857,0.091425,0.028575,0.4,0.688782,weak,"Within this segment, age_group=10 differs on active_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,recency,inactivity_recency,25,13.16,13.0,9.0,16.0,13.840438,-0.680438,0.4,0.688782,weak,"Within this segment, age_group=10 differs on recency versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,max_inactive_gap_days,inactivity_recency,25,3.32,3.0,1.0,6.0,2.237327,1.082673,0.4,0.688782,weak,"Within this segment, age_group=10 differs on max_inactive_gap_days versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,is_only_w1,week_specific_usage_pattern,25,0.48,0.0,0.0,1.0,0.56682,-0.08682,0.4,0.688782,weak,"Within this segment, age_group=10 differs on is_only_w1 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,is_only_w2,week_specific_usage_pattern,25,0.08,0.0,0.0,0.0,0.130184,-0.050184,0.4,0.688782,weak,"Within this segment, age_group=10 differs on is_only_w2 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,is_only_w3,week_specific_usage_pattern,25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.688782,weak,"Within this segment, age_group=10 differs on is_only_w3 versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,genre_diversity_count,genre_preference,25,2.36,2.0,1.0,3.0,1.919931,0.440069,0.4,0.688782,weak,"Within this segment, age_group=10 differs on genre_diversity_count versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,action_adventure_ratio,genre_preference,25,0.233217,0.0,0.0,0.333333,0.156396,0.076821,0.4,0.688782,weak,"Within this segment, age_group=10 differs on action_adventure_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,family_animation_ratio,genre_preference,25,0.056275,0.0,0.0,0.0,0.087461,-0.031186,0.4,0.688782,weak,"Within this segment, age_group=10 differs on family_animation_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,drama_ratio,genre_preference,25,0.076337,0.0,0.0,0.0,0.132762,-0.056426,0.4,0.688782,weak,"Within this segment, age_group=10 differs on drama_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,thriller_crime_ratio,genre_preference,25,0.252945,0.0,0.0,0.593315,0.172888,0.080057,0.4,0.688782,weak,"Within this segment, age_group=10 differs on thriller_crime_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,sf_fantasy_ratio,genre_preference,25,0.140907,0.0,0.0,0.069565,0.153355,-0.012448,0.4,0.688782,weak,"Within this segment, age_group=10 differs on sf_fantasy_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,comedy_ratio,genre_preference,25,0.08476,0.0,0.0,0.043011,0.091473,-0.006713,0.4,0.688782,weak,"Within this segment, age_group=10 differs on comedy_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,romance_ratio,genre_preference,25,0.059644,0.0,0.0,0.0,0.07165,-0.012007,0.4,0.688782,weak,"Within this segment, age_group=10 differs on romance_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,horror_ratio,genre_preference,25,0.014819,0.0,0.0,0.0,0.039484,-0.024665,0.4,0.688782,weak,"Within this segment, age_group=10 differs on horror_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,documentary_ratio,genre_preference,25,0.000754,0.0,0.0,0.0,0.016216,-0.015461,0.4,0.688782,weak,"Within this segment, age_group=10 differs on documentary_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,historical_war_ratio,genre_preference,25,0.080342,0.0,0.0,0.0,0.06359,0.016753,0.4,0.688782,weak,"Within this segment, age_group=10 differs on historical_war_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,10,other_ratio,genre_preference,25,0.0,0.0,0.0,0.0,0.014725,-0.014725,0.4,0.688782,weak,"Within this segment, age_group=10 differs on other_ratio versus the segment average.","Subgroup row_count is below 30, so overinterpretation risk is high."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_time_min_w1,weekly_usage,371,97.12938,66.0,5.0,145.0,94.741935,2.387445,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on watch_time_min_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_time_min_w2,weekly_usage,371,23.698113,0.0,0.0,6.0,19.402074,4.296039,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on watch_time_min_w2 versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_time_min_w3,weekly_usage,371,0.0,0.0,0.0,0.0,0.0,0.0,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on watch_time_min_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_session_w1,weekly_usage,371,2.485175,2.0,1.0,3.0,2.536866,-0.051691,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on watch_session_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_session_w2,weekly_usage,371,0.927224,0.0,0.0,1.0,0.822581,0.104643,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on watch_session_w2 versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_session_w3,weekly_usage,371,0.0,0.0,0.0,0.0,0.0,0.0,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on watch_session_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,total_watch_time_min,weekly_usage,371,120.827493,85.0,8.0,174.5,114.144009,6.683484,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on total_watch_time_min versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,total_watch_count,weekly_usage,371,3.412399,3.0,1.0,4.0,3.359447,0.052952,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on total_watch_count versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
