feature_name,exists,reason_if_skipped,checked_sources
watch_time_min_w1,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
watch_time_min_w2,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
watch_time_min_w3,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
watch_session_w1,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
watch_session_w2,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
watch_session_w3,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
total_watch_time_min,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
total_watch_count,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
watch_days,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
log_retention_w2_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
log_retention_w3_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
active_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
recency,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
max_inactive_gap_days,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
is_only_w1,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
is_only_w2,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
is_only_w3,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
genre_diversity_count,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
action_adventure_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
family_animation_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
drama_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
thriller_crime_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
sf_fantasy_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
comedy_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
romance_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
horror_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
documentary_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
historical_war_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
other_ratio,True,,17_revised_segment_assignment_simulation.csv + 17_segmentation_base_datamart.csv
