source_file,column_name,exists,dtype,non_null_count,unique_count,sample_values,use_for_profile,use_for_rule,notes
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,age_group,True,int64,23097,7,40;30;60;20;10;50;70,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,age,False,,,,,no,no,column not present in this source
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,gender,False,,,,,no,no,column not present in this source
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,gender_clean,False,,,,,no,no,column not present in this source
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,sex,False,,,,,no,no,column not present in this source
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,is_female,True,int64,23097,2,0;1,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,is_male,True,int64,23097,2,0;1,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,USER_KEY,True,object,23097,23032,534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3;1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759;60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390;2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff;0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa;62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca;55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4;b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,identifier_audit_only,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,USER_NUM,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_0.csv,age_group,True,int64,11193,7,40;30;60;20;10;50;70,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\data\06_model_input_promo_0.csv,age,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_0.csv,gender,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_0.csv,gender_clean,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_0.csv,sex,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_0.csv,is_female,True,int64,11193,2,0;1,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\data\06_model_input_promo_0.csv,is_male,True,int64,11193,2,0;1,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\data\06_model_input_promo_0.csv,USER_KEY,True,object,11193,11137,534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3;1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759;60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390;2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff;0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa;62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca;55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4;b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,identifier_audit_only,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\data\06_model_input_promo_0.csv,USER_NUM,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_1.csv,age_group,True,int64,11904,7,20;30;40;50;60;10;70,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\data\06_model_input_promo_1.csv,age,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_1.csv,gender,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_1.csv,gender_clean,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_1.csv,sex,False,,,,,no,no,column not present in this source
PUBLIC\data\06_model_input_promo_1.csv,is_female,True,int64,11904,2,1;0,yes,no,"age/gender are profile/action layer only, never representative rule"
PUBLIC\data\06_model_input_promo_1.csv,is_male,True,int64,11904,2,0;1,yes,no,"age/gender are profile/action layer only, never representative rule"
