promo_scope,revised_segment_family,demographic_modifier,observed_demographic_pattern,observed_behavior_difference,recommended_message_direction,recommended_channel_or_touchpoint,recommended_content_strategy,evidence_file,evidence_strength,risk_of_overinterpretation,final_status
promo0,high_risk_activation_or_low_engagement,age_group=30,n=50; churn=0.7400; risk=0.6400,total_watch_time_min diff_vs_segment=1.3842,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_activation_or_low_engagement,age_group=30,n=50; churn=0.7400; risk=0.6400,max_inactive_gap_days diff_vs_segment=-0.8438,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_activation_or_low_engagement,age_group=30,n=50; churn=0.7400; risk=0.6400,watch_time_min_w3 diff_vs_segment=0.5431,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,age_group=20,n=409; churn=0.6601; risk=0.6639,total_watch_time_min diff_vs_segment=13.6943,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,age_group=40,n=920; churn=0.6793; risk=0.6514,total_watch_time_min diff_vs_segment=-9.4736,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,age_group=20,n=409; churn=0.6601; risk=0.6639,watch_time_min_w1 diff_vs_segment=8.7507,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,mid_risk_retention_watchlist,age_group=40,n=563; churn=0.3943; risk=0.3670,total_watch_time_min diff_vs_segment=26.0534,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,mid_risk_retention_watchlist,age_group=40,n=563; churn=0.3943; risk=0.3670,watch_time_min_w1 diff_vs_segment=22.4549,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,mid_risk_retention_watchlist,age_group=30,n=268; churn=0.4291; risk=0.3631,watch_time_min_w1 diff_vs_segment=-12.5995,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,other_needs_review_residual,age_group=60,n=87; churn=0.1149; risk=0.1223,total_watch_time_min diff_vs_segment=43.7202,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
