decision_item,previous_status_if_available,updated_status,evidence,user_approval_required,notes
revised_segments_available,available,available,17_revised_segment_assignment_simulation.csv,yes,Read only; unchanged.
content_preference_signal_demoted,available,available,17 quality hotfix outputs,yes,Preserved from quality hotfix.
demographic_profile_available,insufficient,available,17_segment_demographic_profile_demographic_hotfix.csv,yes,Created on revised segment family.
age_behavior_profile_available,insufficient,available,17_segment_age_behavior_profile_demographic_hotfix.csv,yes,Created.
gender_behavior_profile_available,insufficient,available,17_segment_gender_behavior_profile_demographic_hotfix.csv,yes,Created.
action_personalization_matrix_available,insufficient,available,17_segment_action_personalization_matrix_demographic_hotfix.csv,yes,Created.
executive_rationale_supplement_created,not_available,available,17_segment_rationale_demographic_action_supplement.md,yes,Created.
demographic_action_allowed_now,not_available,yes_limited,action matrix,yes,Limited candidates still require review.
business_storyline_allowed_now,user_review_required,user_review_required,readiness file,yes,18 requires user review.
dashboard_allowed_now,user_review_required,user_review_required,readiness file,yes,Dashboard requires review.
requires_user_review_before_18,yes,yes,readiness file,yes,Required.
