promo_scope,revised_segment_family,age_group,feature_name,feature_family,row_count,mean,median,q25,q75,segment_overall_mean,difference_vs_segment_overall,actual_repurchase_rate,actual_churn_rate,mean_gb_churn_risk,evidence_strength,interpretation,caveat
promo0,high_risk_activation_or_low_engagement,10,watch_time_min_w1,weekly_usage,2,0.0,0.0,0.0,0.0,0.41025641025641024,-0.41025641025641024,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,watch_time_min_w2,weekly_usage,2,0.0,0.0,0.0,0.0,2.688644688644689,-2.688644688644689,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,watch_time_min_w3,weekly_usage,2,48.0,48.0,24.5,71.5,15.076923076923077,32.92307692307692,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,watch_session_w1,weekly_sessions,2,0.0,0.0,0.0,0.0,0.21611721611721613,-0.21611721611721613,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,watch_session_w2,weekly_sessions,2,0.0,0.0,0.0,0.0,0.31135531135531136,-0.31135531135531136,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,watch_session_w3,weekly_sessions,2,1.5,1.5,1.25,1.75,1.3626373626373627,0.13736263736263732,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,total_watch_time_min,usage_volume,2,48.0,48.0,24.5,71.5,18.175824175824175,29.824175824175825,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,total_watch_count,usage_volume,2,1.5,1.5,1.25,1.75,1.89010989010989,-0.39010989010989006,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,watch_days,usage_frequency,2,1.0,1.0,1.0,1.0,1.4322344322344323,-0.43223443223443225,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,log_retention_w2_ratio,retention_ratio,2,0.0,0.0,0.0,0.0,0.1542877795317861,-0.1542877795317861,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,log_retention_w3_ratio,retention_ratio,2,2.6287476860138907,2.6287476860138907,1.660947433286918,3.5965479387408634,1.3275237965759723,1.3012238894379184,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,active_ratio,usage_concentration,2,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.06820163963021104,-0.020582592011163442,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,recency,recency_inactivity,2,2.5,2.5,1.25,3.75,2.9267399267399266,-0.42673992673992656,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,max_inactive_gap_days,recency_inactivity,2,0.0,0.0,0.0,0.0,2.5238095238095237,-2.5238095238095237,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,is_only_w1,early_usage_pattern,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,is_only_w2,early_usage_pattern,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,is_only_w3,early_usage_pattern,2,1.0,1.0,1.0,1.0,0.7289377289377289,0.2710622710622711,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,genre_diversity_count,genre_preference,2,1.0,1.0,1.0,1.0,1.3772893772893773,-0.3772893772893773,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,action_adventure_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.20582657109804714,-0.20582657109804714,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,family_animation_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.05734345020059306,-0.05734345020059306,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,drama_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.0898046398046398,-0.0898046398046398,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,thriller_crime_ratio,genre_preference,2,0.5,0.5,0.25,0.75,0.2293849784327299,0.27061502156727013,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,sf_fantasy_ratio,genre_preference,2,0.5,0.5,0.25,0.75,0.09230503795721187,0.4076949620427881,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,comedy_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.1011809331685108,-0.1011809331685108,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,romance_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.03744014439666613,-0.03744014439666613,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,horror_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.043435647662190345,-0.043435647662190345,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,documentary_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.027472527472527472,-0.027472527472527472,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,historical_war_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.04887831670891762,-0.04887831670891762,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,10,other_ratio,genre_preference,2,0.0,0.0,0.0,0.0,0.06692775309796586,-0.06692775309796586,0.0,1.0,0.6540572339161504,weak,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
promo0,high_risk_activation_or_low_engagement,20,watch_time_min_w1,weekly_usage,58,0.20689655172413793,0.0,0.0,0.0,0.41025641025641024,-0.20335985853227231,0.20689655172413793,0.7931034482758621,0.627908390561452,strong,Behavior difference within revised segment; use only for action personalization review.,"Descriptive EDA, not causality; subgroup size controls recommendation strength."
