file_name,sheet_name_if_xlsx,feature_name,field_name,before_value,after_value,reason
05y_patch2_formula_validation_summary.csv,,is_cold_start_3d,mismatch_count,1785,1782,correct cold_start changed row count from review hotfix
05y_patch2_formula_validation_summary.csv,,is_cold_start_3d,caveat,"existing prior validation basis was 1,782 changed rows; patch2 raw recomputation recorded separately because USER_KEY duplicates and raw join policy affect exact count","hotfix corrected official changed row count to 1,782; original source master retained for audit only and fixed replacement uses day0 through day2",remove superseded patch2 raw recomputation count wording
05y_patch2_formula_validation_summary.csv,,is_cold_start_7d,mismatch_count,967,964,correct cold_start changed row count from review hotfix
05y_patch2_formula_validation_summary.csv,,is_cold_start_7d,caveat,existing prior validation basis was 964 changed rows; patch2 raw recomputation recorded separately because USER_KEY duplicates and raw join policy affect exact count,hotfix corrected official changed row count to 964; original source master retained for audit only and fixed replacement uses day0 through day6,remove superseded patch2 raw recomputation count wording
05y_patch2_fixed_feature_policy.csv,,is_cold_start_3d_fixed,caveat,"raw recomputed mismatch count vs original is_cold_start_3d = 1785; prior basis 1,782",corrected mismatch count vs original is_cold_start_3d = 1782,correct cold_start fixed policy mismatch count
05y_patch2_fixed_feature_policy.csv,,is_cold_start_7d_fixed,caveat,raw recomputed mismatch count vs original is_cold_start_7d = 967; prior basis 964,corrected mismatch count vs original is_cold_start_7d = 964,correct cold_start fixed policy mismatch count
05y_patch2_v3_comparison_summary.csv,,USER_KEY,mismatch_reason,USER_KEY exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,USER_KEY,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,age,mismatch_reason,age exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,age,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,billing_method,mismatch_reason,billing_method exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,billing_method,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,end_date,mismatch_reason,end_date exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,end_date,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,gender,mismatch_reason,gender exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,gender,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,is_basic,mismatch_reason,is_basic exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,is_basic,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,is_cold_start_3d_fixed,mismatch_reason,is_cold_start_3d_fixed exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,is_cold_start_3d_fixed,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,is_cold_start_7d_fixed,mismatch_reason,is_cold_start_7d_fixed exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,is_cold_start_7d_fixed,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,max_screen,mismatch_reason,max_screen exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,max_screen,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,payment_device,mismatch_reason,payment_device exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,payment_device,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,price,mismatch_reason,price exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,price,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,product_code,mismatch_reason,product_code exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,product_code,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,reg_date,mismatch_reason,reg_date exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,reg_date,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
05y_patch2_v3_comparison_summary.csv,,reg_hour,mismatch_reason,reg_hour exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_patch2_v3_comparison_summary.csv,,reg_hour,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only action wording
