window,feature,count,min,max,mean,zero_count,derived_redundant_for_later_pruning
w1_1,w1_1_has_watch_obs,23115,0.0,1.0,0.637378,8382,0
w1_1,w1_1_total_watch_time,23115,0.0,4766.0,100.040147,8382,0
w1_1,w1_1_total_sessions,23115,0.0,70.0,2.23833,8382,0
w1_1,w1_1_unique_contents,23115,0.0,27.0,1.680467,8382,0
w1_1,w1_1_unique_watch_days,23115,0.0,7.0,1.191607,8382,0
w1_1,w1_1_avg_watch_time_per_session,23115,0.0,200.0,30.034697,8382,0
w1_1,w1_1_max_daily_watch_time,23115,0.0,1134.0,67.133463,8382,0
w1_1,w1_1_max_day_share,23115,0.0,1.0,0.523426,8382,0
w1_1,w1_1_one_minute_watch_count,23115,0.0,25.0,0.478823,17042,0
w1_1,w1_1_short_watch_count_le5,23115,0.0,25.0,0.707636,15165,0
w1_1,w1_1_short_watch_time_le5,23115,0.0,45.0,1.202163,15165,0
w1_1,w1_1_week1_watch_time,23115,0.0,4766.0,100.040147,8382,0
w1_1,w1_1_week1_sessions,23115,0.0,70.0,2.23833,8382,0
w1_1,w1_1_week1_ratio,23115,0.0,1.0,0.637378,8382,1
w1_2,w1_2_has_watch_obs,23115,0.0,1.0,0.837724,3751,0
w1_2,w1_2_total_watch_time,23115,0.0,6088.0,197.848756,3751,0
w1_2,w1_2_total_sessions,23115,0.0,94.0,4.440536,3751,0
w1_2,w1_2_unique_contents,23115,0.0,57.0,3.194592,3751,0
w1_2,w1_2_unique_watch_days,23115,0.0,13.0,2.372053,3751,0
w1_2,w1_2_avg_watch_time_per_session,23115,0.0,200.0,38.394672,3751,0
w1_2,w1_2_max_daily_watch_time,23115,0.0,1134.0,102.723902,3751,0
w1_2,w1_2_max_day_share,23115,0.0,1.0,0.586598,3751,0
w1_2,w1_2_one_minute_watch_count,23115,0.0,38.0,0.971404,13035,0
w1_2,w1_2_short_watch_count_le5,23115,0.0,40.0,1.431884,10469,0
w1_2,w1_2_short_watch_time_le5,23115,0.0,79.0,2.422453,10469,0
w1_2,w1_2_week1_watch_time,23115,0.0,4766.0,100.040147,8382,0
w1_2,w1_2_week1_sessions,23115,0.0,70.0,2.23833,8382,0
w1_2,w1_2_week2_watch_time,23115,0.0,2957.0,97.808609,8579,0
w1_2,w1_2_week2_sessions,23115,0.0,55.0,2.202206,8579,0
w1_2,w1_2_week1_ratio,23115,0.0,1.0,0.427303,8382,1
w1_2,w1_2_week2_ratio,23115,0.0,1.0,0.410422,8579,1
w1_2,w1_2_w2_minus_w1_watch_time,23115,-3444.0,2957.0,-2.231538,3847,1
w1_3,w1_3_has_watch_obs,23115,0.0,1.0,0.938092,1431,0
w1_3,w1_3_total_watch_time,23115,0.0,6474.0,296.482976,1431,0
w1_3,w1_3_total_sessions,23115,0.0,104.0,6.642224,1431,0
w1_3,w1_3_unique_contents,23115,0.0,67.0,4.640753,1431,0
w1_3,w1_3_unique_watch_days,23115,0.0,20.0,3.550249,1431,0
w1_3,w1_3_avg_watch_time_per_session,23115,0.0,200.0,42.406854,1431,0
w1_3,w1_3_max_daily_watch_time,23115,0.0,1248.0,129.093316,1431,0
w1_3,w1_3_max_day_share,23115,0.0,1.0,0.577815,1431,0
w1_3,w1_3_one_minute_watch_count,23115,0.0,41.0,1.458706,10178,0
w1_3,w1_3_short_watch_count_le5,23115,0.0,43.0,2.145403,7378,0
w1_3,w1_3_short_watch_time_le5,23115,0.0,79.0,3.621934,7378,0
w1_3,w1_3_week1_watch_time,23115,0.0,4766.0,100.040147,8382,0
w1_3,w1_3_week1_sessions,23115,0.0,70.0,2.23833,8382,0
w1_3,w1_3_week2_watch_time,23115,0.0,2957.0,97.808609,8579,0
w1_3,w1_3_week2_sessions,23115,0.0,55.0,2.202206,8579,0
w1_3,w1_3_week3_watch_time,23115,0.0,2691.0,98.63422,8392,0
w1_3,w1_3_week3_sessions,23115,0.0,41.0,2.201687,8392,0
w1_3,w1_3_week1_ratio,23115,0.0,1.0,0.321853,8382,1
w1_3,w1_3_week2_ratio,23115,0.0,1.0,0.29986,8579,1
w1_3,w1_3_week3_ratio,23115,0.0,1.0,0.316379,8392,1
w1_3,w1_3_w2_minus_w1_watch_time,23115,-3444.0,2957.0,-2.231538,3847,1
w1_3,w1_3_w3_minus_w2_watch_time,23115,-1824.0,2691.0,0.825611,3812,1
w1_4,w1_4_has_watch_obs,23115,0.0,1.0,0.992645,170,0
w1_4,w1_4_total_watch_time,23115,0.0,6474.0,326.14748,170,0
w1_4,w1_4_total_sessions,23115,0.0,104.0,7.319663,170,0
w1_4,w1_4_unique_contents,23115,0.0,67.0,5.028769,170,0
w1_4,w1_4_unique_watch_days,23115,0.0,21.0,3.869825,170,0
w1_4,w1_4_avg_watch_time_per_session,23115,0.0,200.0,44.77834,170,0
w1_4,w1_4_max_daily_watch_time,23115,0.0,1248.0,138.784469,170,0
w1_4,w1_4_max_day_share,23115,0.0,1.0,0.607788,170,0
w1_4,w1_4_one_minute_watch_count,23115,0.0,41.0,1.613628,9247,0
w1_4,w1_4_short_watch_count_le5,23115,0.0,44.0,2.374086,6311,0
w1_4,w1_4_short_watch_time_le5,23115,0.0,109.0,4.006965,6311,0
w1_4,w1_4_week1_watch_time,23115,0.0,4766.0,100.040147,8382,0
w1_4,w1_4_week1_sessions,23115,0.0,70.0,2.23833,8382,0
w1_4,w1_4_week2_watch_time,23115,0.0,2957.0,97.808609,8579,0
w1_4,w1_4_week2_sessions,23115,0.0,55.0,2.202206,8579,0
w1_4,w1_4_week3_watch_time,23115,0.0,2691.0,98.63422,8392,0
w1_4,w1_4_week3_sessions,23115,0.0,41.0,2.201687,8392,0
w1_4,w1_4_week4_watch_time,23115,0.0,3449.0,29.664504,17383,0
w1_4,w1_4_week4_sessions,23115,0.0,44.0,0.677439,17383,0
w1_4,w1_4_week1_ratio,23115,0.0,1.0,0.306771,8382,1
w1_4,w1_4_week2_ratio,23115,0.0,1.0,0.28559,8579,1
w1_4,w1_4_week3_ratio,23115,0.0,1.0,0.294986,8392,1
w1_4,w1_4_week4_ratio,23115,0.0,1.0,0.105299,17383,1
w1_4,w1_4_w2_minus_w1_watch_time,23115,-3444.0,2957.0,-2.231538,3847,1
w1_4,w1_4_w3_minus_w2_watch_time,23115,-1824.0,2691.0,0.825611,3812,1
w1_4,w1_4_w4_minus_w3_watch_time,23115,-2297.0,2234.0,-68.969717,6261,1
