check,status,detail
raw_files_unchanged,PASS,raw snapshots unchanged
no_project_root_data_output_created,PASS,Stage 08b writes only under park.ingyeom/reports
stage01_through_stage08_outputs_not_overwritten,PASS,Stage 01-08 snapshots unchanged
stage07r_true_shap_used_as_xai_basis,PASS,07r TRUE SHAP tables read
stage07_fallback_not_used_as_final_evidence,PASS,No Stage 07 fallback files read
is_repurchase_not_used_to_define_segments,PASS,target_used_to_define=False
forbidden_features_not_used_as_segment_variables,PASS,
small_n_segments_identified,PASS,early_routine_stable|general_other|week2_surge_users
high_overlap_segments_identified,PASS,delayed_start|early_routine_stable|genre_affinity_action_adventure|genre_affinity_animation_family|genre_affinity_drama|genre_affinity_thriller_crime|late_heavy_week3_intensive|low_or_no_early_engagement|top_decile_high_churn_risk|week2_surge_users
misleading_segment_names_reviewed,PASS,early_routine_stable|general_other|high_price_or_promotion_sensitive|late_heavy_week3_intensive|week2_surge_users
final_segment_list_no_more_than_6,PASS,final_segment_count=6
every_final_segment_has_action_recommendation,PASS,recommended_action populated
stage09_candidate_segments_have_required_inputs,PASS,simulation input placeholders present
no_business_simulation_created,PASS,No financial impact or lift calculation performed
final_report_and_team_share_summary_created,PASS,report and team-share summary
all_required_outputs_created,PASS,all required outputs exist
