duration_days,count,rate
31,19280,0.825943537677248
32,3825,0.16386068628710962
0,90,0.003855545559696697
1,51,0.002184809150494795
2,25,0.0010709848776935269
3,16,0.0006854303217238573
4,9,0.0003855545559696697
8,7,0.00029987576575418756
6,6,0.00025703637064644646
9,6,0.00025703637064644646
5,5,0.0002141969755387054
13,4,0.00017135758043096433
7,3,0.00012851818532322323
12,3,0.00012851818532322323
11,3,0.00012851818532322323
10,2,8.567879021548216e-05
20,2,8.567879021548216e-05
17,2,8.567879021548216e-05
16,2,8.567879021548216e-05
18,1,4.283939510774108e-05
14,1,4.283939510774108e-05
