check,status,evidence
raw files unchanged,PASS,Compared _data snapshots.
no _data output created,PASS,Compared _data file set.
Stage 01 through Stage 09 outputs not overwritten,PASS,Compared non-06g artifact snapshots.
Stage 06 split reused,PASS,park.ingyeom/reports/tables/06_v2_baseline_modeling/06_v2_split_membership_row_ids.csv
USER_KEY train/test overlap is 0,PASS,0
forbidden features excluded,PASS,Checked feature sets.
target mapping documented,PASS,Y -> 1; N -> 0.
w1_3/w1_4 separated,PASS,Checked prefixes.
w1_4 labeled late-period only,PASS,Checked metadata.
pruned baseline models evaluated,PASS,14
no Optuna run,PASS,No optuna import or tuning loop.
no SHAP run,PASS,No shap import or SHAP computation.
no segmentation created,PASS,No segmentation outputs.
no business simulation created,PASS,No simulation outputs.
final recommendation follows revised priority order,PASS,pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag
"full, timing-sensitive, early-safer, and late-period results are separated",PASS,full_exploratory_model|timing_sensitive_pruned_w1_3|early_safer_pruned_or_exact_w1_2|late_period_w1_4_comparison
final pruned model recommendation created,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_final_model_recommendation.csv
mentor-facing wording created,PASS,park.ingyeom/reports/data/06g_v2_pruned_baseline_modeling/06g_final_pruned_model_recommendation.md
required output exists: 06g_pruned_model_metrics.csv,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_pruned_model_metrics.csv
required output exists: 06g_pruned_churn_risk_decile_summary.csv,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_pruned_churn_risk_decile_summary.csv
required output exists: 06g_pruned_metric_ladder.csv,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_pruned_metric_ladder.csv
required output exists: 06g_pruned_vs_full_comparison.csv,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_pruned_vs_full_comparison.csv
required output exists: 06g_interpretability_performance_tradeoff.csv,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_interpretability_performance_tradeoff.csv
required output exists: 06g_final_model_recommendation.csv,PASS,park.ingyeom/reports/tables/06g_v2_pruned_baseline_modeling/06g_final_model_recommendation.csv
required output exists: 06g_pruned_baseline_modeling_report.md,PASS,park.ingyeom/reports/data/06g_v2_pruned_baseline_modeling/06g_pruned_baseline_modeling_report.md
required output exists: 06g_pruned_baseline_summary.json,PASS,park.ingyeom/reports/data/06g_v2_pruned_baseline_modeling/06g_pruned_baseline_summary.json
required output exists: 06g_final_pruned_model_recommendation.md,PASS,park.ingyeom/reports/data/06g_v2_pruned_baseline_modeling/06g_final_pruned_model_recommendation.md
required output exists: 06g_pruned_auc_comparison.png,PASS,park.ingyeom/reports/figures/06g_v2_pruned_baseline_modeling/06g_pruned_auc_comparison.png
required output exists: 06g_feature_count_vs_auc_pruned.png,PASS,park.ingyeom/reports/figures/06g_v2_pruned_baseline_modeling/06g_feature_count_vs_auc_pruned.png
required output exists: 06g_pruned_metric_ladder.png,PASS,park.ingyeom/reports/figures/06g_v2_pruned_baseline_modeling/06g_pruned_metric_ladder.png
required output exists: 06g_top_decile_lift_pruned.png,PASS,park.ingyeom/reports/figures/06g_v2_pruned_baseline_modeling/06g_top_decile_lift_pruned.png
