downstream_step,handoff_topic,feature_set_name,related_features,reason,required_action,risk_if_ignored,user_approval_required,notes
11x modeling preflight,conservative vs expanded feature usage,both,all model features,Need explicit scope decision before modeling,Save and inspect actual model input feature list,Expanded features may be used unintentionally,True,Do not proceed directly to Optuna/SHAP/segmentation
11x modeling preflight,actual model input feature list,expanded_feature_set,expanded 80 feature expectation,Verify expanded features actually used,Persist input list per scope,Model evidence may not match claimed feature set,True,
11x modeling preflight,near-constant/group-proxy sensitivity,expanded_feature_set,is_user_verified; payment_is_ios; age_group; payment_is_mobile; is_female; is_premium; is_male; payment_is_pc,Proxy-risk features need scope review,Run approved sensitivity checks only in modeling step,Structural proxy could dominate interpretation,True,
11x modeling preflight,LogisticRegression VIF/redundancy risk,both,high VIF and high correlation clusters,Coefficient interpretation may be unstable,Carry VIF cluster table into preflight,Coefficient sign/size may be overread,True,
12x model comparison,model family redundancy sensitivity,both,correlated clusters,Different model families react differently to redundancy,Compare family-level behavior cautiously,AUC-only interpretation may hide redundancy effects,True,
SHAP,correlated feature importance split,both,redundancy clusters,SHAP attribution may split among correlated features,Interpret as feature families/clusters,Single-feature importance overclaim,True,
segmentation,do not name segment from feature name first,both,all high-risk features,Segments require rule and distribution validation,Use provisional labels after distribution/rule check,Unsafe customer labeling,True,
11x modeling preflight,expanded_full preservation,expanded_full,80 use_as_feature=yes features,Hotfix policy preserves expanded_full as the main candidate feature set,Keep expanded_full 80-feature set intact and save actual model input feature list,Feature set evidence may drift from 10x policy,True,No feature removal before user approval
11x modeling preflight,redundancy-aware sensitivity as separate comparison,expanded_redundancy_aware_sensitivity,10x_feature_refinement_candidate_policy.csv groups A-J,"High VIF/correlation should become sensitivity design, not automatic removal","Separate conservative_safe_22, expanded_full, and optional expanded_redundancy_aware_sensitivity",Sensitivity results may be confused with main expanded_full result,True,Feature removal remains prohibited without approval
11x/12x/SHAP,model family and interpretation caution,both,high-VIF and correlated feature families,Logistic Regression coefficients and SHAP attribution can be unstable or split under redundancy,Limit Logistic Regression coefficient interpretation; keep tree/boosting available; interpret SHAP by feature family/redundancy cluster,Single-feature overclaim,True,Tree/boosting models are not excluded solely due to high VIF
11x modeling preflight,payment/auth/default demographic artifact,expanded_full,payment_is_ios; is_user_verified; age_group; is_female; is_male; payment_is_mobile; payment_is_pc; is_premium,Domain hypothesis indicates possible default demographic artifact and cohort-construction proxy,Review scope sensitivity and do not interpret as true customer demographics,Unsafe demographic interpretation,True,"age_group is structural proxy risk, not simple near-constant"
