feature_set_name,AARRR_stage,feature_family,feature_count,numeric_count,binary_count,avg_zero_rate,max_zero_rate,near_constant_count,high_corr_pair_count,vif_high_or_extreme_count,group_proxy_risk_count,leakage_suspect_count,top_risk_features,summary_note
conservative_safe_22,Activation,early_week1_watch_behavior,4,2,2,0.5833549980501754,0.9011655617661077,0,3,1,0,4,watch_time_min_w1; watch_session_w1; is_w1_over_50pct; is_only_w1,family-level diagnostic summary only; no feature selection decision
conservative_safe_22,Activation,onboarding_cold_start_fixed,2,0,2,0.4876294466831319,0.6131114866328697,0,2,0,0,2,is_cold_start_3d_fixed; is_cold_start_7d_fixed,family-level diagnostic summary only; no feature selection decision
conservative_safe_22,Retention,usage_retention_behavior,16,12,4,0.4524351141730578,0.920317171454569,0,4,5,0,16,avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; watch_time_min_w2; watch_time_min_w3; watch_session_w2; watch_session_w3; retention_w2_ratio,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Acquisition_context,membership_context,12,0,12,0.7214459032020452,0.8452705923133584,0,0,9,5,12,is_standard; is_premium; reg_is_weekend; reg_hour_morning; reg_hour_afternoon; reg_hour_evening; reg_hour_night; payment_is_mobile,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Activation,early_week1_watch_behavior,4,2,2,0.5833549980501754,0.9011655617661077,0,3,2,0,4,watch_time_min_w1; watch_session_w1; is_w1_over_50pct; is_only_w1,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Activation,onboarding_cold_start_fixed,2,0,2,0.4876294466831319,0.6131114866328697,0,2,0,0,2,is_cold_start_3d_fixed; is_cold_start_7d_fixed,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Needs_user_review,profile_context_needs_review,4,1,3,0.34438233892283027,0.6865115472940768,1,0,0,4,4,is_user_verified; age_group; is_female; is_male,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Retention,usage_retention_behavior,39,35,4,0.2814191167239392,0.920317171454569,0,17,21,0,33,total_watch_count; unique_movie; watch_days; active_ratio; total_watch_time_min; watch_per_day; avg_watch_time_min; median_watch_time_min,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Retention_context,content_preference_context,17,17,0,0.6169652574405559,0.899345725551367,0,3,13,0,2,new_movie_in_90d_ratio; new_movie_in_180d_ratio; new_movie_in_365d_ratio; old_movie_ratio_5y; avg_ott_release_year; genre_diversity_count; action_adventure_ratio; family_animation_ratio,family-level diagnostic summary only; no feature selection decision
expanded_feature_set,Retention_context,historical_churn_prevention_context,1,0,1,0.8200528619090949,0.8200528619090949,0,0,0,0,1,is_churn_prevented,family-level diagnostic summary only; no feature selection decision
