safe_model_feature_name,feature_set_name,AARRR_stage,feature_family,why_reviewed,distribution_summary,group_pattern_summary,risk_summary,caveat_reason,recommended_next_step,not_a_feature_selection_decision,notes
action_adventure_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1045; q05=0.0000; median=0.0000; q95=0.6492; zero_rate=0.6564,promotion_only_mean=0.1050; nonpromotion_only_mean=0.1040; promotion_repurchase_mean=0.0856; promotion_nonrepurchase_mean=0.1454; nonpromotion_repurchase_mean=0.0889; nonpromotion_nonrepurchase_mean=0.1524,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
active_ratio,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1693; q05=0.0000; median=0.1429; q95=0.4286; zero_rate=0.0618,promotion_only_mean=0.1703; nonpromotion_only_mean=0.1681; promotion_repurchase_mean=0.1895; promotion_nonrepurchase_mean=0.1306; nonpromotion_repurchase_mean=0.1838; nonpromotion_nonrepurchase_mean=0.1178,high/extreme VIF diagnostic; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
age_group,expanded_feature_set,Needs_user_review,profile_context_needs_review,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=31.7518; q05=20.0000; median=30.0000; q95=50.0000; zero_rate=0.0000,promotion_only_mean=29.5338; nonpromotion_only_mean=34.1145; promotion_repurchase_mean=29.6392; promotion_nonrepurchase_mean=29.3147; nonpromotion_repurchase_mean=34.2054; nonpromotion_nonrepurchase_mean=33.8230,group proxy risk review; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
avg_gap_w3_watch_days,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.6784; q05=0.0000; median=0.0000; q95=3.0000; zero_rate=0.6710,promotion_only_mean=0.6941; nonpromotion_only_mean=0.6617; promotion_repurchase_mean=0.8720; promotion_nonrepurchase_mean=0.3244; nonpromotion_repurchase_mean=0.8001; nonpromotion_nonrepurchase_mean=0.2173,zero-inflation or tail risk; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
avg_rewatch_ratio,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1494; q05=0.0000; median=0.1429; q95=0.4000; zero_rate=0.3892,promotion_only_mean=0.1493; nonpromotion_only_mean=0.1494; promotion_repurchase_mean=0.1559; promotion_nonrepurchase_mean=0.1356; nonpromotion_repurchase_mean=0.1549; nonpromotion_nonrepurchase_mean=0.1317,leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
comedy_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0885; q05=0.0000; median=0.0000; q95=0.5533; zero_rate=0.6883,promotion_only_mean=0.0875; nonpromotion_only_mean=0.0895; promotion_repurchase_mean=0.0879; promotion_nonrepurchase_mean=0.0868; nonpromotion_repurchase_mean=0.0905; nonpromotion_nonrepurchase_mean=0.0862,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
documentary_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0186; q05=0.0000; median=0.0000; q95=0.0804; zero_rate=0.8993,promotion_only_mean=0.0185; nonpromotion_only_mean=0.0188; promotion_repurchase_mean=0.0171; promotion_nonrepurchase_mean=0.0214; nonpromotion_repurchase_mean=0.0190; nonpromotion_nonrepurchase_mean=0.0180,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
drama_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1693; q05=0.0000; median=0.0000; q95=0.9000; zero_rate=0.5257,promotion_only_mean=0.1678; nonpromotion_only_mean=0.1708; promotion_repurchase_mean=0.1914; promotion_nonrepurchase_mean=0.1189; nonpromotion_repurchase_mean=0.1868; nonpromotion_nonrepurchase_mean=0.1198,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
family_animation_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1072; q05=0.0000; median=0.0000; q95=0.9445; zero_rate=0.7518,promotion_only_mean=0.1074; nonpromotion_only_mean=0.1070; promotion_repurchase_mean=0.1213; promotion_nonrepurchase_mean=0.0785; nonpromotion_repurchase_mean=0.1184; nonpromotion_nonrepurchase_mean=0.0704,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
genre_diversity_count,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=2.9129; q05=0.0000; median=3.0000; q95=6.0000; zero_rate=0.0618,promotion_only_mean=2.9225; nonpromotion_only_mean=2.9026; promotion_repurchase_mean=3.2231; promotion_nonrepurchase_mean=2.2976; nonpromotion_repurchase_mean=3.1363; nonpromotion_nonrepurchase_mean=2.1529,leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
