feature_set_name,cluster_id,cluster_feature_list,cluster_size,dominant_feature_family,AARRR_stages,max_abs_corr_in_cluster,reason,modeling_risk,SHAP_interpretation_risk,removal_allowed,user_approval_required,recommended_next_step,notes
conservative_safe_22,conservative_safe_22_corr_cluster_01,diff_between_w2_w1; retention_w2_ratio,2,usage_retention_behavior,Retention,0.9286078932119469,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
conservative_safe_22,conservative_safe_22_corr_cluster_02,diff_between_w3_w2; retention_w3_ratio,2,usage_retention_behavior,Retention,0.9309497327939383,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
conservative_safe_22,conservative_safe_22_corr_cluster_03,is_cold_start_7d_fixed; watch_session_w1; watch_time_min_w1,3,early_week1_watch_behavior,Activation,0.9078063113561432,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
conservative_safe_22,conservative_safe_22_corr_cluster_04,watch_session_w2; watch_time_min_w2,2,usage_retention_behavior,Retention,0.9114433933959144,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
conservative_safe_22,conservative_safe_22_corr_cluster_05,watch_session_w3; watch_time_min_w3,2,usage_retention_behavior,Retention,0.9074040427188955,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
expanded_feature_set,expanded_feature_set_corr_cluster_01,active_ratio; genre_diversity_count; total_watch_count; unique_movie; watch_days,5,usage_retention_behavior,Retention; Retention_context,1.0,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
expanded_feature_set,expanded_feature_set_corr_cluster_02,avg_daily_watch_time_min; avg_watch_time_min; max_daily_watch_time_min; max_watch_time_min; median_watch_time_min; total_watch_time_min,6,usage_retention_behavior,Retention,0.9295224511155502,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
expanded_feature_set,expanded_feature_set_corr_cluster_03,avg_gap_between_watch_days; max_inactive_gap_days,2,usage_retention_behavior,Retention,0.9216285194334181,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
expanded_feature_set,expanded_feature_set_corr_cluster_04,day_count_over_3times; max_daily_sessions; watch_per_day,3,usage_retention_behavior,Retention,0.9176745455533123,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
expanded_feature_set,expanded_feature_set_corr_cluster_05,diff_between_w2_w1; retention_w2_ratio,2,usage_retention_behavior,Retention,0.9286078932119469,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
expanded_feature_set,expanded_feature_set_corr_cluster_06,diff_between_w3_w2; retention_w3_ratio,2,usage_retention_behavior,Retention,0.9309497327939383,features connected by abs pearson or spearman correlation >= 0.85,coefficient instability or model-family-specific redundancy sensitivity possible,correlated feature importance may split across related features,False,True,review as family/cluster in 11x and SHAP; do not remove here,cluster is not a feature selection decision
