check_name,status,value,note,actual_model_output_folder,actual_figure_output_folder
repo_root_checked,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
repo_root_matches_expected,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
all_required_input_files_exist,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
detected_09b_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
detected_10_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
detected_11b_model_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
detected_11b_semantic_patch_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\11b_semantic_validation_and_interpretation_patch_260514,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
old_11_excluded,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
11b_used_as_canonical,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
11b_semantic_patch_applied,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
primary_modeling_table_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
primary_main_cohort_row_count_is_23079,PASS,23079,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
conservative_feature_count_is_22,PASS,22,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
