dataset_scope,model_name,feature_count,n_folds_completed,mean_valid_auc,std_valid_auc,min_valid_auc,max_valid_auc,mean_train_auc,mean_train_valid_gap,oof_auc,oof_average_precision,oof_brier_score,availability_status,performance_status,caution
overall_without_promotion,LogisticRegression,22,5,0.7860976036142333,0.0030622374795236844,0.7828685706503513,0.7899557016674293,0.7872999880418572,0.0012023844276238594,0.7858647805041071,0.8954734732378626,0.15993642781135703,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_without_promotion,HistGradientBoosting,22,5,0.8140052616727749,0.005126816878759007,0.8084398213428745,0.8186887035777748,0.8519187554215322,0.03791349374875723,0.8136740303172799,0.9107105194151872,0.14973442519708208,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_without_promotion,RandomForest,22,5,0.8076680119711858,0.006397740517438921,0.8000998947549811,0.8136759000024087,0.8199251897985652,0.012257177827379496,0.8073749698036077,0.9080728141240723,0.15258670720569473,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_without_promotion,GradientBoosting,22,5,0.8124581749577333,0.005436357847877068,0.8049411887869585,0.8170806134228162,0.8273986722656334,0.014940497307900147,0.8121620715087243,0.9107972863314664,0.15060176778311962,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_without_promotion,ExtraTrees,22,5,0.7836841259084805,0.004767464304812887,0.778361150936546,0.7880976919975438,0.7864965903774515,0.00281246446897101,0.783350272761653,0.8958302483356188,0.1652682607895403,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_without_promotion,LightGBM,22,5,0.8136612105564179,0.0045819696662496015,0.8069351464628964,0.8177342257542713,0.8949227110965647,0.08126150054014694,0.8131603374305969,0.9100816398502576,0.1499241515307805,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_without_promotion,XGBoost,22,5,0.8155197019138093,0.00560157047979093,0.8089376738256748,0.8202747904827372,0.8476533047672534,0.03213360285344406,0.8152121178143351,0.9119435730391388,0.14939675257189636,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,LogisticRegression,23,5,0.7924071546561919,0.0028263378899583257,0.7895767825411855,0.7967917640213973,0.7935410334170425,0.0011338787608506707,0.7923500015567012,0.9001929354330684,0.15798422568346193,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,HistGradientBoosting,23,5,0.8214091194203693,0.0057101249583655905,0.813065136105156,0.8286864013429858,0.8605375839183033,0.039128464497933835,0.8211437468292977,0.9153863565148331,0.14767424186482705,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,RandomForest,23,5,0.8112184754575157,0.005992914770742448,0.8038028101161214,0.8173569279201324,0.8231500814852936,0.011931606027777963,0.8108659302034433,0.9111250351532166,0.1521136881508122,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,GradientBoosting,23,5,0.8203476275813945,0.005077135312594218,0.8130973303340974,0.8259017163461448,0.8346463468213644,0.01429871923996997,0.8201613488881957,0.9154346194714926,0.14827693500509134,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,ExtraTrees,23,5,0.7900114801153209,0.004269712058849814,0.7841861020987858,0.7954182979953417,0.7934632458050757,0.0034517656897547822,0.7898977896453789,0.9004253837075036,0.1645520717832498,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,LightGBM,23,5,0.8230846855733638,0.004312379824066224,0.8163549693992695,0.8272384716866811,0.9012184268458588,0.07813374127249492,0.8228347309102542,0.9165367071708852,0.14705724053300004,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
overall_with_promotion,XGBoost,23,5,0.8236880001198136,0.005270136181261188,0.8157772103770107,0.8291151172981677,0.8549569630366849,0.03126896291687113,0.8234957455197796,0.9168910548852747,0.1469854111515004,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
promotion_only,LogisticRegression,22,5,0.77108049508726,0.0077908988836785905,0.7609513800506511,0.7797127718458162,0.7733105119370619,0.002230016849802019,0.7706160308032295,0.8681488265933421,0.17565964484430702,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
promotion_only,HistGradientBoosting,22,5,0.7969571606842821,0.006219963500855166,0.7862150809261187,0.8014133669722776,0.8961665701174922,0.09920940943321019,0.7965464484967525,0.8849792821318818,0.16648439702458395,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
promotion_only,RandomForest,22,5,0.7936646599283943,0.006975019388438803,0.7850813760654094,0.8019853835608504,0.8138808426054375,0.020216182677043303,0.7931624035577116,0.8832238462399067,0.1680131936590055,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
promotion_only,GradientBoosting,22,5,0.7985776445264474,0.006673874975068207,0.7877380699859875,0.8037874984714204,0.825509377295537,0.026931732769089667,0.7980856028584373,0.88751799099313,0.16590289138987618,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
promotion_only,ExtraTrees,22,5,0.7726801292549977,0.004460819327674061,0.7666994484939642,0.7781540386133663,0.7776730089098536,0.004992879654855753,0.7723109008474799,0.8711710407771696,0.18052109018288545,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
promotion_only,LightGBM,22,5,0.7960364909624846,0.0070169815356431395,0.7835519591962666,0.800085922264486,0.9200397093152397,0.12400321835275505,0.7957481622927115,0.8849460861245854,0.16708987760316826,available,overfit_warning,Large train-valid gap; fixed-parameter winner is not final.
promotion_only,XGBoost,22,5,0.8006693584473343,0.007089787282580306,0.788477669790582,0.8059291189588924,0.8569854194917748,0.056316061044440445,0.8002004177794328,0.88798282168306,0.16504814534644502,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
nonpromotion_only,LogisticRegression,22,5,0.8121255286547011,0.00945400494951555,0.8037228490481636,0.8228268701979611,0.8143552765704731,0.002229747915771818,0.8118022068380149,0.9270644803304158,0.13815065788858108,available,usable_candidate,Fixed-parameter comparison candidate only; not final model.
