source_row_number,USER_KEY,is_promotion,is_repurchase,reg_date,end_date,duration_days,flag_duration_lt_21,flag_duration_eq_0,flag_duration_21_30,flag_duration_ge_21,flag_invalid_reg_date,flag_invalid_end_date,flag_full_duplicate_all_columns,flag_full_duplicate_keep_first,flag_full_duplicate_to_exclude_from_main,flag_duplicated_USER_KEY,flag_cross_promotion_USER_KEY_overlap,primary_main_cohort_candidate_before_duplicate_policy,primary_main_cohort_final,exclusion_reason_for_primary_main_cohort
219,698632c2648187c4b455943406060fad66306944817d286c4c1b30d2c9852496fa8264a50abd2bb7cf1d2fcb82cf99a7e20efa1b5b89806aa7e795cd049f1f24,0,0,2021-03-06,2021-03-06,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
342,06e29aff8528056461562d5763bded5505f51c9b89314829defc2d6ac6b918ee36690517e2b1cc46276dd51ccde2c4f61f433f8b727400b51b695d839bb6e64f,1,0,2021-03-06,2021-03-06,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
361,3e97c149fd92035b09aa06852ba589732838ee62cbe7b6bb7c2950c5ea9d23f45cbcec07557437b2365ec2359862d4ed5388d69bc0219caeaf670977878fd91f,0,1,2021-03-01,2021-03-03,2,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
560,121ae7a87c018818ba76dc4c8e440dcdb1728fa6bea00c73003a07f14ad5bb699fd60e37f30ec3d6af6472ab289ee3b3fadd8eca2548c38bd183f3e42572203f,0,1,2021-03-04,2021-03-06,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
607,c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85a073e3f86024c6b47af717b022b79f44cd523525284917b4d998f8a292bc8e60158e246,1,0,2021-03-07,2021-03-07,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
629,b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c455cca52f86753f2c64ec9a46ff527b43dd1a7a7cf310ec1938edd30b68b39d8e5a9509,0,0,2021-03-09,2021-03-09,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
635,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,1,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,1,1,0,1,1,0,0,duration_lt_21
636,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,1,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,1,0,1,1,1,0,0,duration_lt_21;exact_full_duplicate_extra_row
648,a90b38b7fb4eb144b6b3d8d9601857a5babd40018799e8630501d4eab5fde4c2605cf4e843d4d8b7e1b82783d8a369300bf99180b9bfbfa04d567c13af284d27,1,1,2021-03-09,2021-03-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
696,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,0,0,2021-03-04,2021-03-07,3,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
