feature_name,old_feature_family,new_feature_family,old_mapping_rule,new_mapping_rule,old_final_mapping_status,new_final_mapping_status,remap_status,reason,notes
action_adventure_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
active_ratio,technical_or_unknown,usage_concentration,no simple rule matched,explicit 16b usage concentration remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,사용 활동 분산과 반복 활동 패턴을 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
age_group,demographic_context,demographic_context,age/gender exact match,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_daily_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_gap_between_watch_days,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_gap_w1_watch_days,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_gap_w2_watch_days,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_gap_w3_watch_days,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_ott_release_year,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_rewatch_ratio,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
avg_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
comedy_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
day_count_over_3times,technical_or_unknown,usage_concentration,no simple rule matched,explicit 16b usage concentration remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,반복 사용이 발생한 날짜 수를 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
diff_between_w2_w1,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
diff_between_w3_w1,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
diff_between_w3_w2,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
documentary_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
drama_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
