model_family,promo_scope,feature_family,old_total_mean_abs_shap,new_total_mean_abs_shap,old_family_rank,new_family_rank,delta_total_mean_abs_shap,rank_change,interpretation
GradientBoosting,promo0,content_preference,0.0186109058323865,0.0186109058323862,9.0,10.0,-3.0184188481996443e-16,-1,family importance changed because remapped features moved between families
GradientBoosting,promo0,demographic_context,0.0440784042948923,0.0440784042948923,7.0,8.0,0.0,-1,family importance unchanged
GradientBoosting,promo0,genre_preference,1.112997298446305,1.1514309430942005,2.0,2.0,0.03843364464789545,0,family importance changed because remapped features moved between families
GradientBoosting,promo0,historical_churn_prevention_context,0.0581674155004773,0.0581674155004773,5.0,6.0,0.0,-1,family importance unchanged
GradientBoosting,promo0,inactivity_recency,0.0,0.014944887710824799,,11.0,0.014944887710824799,,new hotfix family created from remapped technical_or_unknown features
GradientBoosting,promo0,membership_context,0.0278777663834185,0.0278777663834184,8.0,9.0,-1.0061396160665481e-16,-1,family importance changed because remapped features moved between families
GradientBoosting,promo0,onboarding_activation,0.0500236933924705,0.0500236933924705,6.0,7.0,0.0,-1,family importance unchanged
GradientBoosting,promo0,registration_timing_context,0.0,0.0077517250385885006,,12.0,0.0077517250385885006,,new hotfix family created from remapped technical_or_unknown features
GradientBoosting,promo0,retention_decay,0.4568113300419129,0.4568113300419129,3.0,3.0,0.0,0,family importance unchanged
GradientBoosting,promo0,technical_or_unknown,0.2751578618644809,0.0,4.0,,-0.2751578618644809,,technical_or_unknown reduced from old importance to new importance; remaining_feature_count=0; remapped_feature_count=16
GradientBoosting,promo0,usage_concentration,0.0,0.1117107748217988,,4.0,0.1117107748217988,,new hotfix family created from remapped technical_or_unknown features
GradientBoosting,promo0,week_specific_usage_pattern,0.0,0.1023168296453725,,5.0,0.1023168296453725,,new hotfix family created from remapped technical_or_unknown features
GradientBoosting,promo0,weekly_usage,1.3809966019692457,1.3809966019692443,1.0,1.0,-1.3322676295501878e-15,0,family importance changed because remapped features moved between families
GradientBoosting,promo1,content_preference,0.0788110301104361,0.0788110301104359,7.0,7.0,-1.942890293094024e-16,0,family importance changed because remapped features moved between families
GradientBoosting,promo1,demographic_context,0.0230906183240937,0.0230906183240937,9.0,11.0,0.0,-2,family importance unchanged
