feature_family,business_meaning,example_features,use_in_segment_rule,use_in_segment_profile,use_in_action_personalization,caveat,notes
acquisition_scope,acquisition or promotion scope context,,caution,yes,caution,do not claim promotion caused churn,16b handoff only; segmentation still requires separate user-approved step.
content_preference,content preference and release/content attributes,"avg_ott_release_year, movie_per_active_day, new_movie_in_180d_ratio, new_movie_in_365d_ratio, new_movie_in_90d_ratio, old_movie_ratio_5y, unique_movie",profile_or_action,yes,yes,avoid claiming content caused churn,16b handoff only; segmentation still requires separate user-approved step.
demographic_context,age/gender profile context,"age_group, is_female, is_male",no by default,yes,yes after EDA evidence,age/gender are not default representative segment rules,16b handoff only; segmentation still requires separate user-approved step.
genre_preference,content/genre preference,"action_adventure_ratio, comedy_ratio, documentary_ratio, drama_ratio, family_animation_ratio, genre_diversity_count, historical_war_ratio, horror_ratio",profile_or_action,yes,yes,avoid claiming genre causes churn,16b handoff only; segmentation still requires separate user-approved step.
historical_churn_prevention_context,past churn prevention response history,is_churn_prevented,caution,yes,caution,"approved historical context feature, not current intervention causal effect",16b handoff only; segmentation still requires separate user-approved step.
inactivity_recency,recent inactivity / long inactivity gap,"max_inactive_gap_days, recency",yes,yes,caution,timing window must remain day0~20,16b handoff only; segmentation still requires separate user-approved step.
membership_context,membership/plan context,"is_basic, is_premium, is_standard, is_user_verified",caution,yes,caution,membership context is not causal proof,16b handoff only; segmentation still requires separate user-approved step.
onboarding_activation,early activation / cold-start behavior,"is_cold_start_3d_fixed, is_cold_start_7d_fixed",yes,yes,caution,distribution check required before naming segments,16b handoff only; segmentation still requires separate user-approved step.
registration_timing_context,registration timing context,"reg_hour_afternoon, reg_hour_evening, reg_hour_morning, reg_hour_night, reg_is_weekend",no by default,yes,caution,"registration timing context, not direct cause",16b handoff only; segmentation still requires separate user-approved step.
retention_decay,log retention decline / continued viewing decay,"log_retention_w2_ratio, log_retention_w3_ratio",yes,yes,caution,"model explanation, not causality",16b handoff only; segmentation still requires separate user-approved step.
usage_concentration,activity concentrated on few days or repeated active days,"active_ratio, day_count_over_3times, max_day_share","yes, with caution",yes,caution,may interact with watch volume,16b handoff only; segmentation still requires separate user-approved step.
week_specific_usage_pattern,only watched in one specific week / temporal concentration,"is_only_w1, is_only_w2, is_only_w3",yes,yes,caution,segment name should be confirmed after distribution check,16b handoff only; segmentation still requires separate user-approved step.
weekly_usage,week-by-week viewing volume/session signal,"avg_daily_watch_time_min, avg_gap_between_watch_days, avg_gap_w1_watch_days, avg_gap_w2_watch_days, avg_gap_w3_watch_days, avg_rewatch_ratio, avg_watch_time_min, diff_between_w2_w1",yes,yes,caution,"model explanation, not causality",16b handoff only; segmentation still requires separate user-approved step.
