concept_group,source,variable_name,description,issue_note,in_official_w1_3_pruned_set,in_full_exploratory_w1_3,selection_direction,exists_in_modeling_dataset_v2c_w1_3,data_type,non_null_count,unique_count,example_values,min,median_or_top,max
,05f,duration_days,구독 기간 변수는 공식 모델에서 제외했습니다.,,False,False,Keep excluded from official modeling: duration is target-adjacent / leakage-risk.,False,,0,0,,,,
,05f,duration_days_recomputed,구독 기간 변수는 공식 모델에서 제외했습니다.,,False,False,Keep excluded from official modeling: recomputed duration is target-adjacent / leakage-risk.,False,,0,0,,,,
,05f,price_num,구독 상품 가격을 수치형으로 표준화한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,32,100.0 | 7900.0 | 9.99 | 10900.0 | 6700.0 | 3950.0 | 13900.0 | 6900.0,9.89,100.0,13900.0
,05f,max_screen_num,요금제의 최대 동시 화면 수를 수치형으로 표준화한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,3,4.0 | 1.0 | 2.0,1.0,1.0,4.0
,05f,age_num,사용자 나이를 수치형으로 표준화한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,17,20.0 | 25.0 | 40.0 | 35.0 | 30.0 | 60.0 | 45.0 | 50.0,15.0,35.0,95.0
,05f,gender_clean,성별 값을 정리한 범주형 멤버십 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,object,23115,3,F | unknown | M,,F (12325 rows),
,05f,payment_device_clean,결제 기기를 정리한 범주형 멤버십 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,object,23115,10,pc | android | sstv | ios | mobile | lgtv | ott | smarttv,,android (10854 rows),
,05f,billing_method_clean,결제 방식을 정리한 범주형 멤버십 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,int64,23115,9,134 | 190 | 180 | 151 | 131 | 140 | 132 | 170,121.0,140.0,190.0
,05f,is_user_verified_bin,사용자 인증 여부를 0/1로 변환한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,2,1.0 | 0.0,0.0,1.0,1.0
,05f,w1_3_total_watch_time,총 시청 시간은 공식 모델에서 제외했습니다.,,False,True,Keep excluded from official modeling: total-volume shortcut risk. Prefer weekly watch time and sessions.,True,float64,23115,1542,518.0 | 4.0 | 129.0 | 0.0 | 492.0 | 99.0 | 276.0 | 170.0,0.0,203.0,6474.0
,05f,w1_3_week1_sessions,구독 시작 후 1~3주 관측창에서 해당 주차의 시청 세션 수를 집계한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,int64,23115,36,3 | 2 | 0 | 4 | 6 | 1 | 8 | 5,0.0,1.0,70.0
,05f,w1_3_week2_sessions,구독 시작 후 1~3주 관측창에서 해당 주차의 시청 세션 수를 집계한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,int64,23115,35,8 | 1 | 2 | 0 | 5 | 4 | 16 | 19,0.0,1.0,55.0
,05f,w1_3_week3_sessions,구독 시작 후 1~3주 관측창에서 해당 주차의 시청 세션 수를 집계한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,int64,23115,36,2 | 0 | 3 | 11 | 5 | 1 | 4 | 8,0.0,1.0,41.0
,05f,w1_3_unique_watch_days,1~3주 관측창에서 실제 시청이 있었던 서로 다른 날짜 수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,int64,23115,20,9 | 2 | 1 | 0 | 5 | 8 | 4 | 3,0.0,3.0,20.0
,05f,last_watch_rel_day,첫/마지막 시청 상대일은 공식 모델에서 제외했습니다.,,False,False,Keep excluded from official modeling: last-observation timing shortcut risk.,False,,0,0,,,,
,05f,w1_3_avg_watch_time_per_session,1~3주 관측창의 세션당 평균 시청 시간입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,5278,39.846154 | 1.333333 | 64.5 | 0.0 | 61.5 | 49.5 | 12.545455 | 42.5,0.0,39.307692,200.0
,05f,w1_3_unique_contents,1~3주 관측창에서 시청한 서로 다른 콘텐츠 수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,int64,23115,42,10 | 3 | 2 | 0 | 6 | 1 | 20 | 14,0.0,4.0,67.0
,05f,w1_3_genre_entropy,1~3주 관측창에서 장르 시청 비중의 다양성을 요약한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,14849,1.164626309225448 | 0.5623351446188083 | 0.0453947781468581 | 0.0 | 1.1588886219430774 | -0.0 | 1.550631537403339 | 1.1722695410168662,-0.0,0.6618651363453607,2.1141573946369663
,05f,w1_3_genre_ratio_action_adventure,1~3주 관측창에서 action_adventure 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,6066,0.2297297297297297 | 0.75 | 0.0 | 0.2318840579710145 | 0.0031446540880503 | 0.1115434500648508 | 0.0275049115913556 | 0.054054054054054,0.0,0.0,1.0
,05f,w1_3_genre_ratio_animation_family,1~3주 관측창에서 animation_family 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,4044,0.0038610038610038 | 0.0 | 0.1608300907911803 | 0.1052631578947368 | 0.776 | 0.0333333333333333 | 1.0 | 0.1618257261410788,0.0,0.0,1.0
,05f,w1_3_genre_ratio_comedy,1~3주 관측창에서 comedy 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,5445,0.0 | 0.0077519379844961 | 0.1847826086956521 | 0.3672727272727272 | 0.3098159509202454 | 0.1100196463654224 | 0.11 | 0.1083333333333333,0.0,0.0,1.0
,05f,w1_3_genre_ratio_drama,1~3주 관측창에서 drama 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,8029,0.3899613899613899 | 0.25 | 0.0 | 0.0507246376811594 | 0.3784067085953878 | 0.9679144385026738 | 0.1776913099870298 | 0.8421052631578947,0.0,0.0,1.0
,05f,w1_3_genre_ratio_historical_war,1~3주 관측창에서 historical_war 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,4220,0.0 | 0.0253623188405797 | 0.4308176100628931 | 0.0267379679144385 | 0.0526315789473684 | 0.6426426426426426 | 0.2157894736842105 | 0.4078947368421052,0.0,0.0,1.0
,05f,w1_3_genre_ratio_horror,1~3주 관측창에서 horror 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,2316,0.0 | 0.2459349593495935 | 0.0652173913043478 | 0.0115303983228511 | 0.0053475935828877 | 0.6327272727272727 | 0.3488975356679636 | 0.0029469548133595,0.0,0.0,1.0
