window,feature_set,feature_group,feature,missing_rate,unique_count,univariate_auc_abs_direction,categorical_target_rate_range,max_abs_stage06_importance_or_coef,near_deterministic_flag
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_recency,w1_3_active_span_days,0.0,22,0.6621483260339731,,45.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,release_month,w1_3_avg_ott_release_month_weighted,0.06259140099444283,18115,0.5541572796666548,,133.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_presence,w1_3_content_has_watch_obs,0.0,2,0.5051994039336137,,2.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_recency,w1_3_first_watch_rel_day,0.06259140099444283,21,0.5021738734920537,,111.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_presence,w1_3_has_watch_obs,0.0,2,0.5051994039336137,,0.4114667613519458,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_recency,w1_3_last_watch_rel_day,0.06259140099444283,21,0.6934939168362304,,52.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_presence,w1_3_no_watch_obs_flag,0.0,2,0.5051994039336136,,0.1366282839707599,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,release_month,w1_3_old_content_watch_ratio,0.0,8295,0.5544401555195733,,63.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,release_month,w1_3_recent_content_watch_ratio,0.0,6962,0.512196716656288,,53.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,release_month,w1_3_release_month_covered_watch_ratio,0.0,2,0.5051994039336137,,0.1338396918336574,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,top_genre,w1_3_top_genre,0.06259140099444283,11,,0.3395139708741451,82.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,top_genre,w1_3_top_genre_watch_ratio,0.0,11728,0.6170169689678386,,59.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,top_genre,w1_3_top_genre_watch_time,0.0,942,0.6614564954127841,,82.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,watch_volume,w1_3_total_watch_time,0.0,1553,0.6750122876416558,,101.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,week_ratio,w1_3_week1_ratio,0.0,10087,0.6307924309754614,,112.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,week_ratio,w1_3_week2_ratio,0.0,10324,0.5644172202618601,,96.0,N
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,week_ratio,w1_3_week3_ratio,0.0,10129,0.6643508575625304,,71.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_recency,w1_4_active_span_days,0.0,29,0.695804273037015,,46.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,release_month,w1_4_avg_ott_release_month_weighted,0.0076881293611331634,18971,0.5553588355755932,,117.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_presence,w1_4_content_has_watch_obs,0.0,2,0.5027380758809066,,10.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_recency,w1_4_first_watch_rel_day,0.0076881293611331634,28,0.5036557475825765,,119.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_presence,w1_4_has_watch_obs,0.0,2,0.5027380758809066,,0.2371849029186005,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_recency,w1_4_last_watch_rel_day,0.0076881293611331634,28,0.7121009498247894,,63.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_presence,w1_4_no_watch_obs_flag,0.0,2,0.5027380758809066,,0.0697863156198412,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,release_month,w1_4_old_content_watch_ratio,0.0,8786,0.5595833902209638,,57.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,release_month,w1_4_recent_content_watch_ratio,0.0,7472,0.5143662191702582,,72.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,release_month,w1_4_release_month_covered_watch_ratio,0.0,2,0.5027380758809066,,0.0468226217073171,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,top_genre,w1_4_top_genre,0.0076881293611331634,11,,0.3401882752212032,96.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,top_genre,w1_4_top_genre_watch_ratio,0.0,12343,0.6446146061884637,,61.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,top_genre,w1_4_top_genre_watch_time,0.0,990,0.6959709198222229,,96.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,watch_volume,w1_4_total_watch_time,0.0,1645,0.7110104210868724,,103.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,week_ratio,w1_4_week1_ratio,0.0,10384,0.6389316465754875,,101.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,week_ratio,w1_4_week2_ratio,0.0,10610,0.5578091626121733,,94.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,week_ratio,w1_4_week3_ratio,0.0,10525,0.6613930729535632,,60.0,N
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,week_ratio,w1_4_week4_ratio,0.0,4086,0.5832222152805897,,39.0,N
