scope,feature_a,feature_b,corr,abs_corr,threshold_band
all_numeric,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,-1.0,1.0,>=0.95
all_numeric,w1_3_content_has_watch_obs,w1_3_genre_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_has_watch_obs,w1_3_genre_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_has_watch_obs,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_no_watch_obs_flag,w1_3_content_has_watch_obs,-1.0,1.0,>=0.95
all_numeric,w1_3_no_watch_obs_flag,w1_3_genre_covered_watch_ratio,-1.0,1.0,>=0.95
all_numeric,w1_3_no_watch_obs_flag,w1_3_release_month_covered_watch_ratio,-1.0,1.0,>=0.95
all_numeric,w1_3_total_watch_time,w1_3_genre_covered_watch_time,1.0,1.0,>=0.95
all_numeric,w1_3_genre_covered_watch_ratio,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_has_watch_obs,w1_3_content_has_watch_obs,1.0,1.0,>=0.95
all_numeric,w1_3_content_has_watch_obs,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_genre_ratio_other,w1_3_genre_watch_time_other,0.9986866425901268,0.9986866425901268,>=0.95
all_numeric,w1_3_genre_ratio_horror,w1_3_genre_watch_time_horror,0.9984700684446486,0.9984700684446486,>=0.95
all_numeric,w1_3_genre_watch_time_other,w1_3_genre_session_count_other,0.998282126256763,0.998282126256763,>=0.95
all_numeric,w1_3_genre_ratio_other,w1_3_genre_session_count_other,0.99800523458921,0.99800523458921,>=0.95
all_numeric,w1_3_genre_watch_time_horror,w1_3_genre_session_count_horror,0.997845427247426,0.997845427247426,>=0.95
all_numeric,w1_3_genre_ratio_horror,w1_3_genre_session_count_horror,0.9971872470568002,0.9971872470568002,>=0.95
all_numeric,w1_3_genre_watch_time_historical_war,w1_3_genre_session_count_historical_war,0.9932902493444962,0.9932902493444962,>=0.95
all_numeric,w1_3_genre_ratio_historical_war,w1_3_genre_watch_time_historical_war,0.9928902459805179,0.9928902459805179,>=0.95
all_numeric,w1_3_genre_watch_time_animation_family,w1_3_genre_session_count_animation_family,0.9920258729369376,0.9920258729369376,>=0.95
all_numeric,w1_3_genre_ratio_historical_war,w1_3_genre_session_count_historical_war,0.989411141899256,0.989411141899256,>=0.95
all_numeric,w1_3_genre_ratio_animation_family,w1_3_genre_watch_time_animation_family,0.988497864923955,0.988497864923955,>=0.95
all_numeric,w1_3_genre_ratio_animation_family,w1_3_genre_session_count_animation_family,0.9857948649597515,0.9857948649597515,>=0.95
all_numeric,w1_3_genre_watch_time_sf_fantasy,w1_3_genre_session_count_sf_fantasy,0.9856177278051887,0.9856177278051887,>=0.95
all_numeric,w1_3_genre_ratio_sf_fantasy,w1_3_genre_watch_time_sf_fantasy,0.9836356012409996,0.9836356012409996,>=0.95
all_numeric,w1_3_genre_ratio_romance,w1_3_genre_watch_time_romance,0.9819575356669556,0.9819575356669556,>=0.95
all_numeric,w1_3_genre_ratio_comedy,w1_3_genre_watch_time_comedy,0.9811629816513412,0.9811629816513412,>=0.95
all_numeric,w1_3_genre_watch_time_romance,w1_3_genre_session_count_romance,0.9808489840657063,0.9808489840657063,>=0.95
all_numeric,w1_3_genre_watch_time_comedy,w1_3_genre_session_count_comedy,0.9802974142430296,0.9802974142430296,>=0.95
all_numeric,w1_3_genre_watch_time_action_adventure,w1_3_genre_session_count_action_adventure,0.9784843605595377,0.9784843605595377,>=0.95
all_numeric,w1_3_genre_ratio_action_adventure,w1_3_genre_watch_time_action_adventure,0.9776106811390856,0.9776106811390856,>=0.95
all_numeric,w1_3_genre_ratio_sf_fantasy,w1_3_genre_session_count_sf_fantasy,0.9753267918317444,0.9753267918317444,>=0.95
all_numeric,w1_3_genre_watch_time_thriller_crime,w1_3_genre_session_count_thriller_crime,0.9744609999018112,0.9744609999018112,>=0.95
all_numeric,w1_3_genre_ratio_romance,w1_3_genre_session_count_romance,0.9731616238804957,0.9731616238804957,>=0.95
all_numeric,w1_3_genre_ratio_comedy,w1_3_genre_session_count_comedy,0.9713659614918371,0.9713659614918371,>=0.95
all_numeric,w1_3_genre_ratio_thriller_crime,w1_3_genre_watch_time_thriller_crime,0.970394683973626,0.970394683973626,>=0.95
all_numeric,w1_3_genre_ratio_action_adventure,w1_3_genre_session_count_action_adventure,0.9661607129776058,0.9661607129776058,>=0.95
all_numeric,w1_3_genre_ratio_thriller_crime,w1_3_genre_session_count_thriller_crime,0.9560758608166423,0.9560758608166423,>=0.95
all_numeric,w1_3_genre_watch_time_drama,w1_3_genre_session_count_drama,0.9501485993214424,0.9501485993214424,>=0.95
all_numeric,w1_3_short_watch_count_le5,w1_3_short_watch_time_le5,0.947957996246504,0.947957996246504,>=0.90
all_numeric,w1_3_genre_ratio_drama,w1_3_genre_watch_time_drama,0.941008311188412,0.941008311188412,>=0.90
all_numeric,w1_3_genre_covered_watch_time,w1_3_top_genre_watch_time,0.9378441038965367,0.9378441038965367,>=0.90
all_numeric,w1_3_total_watch_time,w1_3_top_genre_watch_time,0.9378441038965367,0.9378441038965367,>=0.90
all_numeric,w1_3_genre_ratio_drama,w1_3_genre_session_count_drama,0.9190169613168104,0.9190169613168104,>=0.90
all_numeric,w1_3_unique_contents,w1_3_genre_unique_count,0.9188945848561607,0.9188945848561607,>=0.90
all_numeric,w1_3_total_sessions,w1_3_unique_contents,0.9128939889056547,0.9128939889056547,>=0.90
all_numeric,w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,>=0.90
all_numeric,w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,>=0.90
all_numeric,w1_3_week3_watch_time,w1_3_week3_sessions,0.9076505546274519,0.9076505546274519,>=0.90
all_numeric,w1_3_genre_unique_count,w1_3_genre_entropy,0.9048550196365237,0.9048550196365237,>=0.90
all_numeric,w1_3_total_watch_time,w1_3_max_daily_watch_time,0.9034929531216773,0.9034929531216773,>=0.90
all_numeric,w1_3_max_daily_watch_time,w1_3_genre_covered_watch_time,0.9034929531216773,0.9034929531216773,>=0.90
all_numeric,w1_3_max_daily_watch_time,w1_3_top_genre_watch_time,0.8906120536850269,0.8906120536850269,>=0.80
all_numeric,w1_3_total_sessions,w1_3_unique_watch_days,0.886020987043302,0.886020987043302,>=0.80
all_numeric,w1_3_one_minute_watch_count,w1_3_short_watch_count_le5,0.879488392856961,0.879488392856961,>=0.80
all_numeric,w1_3_unique_contents,w1_3_genre_entropy,0.8389781961226164,0.8389781961226164,>=0.80
all_numeric,w1_3_week2_watch_time,w1_3_week2_ratio,0.8333012495260882,0.8333012495260882,>=0.80
all_numeric,w1_3_week3_watch_time,w1_3_week3_ratio,0.8271875852973772,0.8271875852973772,>=0.80
all_numeric,w1_3_unique_watch_days,w1_3_active_span_days,0.8261357459579092,0.8261357459579092,>=0.80
all_numeric,w1_3_total_sessions,w1_3_genre_unique_count,0.825931857471579,0.825931857471579,>=0.80
all_numeric,w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,>=0.80
all_numeric,w1_3_week1_watch_time,w1_3_week1_ratio,0.8184741589528722,0.8184741589528722,>=0.80
all_numeric,w1_3_week2_sessions,w1_3_week2_ratio,0.8095668864979184,0.8095668864979184,>=0.80
all_numeric,w1_3_total_watch_time,w1_3_total_sessions,0.8081640829683925,0.8081640829683925,>=0.80
all_numeric,w1_3_total_sessions,w1_3_genre_covered_watch_time,0.8081640829683925,0.8081640829683925,>=0.80
all_numeric,w1_3_week3_sessions,w1_3_week3_ratio,0.8004359149136223,0.8004359149136223,>=0.80
usage_only,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,-1.0,1.0,>=0.95
usage_only,w1_3_short_watch_count_le5,w1_3_short_watch_time_le5,0.947957996246504,0.947957996246504,>=0.90
usage_only,w1_3_total_sessions,w1_3_unique_contents,0.9128939889056547,0.9128939889056547,>=0.90
usage_only,w1_3_week2_watch_time,w1_3_week2_sessions,0.9116551164522333,0.9116551164522333,>=0.90
usage_only,w1_3_week1_watch_time,w1_3_week1_sessions,0.9091318093175785,0.9091318093175785,>=0.90
usage_only,w1_3_week3_watch_time,w1_3_week3_sessions,0.9076505546274519,0.9076505546274519,>=0.90
usage_only,w1_3_total_watch_time,w1_3_max_daily_watch_time,0.9034929531216773,0.9034929531216773,>=0.90
usage_only,w1_3_total_sessions,w1_3_unique_watch_days,0.886020987043302,0.886020987043302,>=0.80
usage_only,w1_3_one_minute_watch_count,w1_3_short_watch_count_le5,0.879488392856961,0.879488392856961,>=0.80
usage_only,w1_3_week2_watch_time,w1_3_week2_ratio,0.8333012495260882,0.8333012495260882,>=0.80
usage_only,w1_3_week3_watch_time,w1_3_week3_ratio,0.8271875852973772,0.8271875852973772,>=0.80
usage_only,w1_3_unique_watch_days,w1_3_active_span_days,0.8261357459579092,0.8261357459579092,>=0.80
usage_only,w1_3_unique_contents,w1_3_unique_watch_days,0.8227736517847679,0.8227736517847679,>=0.80
usage_only,w1_3_week1_watch_time,w1_3_week1_ratio,0.8184741589528722,0.8184741589528722,>=0.80
usage_only,w1_3_week2_sessions,w1_3_week2_ratio,0.8095668864979184,0.8095668864979184,>=0.80
usage_only,w1_3_total_watch_time,w1_3_total_sessions,0.8081640829683925,0.8081640829683925,>=0.80
usage_only,w1_3_week3_sessions,w1_3_week3_ratio,0.8004359149136223,0.8004359149136223,>=0.80
genre_content_only,w1_3_content_has_watch_obs,w1_3_genre_covered_watch_ratio,1.0,1.0,>=0.95
genre_content_only,w1_3_content_has_watch_obs,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
genre_content_only,w1_3_genre_covered_watch_ratio,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
genre_content_only,w1_3_genre_ratio_other,w1_3_genre_watch_time_other,0.9986866425901268,0.9986866425901268,>=0.95
genre_content_only,w1_3_genre_ratio_horror,w1_3_genre_watch_time_horror,0.9984700684446486,0.9984700684446486,>=0.95
genre_content_only,w1_3_genre_watch_time_other,w1_3_genre_session_count_other,0.998282126256763,0.998282126256763,>=0.95
genre_content_only,w1_3_genre_ratio_other,w1_3_genre_session_count_other,0.99800523458921,0.99800523458921,>=0.95
genre_content_only,w1_3_genre_watch_time_horror,w1_3_genre_session_count_horror,0.997845427247426,0.997845427247426,>=0.95
genre_content_only,w1_3_genre_ratio_horror,w1_3_genre_session_count_horror,0.9971872470568002,0.9971872470568002,>=0.95
genre_content_only,w1_3_genre_watch_time_historical_war,w1_3_genre_session_count_historical_war,0.9932902493444962,0.9932902493444962,>=0.95
genre_content_only,w1_3_genre_ratio_historical_war,w1_3_genre_watch_time_historical_war,0.9928902459805179,0.9928902459805179,>=0.95
genre_content_only,w1_3_genre_watch_time_animation_family,w1_3_genre_session_count_animation_family,0.9920258729369376,0.9920258729369376,>=0.95
genre_content_only,w1_3_genre_ratio_historical_war,w1_3_genre_session_count_historical_war,0.989411141899256,0.989411141899256,>=0.95
genre_content_only,w1_3_genre_ratio_animation_family,w1_3_genre_watch_time_animation_family,0.988497864923955,0.988497864923955,>=0.95
genre_content_only,w1_3_genre_ratio_animation_family,w1_3_genre_session_count_animation_family,0.9857948649597515,0.9857948649597515,>=0.95
genre_content_only,w1_3_genre_watch_time_sf_fantasy,w1_3_genre_session_count_sf_fantasy,0.9856177278051887,0.9856177278051887,>=0.95
genre_content_only,w1_3_genre_ratio_sf_fantasy,w1_3_genre_watch_time_sf_fantasy,0.9836356012409996,0.9836356012409996,>=0.95
genre_content_only,w1_3_genre_ratio_romance,w1_3_genre_watch_time_romance,0.9819575356669556,0.9819575356669556,>=0.95
genre_content_only,w1_3_genre_ratio_comedy,w1_3_genre_watch_time_comedy,0.9811629816513412,0.9811629816513412,>=0.95
genre_content_only,w1_3_genre_watch_time_romance,w1_3_genre_session_count_romance,0.9808489840657063,0.9808489840657063,>=0.95
genre_content_only,w1_3_genre_watch_time_comedy,w1_3_genre_session_count_comedy,0.9802974142430296,0.9802974142430296,>=0.95
genre_content_only,w1_3_genre_watch_time_action_adventure,w1_3_genre_session_count_action_adventure,0.9784843605595377,0.9784843605595377,>=0.95
genre_content_only,w1_3_genre_ratio_action_adventure,w1_3_genre_watch_time_action_adventure,0.9776106811390856,0.9776106811390856,>=0.95
genre_content_only,w1_3_genre_ratio_sf_fantasy,w1_3_genre_session_count_sf_fantasy,0.9753267918317444,0.9753267918317444,>=0.95
genre_content_only,w1_3_genre_watch_time_thriller_crime,w1_3_genre_session_count_thriller_crime,0.9744609999018112,0.9744609999018112,>=0.95
genre_content_only,w1_3_genre_ratio_romance,w1_3_genre_session_count_romance,0.9731616238804957,0.9731616238804957,>=0.95
genre_content_only,w1_3_genre_ratio_comedy,w1_3_genre_session_count_comedy,0.9713659614918371,0.9713659614918371,>=0.95
