dataset_scope,fold,train_row_count,valid_row_count,train_repurchase_rate,valid_repurchase_rate,train_unique_USER_KEY_count,valid_unique_USER_KEY_count,group_overlap_count_between_train_valid,valid_promotion_rate,fold_valid_class_has_both_classes,status,warning
overall_without_promotion,1,18463,4616,0.7173807073606673,0.7175043327556326,18427,4605,0,0.512998266897747,True,PASS,
overall_without_promotion,2,18464,4615,0.717396013864818,0.7174431202600217,18426,4606,0,0.5250270855904658,True,PASS,
overall_without_promotion,3,18464,4615,0.717396013864818,0.7174431202600217,18426,4606,0,0.5011917659804984,True,PASS,
overall_without_promotion,4,18461,4618,0.7174584258707546,0.7171935902988307,18424,4608,0,0.5181896925075791,True,PASS,
overall_without_promotion,5,18464,4615,0.717396013864818,0.7174431202600217,18425,4607,0,0.5215601300108342,True,PASS,
overall_with_promotion,1,18463,4616,0.7173807073606673,0.7175043327556326,18427,4605,0,0.512998266897747,True,PASS,
overall_with_promotion,2,18464,4615,0.717396013864818,0.7174431202600217,18426,4606,0,0.5250270855904658,True,PASS,
overall_with_promotion,3,18464,4615,0.717396013864818,0.7174431202600217,18426,4606,0,0.5011917659804984,True,PASS,
overall_with_promotion,4,18461,4618,0.7174584258707546,0.7171935902988307,18424,4608,0,0.5181896925075791,True,PASS,
overall_with_promotion,5,18464,4615,0.717396013864818,0.7174431202600217,18425,4607,0,0.5215601300108342,True,PASS,
promotion_only,1,9523,2381,0.6752073926283734,0.6749265014699706,9522,2381,0,1.0,True,PASS,
promotion_only,2,9522,2382,0.6751732829237556,0.6750629722921915,9522,2381,0,1.0,True,PASS,
promotion_only,3,9524,2380,0.6751364972700546,0.6752100840336135,9523,2380,0,1.0,True,PASS,
promotion_only,4,9523,2381,0.6751023837026148,0.6753464930701386,9522,2381,0,1.0,True,PASS,
promotion_only,5,9524,2380,0.6751364972700546,0.6752100840336135,9523,2380,0,1.0,True,PASS,
nonpromotion_only,1,8941,2234,0.7624426797897327,0.7623097582811101,8911,2226,0,0.0,True,PASS,
nonpromotion_only,2,8939,2236,0.7623895290300928,0.7625223613595706,8909,2228,0,0.0,True,PASS,
nonpromotion_only,3,8941,2234,0.7624426797897327,0.7623097582811101,8909,2228,0,0.0,True,PASS,
nonpromotion_only,4,8939,2236,0.7623895290300928,0.7625223613595706,8910,2227,0,0.0,True,PASS,
nonpromotion_only,5,8940,2235,0.7624161073825504,0.7624161073825504,8909,2228,0,0.0,True,PASS,
