check_name,status,value,notes,actual_model_output_folder,actual_figure_output_folder
repo_root_checked,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
repo_root_matches_expected,PASS,C:/Code/ott-churn-prediction,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
all_required_input_files_exist,PASS,21,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
detected_09b_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
detected_10_output_folder,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
primary_modeling_table_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
primary_main_cohort_row_count_is_23079,PASS,23079,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
conservative_feature_count_is_22,PASS,22,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
target_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
split_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
group_key_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513
