check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC root exists,True,
notebook_folder_exists,PASS,notebook folder exists,True,
result_folder_exists,PASS,result folder exists,True,
hotfix_output_folder_exists,PASS,hotfix output folder exists,True,
handoff_folder_exists,PASS,handoff folder exists,True,
existing_oof_inventory_created,PASS,inventory exists,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_existing_oof_inventory_before_hotfix.csv,
existing_oof_artifact_validation_created,PASS,artifact validation exists,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_existing_oof_artifact_validation.csv,
input_validation_created,PASS,input validation exists,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_oof_hotfix_input_validation.csv,
source_fingerprint_created,PASS,fingerprint exists,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_source_fingerprint_before_after.csv,
model_config_extraction_created,PASS,config extraction exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,
feature_policy_check_created,PASS,feature policy exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_feature_policy_check.csv,
split_policy_check_created,PASS,split policy exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_split_policy_check.csv,
oof_long_created,PASS,long exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_long.csv,
oof_wide_created,PASS,wide exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,
oof_wide_promo0_created,PASS,promo0 wide exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo0.csv,
oof_wide_promo1_created,PASS,promo1 wide exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo1.csv,
oof_long_rows_match_expected,PASS,46194,46194,
oof_wide_rows_match_expected,PASS,23097,23097,
churn_risk_equals_1_minus_repurchase_score,PASS,exact within tolerance,True,
high_risk_flags_are_percentile_based,PASS,top10/top20/top30 percentile,"['top10', 'top20', 'top30'] ['percentile_rank']",
metric_summary_created,PASS,metric summary exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_metric_summary.csv,
metric_summary_includes_f1_precision_recall_brier,PASS,aux metrics included,promo_scope|model_family|rows|positives|positive_rate|roc_auc|pr_auc|f1_threshold_0_5|precision_threshold_0_5|recall_threshold_0_5|brier_score|primary_metric|metric_status|notes,
fold_distribution_check_created,PASS,fold distribution exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_fold_distribution_check.csv,
gb_lr_overlap_created,PASS,overlap exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_gb_lr_high_risk_overlap.csv,
gb_lr_overlap_uses_top10_top20_top30,PASS,top10/top20/top30 only,"['top10', 'top20', 'top30'] ['percentile_rank']",
readiness_table_created,PASS,readiness exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,
shap_allowed_now_is_no,PASS,no,no,
segmentation_allowed_now_is_no,PASS,no,no,
notebook_created_or_checked,PASS,hotfix notebook exists,PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_hotfix_260520.ipynb,
notebook_executed,PASS,executed notebook exists,PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_hotfix_260520_executed.ipynb,
executed_notebook_saved,PASS,executed notebook non-empty,3572,
readme_created,PASS,README exists,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\README.md,
note_md_append_completed,PASS,note appended,PUBLIC\note.md,
review_zip_includes_oof_long,PASS,long in zip,PUBLIC/results/15_oof_score_or_sensitivity_260520/four_model_oof_scores_hotfix_260520/15_oof_score_long.csv,
review_zip_includes_oof_wide,PASS,wide in zip,PUBLIC/results/15_oof_score_or_sensitivity_260520/four_model_oof_scores_hotfix_260520/15_oof_score_wide.csv,
review_zip_includes_executed_notebook,PASS,executed notebook in zip,PUBLIC/notebooks/15_oof_score_or_sensitivity_260520/15_four_model_oof_score_generation_hotfix_260520_executed.ipynb,
review_zip_includes_note_md,PASS,note in zip,PUBLIC/note.md,
review_zip_includes_zip_inventory,PASS,zip inventory in zip,PUBLIC/handoff/PUBLIC_15_oof_score_hotfix_260520/PUBLIC_15_oof_score_hotfix_zip_inventory.csv,
no_optuna_performed,PASS,no Optuna,No Optuna or hyperparameter search called by hotfix notebook,
no_shap_performed,PASS,no SHAP,No SHAP command or library call performed,
no_segmentation_performed,PASS,no segmentation,No segmentation output generated,
no_raw_source_modified,PASS,no raw source modification,Only PUBLIC hotfix outputs and note.md were written,
no_park_ingyeom_modified,PASS,no park.ingyeom writes,No park.ingyeom path written,
review_zip_created,PASS,zip exists,PUBLIC\zip\PUBLIC_15_oof_score_hotfix_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory exists,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\PUBLIC_15_oof_score_hotfix_zip_inventory.csv,Zip inventory has a self-reference size limitation but is included in the zip.
