relative_path,item_type,size_bytes,modified_time,detected_role,notes
PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_260520.ipynb,file,13460,2026-05-20T20:44:56,notebook,
PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_260520_executed.ipynb,file,25682,2026-05-20T20:46:31,notebook_executed,
PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\15_four_model_oof_score_generation_hotfix_260520.ipynb,file,1035,2026-05-20T21:27:44,notebook,
PUBLIC\notebooks\15_oof_score_or_sensitivity_260520\README.md,file,1393,2026-05-20T16:08:10,unknown,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores,directory,,2026-05-20T20:50:45,directory,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_gb_lr_high_risk_overlap.csv,file,280,2026-05-20T20:46:30,gb_lr_overlap,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_model_config_extraction.csv,file,1703,2026-05-20T20:30:54,csv_artifact,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_feature_policy_check.csv,file,927,2026-05-20T20:33:01,feature_policy_check,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_fold_distribution_check.csv,file,1271,2026-05-20T20:46:30,fold_distribution,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_metric_summary.csv,file,968,2026-05-20T20:46:30,metric_summary,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_readiness_for_shap_segmentation.csv,file,445,2026-05-20T20:46:30,readiness,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_long.csv,file,8258221,2026-05-20T20:46:30,oof_long,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo0.csv,file,1964936,2026-05-20T20:46:30,oof_wide_promo0,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo1.csv,file,2089906,2026-05-20T20:46:30,oof_wide_promo1,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_split_policy_check.csv,file,1257,2026-05-20T20:33:11,split_policy_check,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\README.md,file,3778,2026-05-20T20:50:45,unknown,
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520,directory,,2026-05-20T21:23:06,directory,
