item_id,issue,before_summary,after_summary,status,source_artifact,note
01,AARRR Needs_user_review 오류,payment_is_*를 Needs_user_review로 표기,"age/gender/auth proxy 4개로 정정하고 payment_is_*는 07x Acquisition_context, 15x removal risk로 분리",FIXED,07x_feature_mapping_master.csv,
02,cold_start 변수명,_fixed 없는 변수명을 최종 피처처럼 표기,is_cold_start_3d_fixed / is_cold_start_7d_fixed 기준으로 설명,FIXED,06x_model_feature_lists.csv,
03,watch_time 변수명,watch_time_w1/w2/w3 축약 표기,watch_time_min_w1/w2/w3 실제 safe name 기준으로 수정,FIXED,06x_model_feature_lists.csv,
04,14x/15x 혼동,14x AUC를 no-payment 76/75로 표기,14x expanded_feature_set와 15x expanded_no_payment_device를 분리,FIXED,14x_model_summary_by_scope.csv;15x_model_summary_by_scope.csv,
05,최종 표현 과잉,최종 모델/최종 AUC/최종 채택,"candidate AUC, diagnostic score, not final model selection wording으로 완화",FIXED,14x_safe_unsafe_wording.csv;15x_safe_unsafe_wording.csv,
06,SHAP is_promotion 순위,is_promotion 3위,"개별 feature 2위, acquisition_split_key family 3위로 정정",FIXED,16x_SHAP_global_importance.csv;16x_SHAP_family_importance.csv,
07,segmentation rule 설명,행동 rule only처럼 읽힘,churn_risk percentile + day0~20 behavior flag 결합 및 우선순위 배정 설명 추가,FIXED,17x_representative_segment_rules.csv,
08,AARRR Revenue/Referral,누락,Revenue target proxy와 Referral not observed 카드/테이블 행 추가,FIXED,07x_AARRR_summary_by_feature_set.csv,
09,duplicate 48/26,숫자 충돌처럼 보임,필터 전/후 기준 차이로 설명,FIXED,01_user_key_duplicate_audit.csv;06x_row_policy_audit.csv,
10,source artifact,단계명만 표기,주요 수치에 source details 추가,FIXED,core source csvs,
11,Noto Sans KR,font fallback 누락,CSS font-family에 Noto Sans KR 추가,FIXED,project_guide_v2.html,
12,Chart.js dark mode,toggle 후 색상 미갱신 가능,chart array와 applyThemeToCharts() 구현,FIXED,project_guide_v2.html,
13,변수명 한국어 설명,영어명 단독 다수,주요 변수와 flag에 괄호 설명 추가,FIXED,06x/16x/17x core CSV,
14,세그먼트 상세 해설,카드 중심 짧은 설명,"세그먼트 배정 원리, 우선순위, 7개 segment 쉬운 설명 보강",FIXED,17x_segment_summary.csv;17x_representative_segment_rules.csv,
15,Flag dictionary,누락,17x_internal_multiflag_definitions 기준 dictionary 추가,FIXED,17x_internal_multiflag_definitions.csv,
16,시각화 보강,기존 차트 수 제한,"row waterfall, feature flow, AARRR, cohort, AUC, SHAP, segment pie/weekly 패턴 등 추가",FIXED,summary/profile CSVs,
17,score source 선택 이유,15x LightGBM score 사용 사실만 있고 이유 부족,16x SHAP 기준과 17x segmentation score 기준을 맞추기 위한 선택임을 추가,FIXED,17x_score_source_selection.csv;17x_segment_SHAP_evidence_link.csv,
18,payment_is 제거 이유,해석 리스크만 짧게 언급,"결제기기/시청기기 차이, 결제자와 시청자 불일치 가능성, near-neutral 성능 변화, SHAP/segment 해석 리스크를 명시",FIXED,15x_payment_removed_vs_original_comparison.csv;15x_recommendation_for_canonical_feature_contract.csv,
19,발표 방어 QA,기초 경고 중심,"row 단위 반복을 늘리지 않고 score source, payment proxy, SHAP, threshold, segment policy 중심 심화 QA 추가",FIXED,18x_mentor_QA_defense.csv;18x_safe_unsafe_wording.csv;18x_open_risks.csv,
