file_path,file_role,sha256,mtime,size_bytes,status
park.ingyeom/project_guide.html,original_html,2be0e5eb4347e9117150938c8dadb22eafe70a6dc481eb06d845b0b8769dac6e,2026-05-18T18:21:44,74587,FOUND
park.ingyeom/project_guide_v2.html,revised_html,e070098d18a13da91131d73d80704dfc7eec019501e021b179557a1931569a20,2026-05-19T00:22:27,97396,FOUND
park.ingyeom/reports/audits/06x_dataset_generation_260515/06x_row_policy_audit.csv,core_csv,00b1ae4aa42ba6c85653d23cd3e324e4bc572cf888f3f9b9051ef500da669507,2026-05-15T21:58:36,215,FOUND
park.ingyeom/reports/audits/06x_dataset_generation_260515/06x_dataset_comparison_summary.csv,core_csv,504c2871615e113987cd8889abaf37fe975cf13176448f8997aea1493b831a45,2026-05-15T21:58:38,286,FOUND
park.ingyeom/reports/audits/06x_dataset_generation_260515/06x_model_feature_lists.csv,core_csv,ca01ba97fa6aa12f728808cfbc230a462f720810bd7b56e7484c3258c786f370,2026-05-15T21:58:38,12902,FOUND
park.ingyeom/reports/audits/07x_feature_mapping_AARRR_260515/07x_feature_mapping_master.csv,core_csv,bf645d4750d45e8787e8ab79112ae890c580f9758802e329b66fe26a2caa06b7,2026-05-15T23:51:08,38317,FOUND
park.ingyeom/reports/audits/07x_feature_mapping_AARRR_260515/07x_AARRR_summary_by_feature_set.csv,core_csv,786e86d742dbe4d6de2087b0cca687b006ea30830c8e6817cc43f04307e55895,2026-05-15T23:51:08,2276,FOUND
park.ingyeom/reports/audits/08x_promotion_nonpromotion_EDA_260516/08x_promotion_target_summary.csv,core_csv,7ff33472f0ba48e7de88a8f8e0578dbe838096e852c8735bb1ca227db2538831,2026-05-16T00:26:48,1119,FOUND
park.ingyeom/reports/audits/09x_promotion_repurchase_2x2_EDA_260516/09x_2x2_cohort_summary.csv,core_csv,7629a4772b58eb20f0c6ec07992419f70b31ee18a1d48615676c62d4ffbea91e,2026-05-16T01:35:21,1609,FOUND
park.ingyeom/reports/models/14x_lightweight_candidate_tuning_260516/14x_model_summary_by_scope.csv,core_csv,da905bc525313626e0ebe05917cf1a451948aeccca2ebdf10246e33ad2f56739,2026-05-16T14:45:26,5299,FOUND
park.ingyeom/reports/models/14x_lightweight_candidate_tuning_260516/14x_vs_12x_comparison.csv,optional_core_csv,3d54257c8e9e382e6347b7e05bbe4aae6561ad344d3c0ed977f82a07f3d14971,2026-05-16T14:45:30,6170,FOUND
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,core_csv,aff5e1c4766d2930f3836eb583b5458e6c3e7047910f49a65b1236da47215b8b,2026-05-18T01:43:08,4547,FOUND
