feature,bin,n,feature_min,feature_max,repurchase_rate,churn_rate,single_feature_auc_raw_repurchase,single_feature_auc_oriented,status,blocked_reason,monotonic_relation_flag,near_deterministic_flag
w1_3_week3_watch_time,"(-0.001, 1.0]",1953,0.0,1.0,0.536610343061956,0.463389656938044,0.7152481804752671,0.7152481804752671,RUN,,Y,N
w1_3_week3_watch_time,"(1.0, 80.0]",914,2.0,80.0,0.725382932166302,0.27461706783369805,0.7152481804752671,0.7152481804752671,RUN,,Y,N
w1_3_week3_watch_time,"(80.0, 175.8]",954,81.0,175.0,0.8417190775681341,0.15828092243186584,0.7152481804752671,0.7152481804752671,RUN,,Y,N
w1_3_week3_watch_time,"(175.8, 2466.0]",956,176.0,2466.0,0.9330543933054394,0.06694560669456066,0.7152481804752671,0.7152481804752671,RUN,,Y,N
w1_3_w2_minus_w1_watch_time,"(-2408.001, -98.0]",960,-2408.0,-98.0,0.6885416666666667,0.31145833333333334,0.5993246568354725,0.5993246568354725,RUN,,N,N
w1_3_w2_minus_w1_watch_time,"(-98.0, -3.0]",953,-97.0,-3.0,0.6190975865687304,0.3809024134312697,0.5993246568354725,0.5993246568354725,RUN,,N,N
w1_3_w2_minus_w1_watch_time,"(-3.0, 0.0]",971,-2.0,0.0,0.6642636457260556,0.3357363542739444,0.5993246568354725,0.5993246568354725,RUN,,N,N
w1_3_w2_minus_w1_watch_time,"(0.0, 98.0]",940,1.0,98.0,0.7053191489361702,0.2946808510638298,0.5993246568354725,0.5993246568354725,RUN,,N,N
w1_3_w2_minus_w1_watch_time,"(98.0, 2957.0]",953,99.0,2957.0,0.8887722980062959,0.11122770199370409,0.5993246568354725,0.5993246568354725,RUN,,N,N
w1_3_week1_ratio,"(-0.001, 0.0208]",1911,0.0,0.0208,0.7482993197278912,0.25170068027210885,0.38065682348008173,0.6193431765199182,RUN,,N,N
w1_3_week1_ratio,"(0.0208, 0.343]",955,0.020833,0.343115,0.8701570680628272,0.12984293193717278,0.38065682348008173,0.6193431765199182,RUN,,N,N
w1_3_week1_ratio,"(0.343, 0.667]",958,0.343348,0.666667,0.7306889352818372,0.26931106471816285,0.38065682348008173,0.6193431765199182,RUN,,N,N
w1_3_week1_ratio,"(0.667, 1.0]",953,0.667492,1.0,0.4669464847848898,0.5330535152151101,0.38065682348008173,0.6193431765199182,RUN,,N,N
price,"(7.689, 100.0]",3257,7.69,100.0,0.6938900828983727,0.30610991710162727,0.5117500844821405,0.5117500844821405,RUN,,Y,N
price,"(100.0, 7900.0]",960,3350.0,7900.0,0.7364583333333333,0.2635416666666667,0.5117500844821405,0.5117500844821405,RUN,,Y,N
price,"(7900.0, 13900.0]",560,10900.0,13900.0,0.7839285714285714,0.21607142857142858,0.5117500844821405,0.5117500844821405,RUN,,Y,N
w1_3_first_watch_rel_day,"(-0.001, 2.0]",1813,0.0,2.0,0.7319360176503034,0.26806398234969664,0.48374441550565295,0.516255584494347,RUN,,N,N
w1_3_first_watch_rel_day,"(2.0, 5.0]",968,3.0,5.0,0.6621900826446281,0.3378099173553719,0.48374441550565295,0.516255584494347,RUN,,N,N
w1_3_first_watch_rel_day,"(5.0, 10.0]",865,6.0,10.0,0.7479768786127168,0.2520231213872832,0.48374441550565295,0.516255584494347,RUN,,N,N
w1_3_first_watch_rel_day,"(10.0, 20.0]",823,11.0,20.0,0.6962332928311057,0.3037667071688943,0.48374441550565295,0.516255584494347,RUN,,N,N
w1_3_genre_ratio_thriller_crime,"(-0.001, 0.226]",3821,0.0,0.225,0.7330541742999215,0.2669458257000785,0.4775382439621503,0.5224617560378497,RUN,,Y,N
w1_3_genre_ratio_thriller_crime,"(0.226, 1.0]",956,0.225702,1.0,0.6328451882845189,0.36715481171548114,0.4775382439621503,0.5224617560378497,RUN,,Y,N
w1_3_genre_ratio_animation_family,"(-0.001, 0.0637]",3821,0.0,0.062992,0.6833289714734363,0.3166710285265637,0.5706329586138161,0.5706329586138161,RUN,,Y,N
w1_3_genre_ratio_animation_family,"(0.0637, 1.0]",956,0.06383,1.0,0.8315899581589958,0.1684100418410042,0.5706329586138161,0.5706329586138161,RUN,,Y,N
w1_3_genre_ratio_drama,"(-0.001, 0.0286]",2866,0.0,0.028571,0.6461967899511515,0.35380321004884857,0.6070975491399098,0.6070975491399098,RUN,,N,N
w1_3_genre_ratio_drama,"(0.0286, 0.326]",955,0.028662,0.326087,0.831413612565445,0.16858638743455498,0.6070975491399098,0.6070975491399098,RUN,,N,N
w1_3_genre_ratio_drama,"(0.326, 1.0]",956,0.326271,1.0,0.7949790794979079,0.20502092050209206,0.6070975491399098,0.6070975491399098,RUN,,N,N
w1_3_genre_session_count_drama,"(-0.001, 1.0]",3527,0.0,1.0,0.6611851431811738,0.33881485681882617,0.6301366533422591,0.6301366533422591,RUN,,Y,N
w1_3_genre_session_count_drama,"(1.0, 2.0]",534,2.0,2.0,0.8352059925093633,0.1647940074906367,0.6301366533422591,0.6301366533422591,RUN,,Y,N
w1_3_genre_session_count_drama,"(2.0, 17.0]",716,3.0,17.0,0.8770949720670391,0.12290502793296089,0.6301366533422591,0.6301366533422591,RUN,,Y,N
w1_3_genre_ratio_action_adventure,"(-0.001, 0.142]",3821,0.0,0.141199,0.7246794032975661,0.2753205967024339,0.48373627780897227,0.5162637221910278,RUN,,Y,N
w1_3_genre_ratio_action_adventure,"(0.142, 1.0]",956,0.14202,1.0,0.6663179916317992,0.33368200836820083,0.48373627780897227,0.5162637221910278,RUN,,Y,N
w1_3_has_watch_obs,"(-0.001, 1.0]",4777,0.0,1.0,0.7129997906635964,0.2870002093364036,0.5008204083153555,0.5008204083153555,RUN,,N,N
w1_3_no_watch_obs_flag,"(-0.001, 1.0]",4777,0.0,1.0,0.7129997906635964,0.2870002093364036,0.4991795916846446,0.5008204083153553,RUN,,N,N
