column_name,leakage_risk_level,leakage_type,why_suspicious,can_use_in_model_now,required_resolution_before_modeling,recommended_action
USER_KEY,critical,id_leakage,"Identifier can memorize users/events. identifier; not a unique-user analysis unit. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",no,never_use_as_model_feature,exclude now
product_code,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
price,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
billing_method,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
max_screen,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
is_promotion,low,not_leakage_but_review,"Included for explicit conservative review. top-level split variable; use promotion rows/events wording. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",review,overall_model_comparison_only_if_used,exclude now
is_churn_prevented,high,target_proxy,"Churn/cancel/prevention wording may encode outcome/intervention. outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.",no,must_resolve_before_modeling_or_drop,exclude now
payment_device,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
is_user_verified,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
gender,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
