feature_set_name,column_name,include_status,reason,required_resolution_if_review
overall_model_candidate_with_promotion,USER_KEY,exclude,"identifier; not a unique-user analysis unit. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,product_code,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,price,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,billing_method,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,max_screen,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,is_promotion,include,"top-level split variable; use promotion rows/events wording. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_churn_prevented,exclude,"outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,payment_device,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,is_user_verified,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,gender,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,age,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,reg_date,exclude,"subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,reg_hour,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,end_date,exclude,"scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_repurchase,exclude,"target; positive class means repurchase. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_standard,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,is_premium,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,age_group,review,"membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_with_promotion,is_female,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,is_male,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,reg_is_weekend,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,reg_hour_morning,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,reg_hour_afternoon,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,reg_hour_evening,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,reg_hour_night,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
