check_name,status,detail
source_file_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\data\(광일)Membership_v2_with_derived_features.csv
source_file_inside_park_ingyeom,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\data\(광일)Membership_v2_with_derived_features.csv
previous_01_folder_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\01_data_contract_260513
previous_02_folder_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\02_target_score_orientation_260513
previous_03_folder_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\03_observation_window_policy_260513
previous_04_folder_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\04_promotion_split_260513
notebook_inside_park_ingyeom,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\notebook\05_column_role_leakage_timing_audit_260513\05_column_role_leakage_timing_audit_260513.ipynb
output_folder_inside_park_ingyeom,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\05_column_role_leakage_timing_audit_260513
no_files_written_outside_park_ingyeom,PASS,"Writes are OUT, NOTE, ZIP inside park.ingyeom."
no_py_script_created,PASS,No .py script created.
no_existing_notebook_modified,PASS,Only new step notebook path used.
no_source_csv_modified,PASS,Source mtime unchanged.
no_modeling_performed,PASS,Scope guardrail.
no_predictions_created,PASS,Scope guardrail.
no_shap_performed,PASS,Scope guardrail.
no_optuna_performed,PASS,Scope guardrail.
no_feature_engineering_performed,PASS,Scope guardrail.
no_rows_excluded,PASS,Scope guardrail.
no_duplicate_rows_removed,PASS,Scope guardrail.
no_model_ready_dataset_created,PASS,Scope guardrail.
column_inventory_has_91_columns,PASS,found=91
column_role_dictionary_has_91_columns,PASS,found=91
timing_audit_has_91_columns,PASS,found=91
is_repurchase_marked_target,PASS,
USER_KEY_marked_id,PASS,
is_promotion_marked_split,PASS,
is_promotion_forbidden_in_groupwise_models,PASS,
explicit_w4_columns_forbidden_if_present,PASS,w4_present=False
total_usage_columns_review_if_present,PASS,total_cols=2
recency_review_if_present,PASS,
is_churn_prevented_review_or_leakage_if_present,PASS,
end_date_or_duration_review_if_present,PASS,
content_window_ambiguous_columns_review_if_present,PASS,
review_required_columns_created,PASS,05_review_required_columns.csv
forbidden_drop_columns_created,PASS,05_forbidden_drop_columns.csv
conservative_safe_candidate_columns_created,PASS,05_conservative_safe_candidate_columns.csv
baseline_ladder_policy_created,PASS,05_baseline_ladder_feature_family_policy.csv
recommended_feature_set_contracts_created,PASS,05_recommended_feature_set_contracts.csv
safe_unsafe_wording_created,PASS,05_safe_unsafe_wording.csv
open_risks_created,PASS,05_open_risks_for_next_steps.csv
readme_created,PASS,
note_md_updated,PASS,
review_zip_created,PASS,"Created below, then overwritten after notebook execution to include executed notebook."
notebook_saved_with_outputs,PASS,Executed with nbconvert --inplace and verified after execution.
required_output_exists__05_input_consistency_check.csv,PASS,05_input_consistency_check.csv
required_output_exists__05_full_column_inventory.csv,PASS,05_full_column_inventory.csv
required_output_exists__05_column_role_dictionary.csv,PASS,05_column_role_dictionary.csv
required_output_exists__05_timing_audit.csv,PASS,05_timing_audit.csv
required_output_exists__05_leakage_suspect_audit.csv,PASS,05_leakage_suspect_audit.csv
required_output_exists__05_human_review_required_columns.csv,PASS,05_human_review_required_columns.csv
required_output_exists__05_baseline_ladder_feature_family_policy.csv,PASS,05_baseline_ladder_feature_family_policy.csv
required_output_exists__05_recommended_feature_set_contracts.csv,PASS,05_recommended_feature_set_contracts.csv
required_output_exists__05_forbidden_drop_columns.csv,PASS,05_forbidden_drop_columns.csv
required_output_exists__05_review_required_columns.csv,PASS,05_review_required_columns.csv
required_output_exists__05_conservative_safe_candidate_columns.csv,PASS,05_conservative_safe_candidate_columns.csv
required_output_exists__05_redundancy_and_naming_risk_audit.csv,PASS,05_redundancy_and_naming_risk_audit.csv
required_output_exists__05_safe_unsafe_wording.csv,PASS,05_safe_unsafe_wording.csv
required_output_exists__05_open_risks_for_next_steps.csv,PASS,05_open_risks_for_next_steps.csv
