column_name,timing_family,allowed_by_observation_window_policy,reason,evidence_from_column_name,evidence_from_previous_step,needs_human_confirmation
USER_KEY,id_target_split,no,"identifier; not a unique-user analysis unit. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",id/target/split control column,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
product_code,static_or_pre_subscription,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
price,static_or_pre_subscription,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
billing_method,static_or_pre_subscription,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
max_screen,static_or_pre_subscription,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_promotion,id_target_split,review,"top-level split variable; use promotion rows/events wording. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",id/target/split control column,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_churn_prevented,post_outcome_or_target,no,"outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.",target/outcome-like wording,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
payment_device,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_user_verified,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
gender,static_or_pre_subscription,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
age,static_or_pre_subscription,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_date,subscription_anchor_date,review,"subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.",registration anchor date,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_hour,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
end_date,all_period_ambiguous,review,"scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.",end date or duration timing unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_repurchase,id_target_split,no,"target; positive class means repurchase. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",id/target/split control column,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
