risk_type,column_name,related_columns,reason,recommended_action
binary_one_hot_or_related_group,is_promotion,is_repurchase; is_standard; is_premium; is_female; is_male,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_repurchase,is_promotion; is_standard; is_premium; is_female; is_male,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_standard,is_promotion; is_repurchase; is_premium; is_female; is_male,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_premium,is_promotion; is_repurchase; is_standard; is_female; is_male,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_female,is_promotion; is_repurchase; is_standard; is_premium; is_male,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_male,is_promotion; is_repurchase; is_standard; is_premium; is_female,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,reg_hour_morning,reg_hour_afternoon; reg_hour_evening; reg_hour_night,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,reg_hour_afternoon,reg_hour_morning; reg_hour_evening; reg_hour_night,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,reg_hour_evening,reg_hour_morning; reg_hour_afternoon; reg_hour_night,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,reg_hour_night,reg_hour_morning; reg_hour_afternoon; reg_hour_evening,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,payment_is_mobile,payment_is_pc; payment_is_android; payment_is_ios,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,payment_is_pc,payment_is_mobile; payment_is_android; payment_is_ios,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,payment_is_android,payment_is_mobile; payment_is_pc; payment_is_ios,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,payment_is_ios,payment_is_mobile; payment_is_pc; payment_is_android,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
unsafe_raw_name,total_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,avg_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,median_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,std_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,avg_daily_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,max_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,max_daily_watch_time(min),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
binary_one_hot_or_related_group,is_cold_start_3d,is_cold_start_7d,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_cold_start_7d,is_cold_start_3d,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
unsafe_raw_name,watch_time(min)_w1,,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,watch_time(min)_w2,,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
unsafe_raw_name,watch_time(min)_w3,,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
binary_one_hot_or_related_group,is_only_w1,is_only_w2; is_only_w3,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_only_w2,is_only_w1; is_only_w3,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
binary_one_hot_or_related_group,is_only_w3,is_only_w1; is_only_w2,binary columns share prefix; possible one-hot/redundant group,redundancy_review_later
unsafe_raw_name,old_movie_ratio(5y),,punctuation or unsafe modeling-pipeline characters,safe_alias_before_modeling_pipeline
highly_similar_column_names,is_female,is_male (0.88),"name similarity only, not correlation",family_grouping_or_redundancy_review_later
highly_similar_column_names,total_watch_time(min),avg_watch_time(min) (0.85); std_watch_time(min) (0.85); max_watch_time(min) (0.85),"name similarity only, not correlation",family_grouping_or_redundancy_review_later
highly_similar_column_names,avg_watch_time(min),median_watch_time(min) (0.83); std_watch_time(min) (0.84); avg_daily_watch_time(min) (0.86); max_watch_time(min) (0.89),"name similarity only, not correlation",family_grouping_or_redundancy_review_later
highly_similar_column_names,median_watch_time(min),std_watch_time(min) (0.83); max_watch_time(min) (0.88),"name similarity only, not correlation",family_grouping_or_redundancy_review_later
highly_similar_column_names,std_watch_time(min),max_watch_time(min) (0.84),"name similarity only, not correlation",family_grouping_or_redundancy_review_later
highly_similar_column_names,avg_daily_watch_time(min),max_daily_watch_time(min) (0.92),"name similarity only, not correlation",family_grouping_or_redundancy_review_later
