"check","status","detail"
"all_outputs_inside_park_ingyeom","PASS","all 00d outputs were written below park.ingyeom"
"raw_source_csv_not_modified","PASS","data/*.csv was not touched during cleanup rerun"
"no_delete_used","PASS","Move-Item used for archive isolation; no explicit delete command used"
"legacy_moved_to_legacy_snapshots","PASS","_legacy(260512) moved to legacy_snapshots"
"handoff_moved_to_handoff_snapshots","PASS","handoff moved to handoff_snapshots"
"pre13b_notebooks_moved","PASS","active pre13b/preliminary notebook folders remaining: 0"
"pre13b_reports_moved","PASS","non-audit active reports containers remaining: 0"
"old_review_zips_moved","PASS","old active zips remaining excluding 00d: 0"
"preliminary_legacy_reports_moved","PASS","preliminary/legacy active paths moved"
"existing_archive_standardized","PASS","existing archive folders moved into standard groups"
"active_05_14_removed","PASS","active 05-14 outputs removed"
"active_legacy_removed","PASS","legacy and handoff active roots removed"
"active_zip_old_packages_removed","PASS","old packages removed from active zip"
"manifest_created","PASS","manifest created and updated"
"active_remaining_inventory_created","PASS","active remaining inventory created"
"note_md_updated","PASS","required note.md statements present"
"README_created","PASS","README created"
"review_zip_created","PASS","review zip created and required entries verified"
"critical_fail_count_zero","PASS","critical fail count: 0"
