claim_id,claim_text_ko,claim_type,evidence_stage,evidence_file,evidence_metric,status,caution_reason,allowed_wording,forbidden_wording,presentation_location_suggestion
C001,"v2 Membership 원천 데이터는 24,074행이다.",fact,01,park.ingyeom/reports/tables/01_v2_data_overview_and_audit/01_v2_raw_file_inventory.csv,24074,safe_to_claim,파일 inventory에서 직접 확인됨.,"v2 Membership 원천 데이터는 24,074행으로 확인됐다.",예전 v1 row count를 언급하지 않는다.,Data audit
C002,"Stage 02 후 최종 retained Membership은 23,933행이다.",fact,02,park.ingyeom/reports/data/02_v2_preprocessing_policy/membership_v2_preprocessed.csv,23933,safe_to_claim,엄격 conflict와 duplicate 제외 후 행 수.,"엄격 conflict 73행과 exact duplicate extra 68행 제외 후 23,933행을 사용했다.",행 제외가 성능 향상 목적이었다고 말하지 않는다.,Preprocessing
C003,"is_repurchase는 Y=1, N=0으로 매핑한다.",fact,06,park.ingyeom/reports/data/06_v2_baseline_modeling/06_v2_best_model_config.json,"Y=1,N=0",safe_to_claim,Stage 06/07r summary 모두 확인.,"Y는 재구독, N은 비재구독 또는 이탈위험으로 해석했다.",N을 positive class로 뒤섞어 말하지 않는다.,Modeling
C004,보수 기준 w1_3 모델의 ROC AUC는 약 0.8705다.,model_result,06,park.ingyeom/reports/data/06_v2_baseline_modeling/06_v2_best_model_config.json,0.8704640371627193,safe_to_claim,w1_3 timing-defensible baseline.,초기 관측에 가까운 w1_3 보수 baseline AUC는 0.8705다.,최고 성능 모델이라고 말하지 않는다.,Modeling
C005,최고 관측 AUC는 w1_4 LGBM 약 0.9037이다.,model_result,06,park.ingyeom/reports/data/06_v2_baseline_modeling/06_v2_best_model_config.json,0.9037410062390436,claim_with_caution,w1_4 late-period model이며 optional booster.,w1_4 late-period 모델의 최고 관측 AUC는 0.9037이었다.,early-warning 최고 성능이라고 말하지 않는다.,Modeling caution
C006,Stage 06b target shuffle AUC는 near-random이었다.,model_result,06b,park.ingyeom/reports/data/06b_v2_baseline_sanity_audit/06b_sanity_audit_summary.json,0.4671643938936437,safe_to_claim,"Leakage smoke test passed, but not absolute proof.",target shuffle AUC가 near-random으로 나와 split/target leakage smoke test를 통과했다.,누수가 절대 없다고 단정하지 않는다.,Sanity audit
C007,Stage 07r에서 TRUE SHAP을 계산했다.,xai_result,07r,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json,0.51.0,safe_to_claim,Stage 07 fallback is superseded.,최종 XAI 근거는 Stage 07r TRUE SHAP이다.,Stage 07 fallback을 최종 SHAP 근거라고 말하지 않는다.,XAI
C008,"상위 SHAP feature는 week3 watch time, w2-w1 change, week1 ratio, price 등이다.",xai_result,07r,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json,top10_shap_features,safe_to_claim,"SHAP is model explanation, not causality.","TRUE SHAP 기준 주요 feature는 사용량 변화, 가격, 장르 비율이다.",해당 피처를 바꾸면 재구독이 오른다고 말하지 않는다.,XAI
C009,"feature family 중요도는 usage, genre, membership 순으로 크다.",xai_result,07r,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json,top_feature_families,safe_to_claim,Content metadata is limited.,"사용량, 장르, 멤버십 피처군이 모델 설명에서 핵심이다.",풍부한 외부 콘텐츠 메타데이터가 있었다고 말하지 않는다.,XAI
C010,최상위 이탈위험군 holdout churn rate는 약 0.785다.,segment_result,08b,park.ingyeom/reports/tables/08b_v2_segmentation_refinement/08b_final_segment_summary_holdout.csv,top_decile_high_churn_risk churn_rate,safe_to_claim,Descriptive holdout outcome.,최상위 이탈위험군은 holdout에서 높은 churn rate를 보였다.,이 군이 반드시 이탈한다고 말하지 않는다.,Segmentation
C011,최종 발표용 세그먼트는 Stage 08b의 6개다.,segment_result,08b,park.ingyeom/reports/tables/08b_v2_segmentation_refinement/08b_final_segment_summary_holdout.csv,6,safe_to_claim,Stage 08 raw exploratory segments are pruned.,최종 세그먼트는 Stage 08b에서 6개로 정리했다.,Stage 08 탐색 세그먼트를 그대로 최종이라고 말하지 않는다.,Segmentation
C012,Stage 09는 가정 기반 retained-user scenario simulation이다.,scenario_assumption,09,park.ingyeom/reports/data/09_v2_business_simulation/09_v2_business_simulation_summary.json,scenario simulation,safe_to_claim,"Not experiment, not causal proof.",Stage 09는 가정 기반 시나리오이며 실험 결과가 아니다.,비즈니스 효과가 검증됐다고 말하지 않는다.,Simulation
C013,high-risk-plus-low-engagement base scenario는 약 20.1명의 incremental retained users를 추정한다.,scenario_assumption,09,park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_portfolio_simulation_summary.csv,20.11185,claim_with_caution,Placeholder lift/reach/treatment assumptions.,명시한 가정하에서 약 20.1명의 추가 유지 가능성을 시나리오로 계산했다.,실제로 20.1명이 유지된다고 말하지 않는다.,Simulation
C014,비용과 마진 입력이 없어 ROI는 주장할 수 없다.,recommendation,09,park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_financial_assumption_status.csv,cost/margin missing,safe_to_claim,Financial inputs unavailable.,비용과 마진이 없으므로 ROI와 순가치는 주장하지 않는다.,ROI 개선이라고 말하지 않는다.,Simulation caution
C015,SHAP과 모델 결과는 인과 증거가 아니다.,recommendation,07r,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json,interpretation caution,safe_to_claim,Predictive pipeline only.,이 결과는 예측 및 설명 근거이며 인과 검증은 A/B test가 필요하다.,추천 액션이 재구독을 원인적으로 높인다고 말하지 않는다.,Final caution
