section_no,title,key_message,supporting_metric,recommended_figure_or_table,caution_sentence,source_file_path
1,Problem definition,재구독 여부를 예측하고 보수적인 리텐션 전략 후보를 만든다.,target: is_repurchase,01/05 summary tables,성과 최적화보다 누수 방지와 방어 가능한 전략이 우선.,park.ingyeom/reports/data/05_v2_modeling_dataset/feature_sets_v2.json
2,Why v2 changed the project,v1 가정은 역사적 참고일 뿐 v2에서 재검증했다.,"raw Membership 24,074 rows",01_v2_raw_file_inventory.csv,v1 row count/AUC를 그대로 쓰지 않는다.,park.ingyeom/reports/tables/01_v2_data_overview_and_audit/01_v2_raw_file_inventory.csv
3,Data and preprocessing audit,strict conflict와 duplicate만 명시적으로 제외했다.,"retained 23,933 rows",10_v2_row_count_lineage.csv,duration policy는 deferred.,park.ingyeom/reports/tables/10_v2_final_audit_and_synthesis/10_v2_row_count_lineage.csv
4,Observation windows,"w1_3은 조기 관측, w1_4는 late-period 비교다.","w1_3/w1_4 both 23,933 rows",05_v2_merge_integrity_summary.csv,w1_4를 early-warning으로 말하지 않는다.,park.ingyeom/reports/tables/05_v2_modeling_dataset/05_v2_merge_integrity_summary.csv
5,Baseline modeling and sanity audit,group-aware split과 sanity audit로 높은 AUC를 점검했다.,conservative AUC 0.8705,06b sanity tables,누수 없음의 절대 증명은 아니다.,park.ingyeom/reports/data/06b_v2_baseline_sanity_audit/06b_sanity_audit_summary.json
6,Why w1_3 main model,w1_3이 intervention timing에 더 방어 가능하다.,w1_3 AUC 0.8705,06 best config,최고 AUC인 w1_4는 late-period.,park.ingyeom/reports/data/06_v2_baseline_modeling/06_v2_best_model_config.json
7,TRUE SHAP interpretation,Stage 07r TRUE SHAP으로 모델 설명을 제시한다.,top family: usage,07r SHAP beeswarm/global bar,SHAP은 인과가 아니다.,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
8,Risk bands,churn_risk_score 기반 risk band가 targeting frame이다.,top decile churn rate from Stage 08b,08b final segment churn figure,위험점수는 확률 보정 tier가 아니다.,park.ingyeom/reports/tables/08b_v2_segmentation_refinement/08b_final_segment_summary_holdout.csv
9,Refined final segments,Stage 08b에서 6개 발표용 세그먼트로 정리했다.,6 segments,08b final segment summary,Stage 08 원본 탐색 세그먼트를 그대로 쓰지 않는다.,park.ingyeom/reports/tables/08b_v2_segmentation_refinement/08b_final_segment_summary_holdout.csv
10,Scenario simulation,Stage 09는 가정 기반 retained-user scenario다.,base portfolio retained users,09 portfolio figure,ROI와 profit은 말하지 않는다.,park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_portfolio_simulation_summary.csv
11,What we can claim,"데이터, 모델, SHAP, 세그먼트, 시나리오를 구분해 말한다.",claim registry safe claims,10 claim registry,status별 wording을 따른다.,park.ingyeom/reports/tables/10_v2_final_audit_and_synthesis/10_v2_claim_registry.csv
12,What we cannot claim,"인과효과, ROI, guaranteed lift는 금지한다.",do_not_claim entries,10 safe/caution summary,A/B test 전 효과 주장은 금지.,park.ingyeom/reports/tables/10_v2_final_audit_and_synthesis/10_v2_safe_caution_do_not_claim_summary.csv
13,Next steps / A-B test,멘토 검수 후 가정값과 실험 설계를 확정한다.,ready_for_mentor_review=Y,10 readiness verdict,submission 전 비용/마진/실험계획 보완.,park.ingyeom/reports/data/10_v2_final_audit_and_synthesis/10_v2_final_readiness_verdict.md
