section,metric,value,count,rate,note
file_inventory,Movie_Master_rows,,14502,,C:\Code\Github Repository\ott-churn-prediction\_data\01_raw\Movie_Master.csv
file_inventory,Movie_Master_columns,MOVIE_NUM|movie_title|ott_release_month|genre,4,,
file_inventory,View_History_rows,,175301,,C:\Code\Github Repository\ott-churn-prediction\_data\01_raw\View_History.csv
schema,MOVIE_NUM,integer_like,14018,0.0,missing_count=0
schema,movie_title,string_or_mixed,14018,0.0,missing_count=0
schema,ott_release_month,integer_like,120,0.0,missing_count=0
schema,genre,string_or_mixed,11,0.0,missing_count=0
duplicate_summary,MOVIE_NUM_cardinality,,14018,,
duplicate_summary,duplicate_MOVIE_NUM_count,,380,0.027108,
duplicate_summary,duplicate_MOVIE_NUM_rows,,864,,
duplicate_summary,duplicate_extra_rows,,484,,
duplicate_detail,duplicated_MOVIE_NUM,5,2,,conflict_columns=none; source_rows=7|8
duplicate_detail,duplicated_MOVIE_NUM,11,2,,conflict_columns=none; source_rows=13|14
duplicate_detail,duplicated_MOVIE_NUM,73,2,,conflict_columns=none; source_rows=75|76
duplicate_detail,duplicated_MOVIE_NUM,116,2,,conflict_columns=none; source_rows=118|119
duplicate_detail,duplicated_MOVIE_NUM,128,2,,conflict_columns=none; source_rows=131|132
duplicate_detail,duplicated_MOVIE_NUM,129,3,,conflict_columns=none; source_rows=133|134|135
duplicate_detail,duplicated_MOVIE_NUM,243,2,,conflict_columns=none; source_rows=244|245
duplicate_detail,duplicated_MOVIE_NUM,251,2,,conflict_columns=none; source_rows=253|254
duplicate_detail,duplicated_MOVIE_NUM,313,2,,conflict_columns=none; source_rows=314|315
duplicate_detail,duplicated_MOVIE_NUM,324,2,,conflict_columns=none; source_rows=326|327
duplicate_detail,duplicated_MOVIE_NUM,362,2,,conflict_columns=none; source_rows=363|364
duplicate_detail,duplicated_MOVIE_NUM,375,2,,conflict_columns=none; source_rows=376|377
duplicate_detail,duplicated_MOVIE_NUM,388,2,,conflict_columns=none; source_rows=389|390
duplicate_detail,duplicated_MOVIE_NUM,421,2,,conflict_columns=none; source_rows=420|421
duplicate_detail,duplicated_MOVIE_NUM,445,2,,conflict_columns=none; source_rows=444|445
duplicate_detail,duplicated_MOVIE_NUM,446,3,,conflict_columns=none; source_rows=446|447|448
duplicate_detail,duplicated_MOVIE_NUM,462,2,,conflict_columns=none; source_rows=463|464
duplicate_detail,duplicated_MOVIE_NUM,465,2,,conflict_columns=none; source_rows=467|468
duplicate_detail,duplicated_MOVIE_NUM,473,2,,conflict_columns=none; source_rows=476|477
duplicate_detail,duplicated_MOVIE_NUM,561,2,,conflict_columns=none; source_rows=558|559
duplicate_detail,duplicated_MOVIE_NUM,594,2,,conflict_columns=none; source_rows=591|592
duplicate_detail,duplicated_MOVIE_NUM,633,2,,conflict_columns=none; source_rows=630|631
duplicate_detail,duplicated_MOVIE_NUM,700,3,,conflict_columns=none; source_rows=696|697|698
duplicate_detail,duplicated_MOVIE_NUM,816,2,,conflict_columns=none; source_rows=811|812
duplicate_detail,duplicated_MOVIE_NUM,841,2,,conflict_columns=none; source_rows=836|837
duplicate_detail,duplicated_MOVIE_NUM,853,2,,conflict_columns=none; source_rows=849|850
duplicate_detail,duplicated_MOVIE_NUM,861,3,,conflict_columns=none; source_rows=858|859|860
duplicate_detail,duplicated_MOVIE_NUM,912,2,,conflict_columns=none; source_rows=907|908
duplicate_detail,duplicated_MOVIE_NUM,918,2,,conflict_columns=none; source_rows=914|915
duplicate_detail,duplicated_MOVIE_NUM,985,2,,conflict_columns=none; source_rows=979|980
duplicate_detail,duplicated_MOVIE_NUM,989,2,,conflict_columns=none; source_rows=984|985
duplicate_detail,duplicated_MOVIE_NUM,1011,3,,conflict_columns=none; source_rows=1007|1008|1009
duplicate_detail,duplicated_MOVIE_NUM,1047,2,,conflict_columns=none; source_rows=1045|1046
duplicate_detail,duplicated_MOVIE_NUM,1051,2,,conflict_columns=none; source_rows=1050|1051
duplicate_detail,duplicated_MOVIE_NUM,1089,2,,conflict_columns=none; source_rows=1089|1090
duplicate_detail,duplicated_MOVIE_NUM,1130,2,,conflict_columns=none; source_rows=1128|1129
