dataset_scope,model_name,AUC_rank,AP_rank,operating_lift_at_10,precision_at_top10,train_valid_gap,fold_stability_std,optional_package_available,interpretability_consideration,final_status
nonpromotion_only,LogisticRegression,6,6,2.8198306095428682,0.6699463327370304,0.002229747915771818,0.00945400494951555,yes,"linear coefficients possible, still no causality",candidate_review
nonpromotion_only,HistGradientBoosting,4,4,3.0683070050433074,0.7289803220035778,0.09668573227377304,0.010718089755821678,yes,tree model explanation later if selected,candidate_review
nonpromotion_only,RandomForest,3,2,2.9478336011643065,0.7003577817531306,0.019784094999629208,0.009759556548262313,yes,tree model explanation later if selected,candidate_review
nonpromotion_only,GradientBoosting,2,1,3.064542211172089,0.7280858676207513,0.02820541794990126,0.012867573316180799,yes,tree model explanation later if selected,candidate_review
nonpromotion_only,ExtraTrees,7,7,2.763358701474586,0.6565295169946332,0.004489317725483,0.008308158630216509,yes,tree model explanation later if selected,candidate_review
nonpromotion_only,LightGBM,5,5,3.0005407153613692,0.7128801431127012,0.11736614172716056,0.009834595735881961,yes,tree model explanation later if selected,candidate_review
nonpromotion_only,XGBoost,1,3,3.09089576827062,0.7343470483005367,0.05508765888875831,0.009942192452973713,yes,tree model explanation later if selected,highest_auc_candidate
overall_with_promotion,LogisticRegression,6,7,2.5251895730063345,0.7136048526863085,0.0011338787608506707,0.0028263378899583257,yes,"linear coefficients possible, still no causality",candidate_review
overall_with_promotion,HistGradientBoosting,3,4,2.6570452519854144,0.7508665511265165,0.039128464497933835,0.0057101249583655905,yes,tree model explanation later if selected,candidate_review
overall_with_promotion,RandomForest,5,5,2.5359220119930037,0.7166377816291161,0.011931606027777963,0.005992914770742448,yes,tree model explanation later if selected,candidate_review
overall_with_promotion,GradientBoosting,4,3,2.6677776909720836,0.7538994800693241,0.01429871923996997,0.005077135312594218,yes,tree model explanation later if selected,candidate_review
overall_with_promotion,ExtraTrees,7,6,2.446996088960601,0.6915077989601387,0.0034517656897547822,0.004269712058849814,yes,tree model explanation later if selected,candidate_review
overall_with_promotion,LightGBM,2,2,2.6555120464158906,0.7504332755632582,0.07813374127249492,0.004312379824066224,yes,tree model explanation later if selected,candidate_review
overall_with_promotion,XGBoost,1,1,2.669310896541608,0.7543327556325823,0.03126896291687113,0.005270136181261188,yes,tree model explanation later if selected,highest_auc_candidate
overall_without_promotion,LogisticRegression,6,7,2.454662116808222,0.6936741767764298,0.0012023844276238594,0.0030622374795236844,yes,"linear coefficients possible, still no causality",candidate_review
overall_without_promotion,HistGradientBoosting,2,3,2.6478460185682695,0.7482668977469671,0.03791349374875723,0.005126816878759007,yes,tree model explanation later if selected,candidate_review
overall_without_promotion,RandomForest,5,5,2.5282559841453827,0.7144714038128249,0.012257177827379496,0.006397740517438921,yes,tree model explanation later if selected,candidate_review
overall_without_promotion,GradientBoosting,4,2,2.6570452519854144,0.7508665511265165,0.014940497307900147,0.005436357847877068,yes,tree model explanation later if selected,candidate_review
overall_without_promotion,ExtraTrees,7,6,2.445462883391077,0.6910745233968805,0.00281246446897101,0.004767464304812887,yes,tree model explanation later if selected,candidate_review
overall_without_promotion,LightGBM,3,4,2.635580374012076,0.7448006932409013,0.08126150054014694,0.0045819696662496015,yes,tree model explanation later if selected,candidate_review
overall_without_promotion,XGBoost,1,1,2.663178074263511,0.7525996533795494,0.03213360285344406,0.00560157047979093,yes,tree model explanation later if selected,highest_auc_candidate
promotion_only,LogisticRegression,7,7,2.23057987922087,0.7246011754827876,0.002230016849802019,0.0077908988836785905,yes,"linear coefficients possible, still no causality",candidate_review
promotion_only,HistGradientBoosting,3,3,2.333967127388697,0.7581863979848866,0.09920940943321019,0.006219963500855166,yes,tree model explanation later if selected,candidate_review
promotion_only,RandomForest,5,5,2.2564266912628264,0.7329974811083123,0.020216182677043303,0.006975019388438803,yes,tree model explanation later if selected,candidate_review
promotion_only,GradientBoosting,2,2,2.3132896777551317,0.7514693534844669,0.026931732769089667,0.006673874975068207,yes,tree model explanation later if selected,candidate_review
promotion_only,ExtraTrees,6,6,2.2331645604250654,0.72544080604534,0.004992879654855753,0.004460819327674061,yes,tree model explanation later if selected,candidate_review
promotion_only,LightGBM,4,4,2.3468905334096752,0.762384550797649,0.12400321835275505,0.0070169815356431395,yes,tree model explanation later if selected,not_recommended_due_to_gap
promotion_only,XGBoost,1,1,2.367567983043241,0.7691015952980689,0.056316061044440445,0.007089787282580306,yes,tree model explanation later if selected,highest_auc_candidate
all,CatBoost,,,,,,,no,unavailable in this environment,optional_unavailable
